TotalFile:539	PakTime:2010-8-6 13:13:57	PakTimeSave:4c5b9a15	CRC:bf970aa5
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
0	3c369a	2010-8-6 13:7:33	\script\event\huihuangguo\huihuangguo_C.lua	369	259	4	9798ba84
1	5a6ac7	2010-8-6 13:7:35	\script\fightskill\enchant\book\gaibang.lua	1653	442	4	2a1b28c
2	2ed5a46	2010-8-6 13:7:35	\script\item\class\advicebook.lua	4131	1560	4	79b7f038
3	2f1aa92	2010-8-6 13:7:37	\script\lib\timer.lua	5732	1813	4	df181e38
4	386a480	2010-8-6 13:7:36	\script\item\class\linktask_worldmap.lua	193	168	4	cae993d8
5	45d191f	2010-8-6 13:7:43	\script\task\treasuremap\npc\entrancenpc.lua	4080	1421	4	11283820
6	4fe9e15	2010-8-6 13:7:33	\script\domainbattle\item\shengwangdaoju.lua	2749	1217	4	e3d30b7d
7	571274f	2010-8-6 13:7:37	\script\mission\battle\battle.lua	12338	4238	4	2b0e940
8	620dcfc	2010-8-6 13:7:34	\script\event\manager\eventgift.lua	4128	1456	4	52eb9eb9
9	6c9654c	2010-8-6 13:7:36	\script\item\class\mapmaker_atlas.lua	158	116	4	5c87a7c2
10	6e4aba1	2010-8-6 13:7:41	\script\task\ktaskscript.lua	1963	649	4	f5f15caf
11	737331f	2010-8-6 13:7:43	\script\temp\m3_login.lua	2931	1291	4	dcf54201
12	8dd8fe5	2010-8-6 13:7:41	\script\task\target\dialog2fight.lua	5959	1826	4	6aea2809
13	92b8aa1	2010-8-6 13:7:33	\script\event\holesolution\compensate.lua	19293	5190	4	4b3677ac
14	99e1474	2010-8-6 13:7:39	\script\pvp\npc\guanjunqizi.lua	139	129	4	dcf66170
15	a803e89	2010-8-6 13:7:34	\script\event\jieri\20100501_labor_day\define.lua	1684	843	4	2693b56f
16	b223d1e	2010-8-6 13:7:41	\script\task\merchant\merchant_gift_c.lua	2019	754	4	1d5a4eac
17	bc3bcc9	2010-8-6 13:7:39	\script\shop\mantle_gift.lua	6067	1866	4	54b036b5
18	c20eb9a	2010-8-6 13:7:37	\script\mission\esport\esport_c.lua	930	463	4	fce68bd6
19	cbedd9c	2010-8-6 13:7:36	\script\item\class\wanwuguiyuandan.lua	863	378	4	f339cee9
20	d0e016a	2010-8-6 13:7:35	\script\item\class\fuxiulingpai.lua	2139	1063	4	ac099e60
21	d1ecbfc	2010-8-6 13:7:37	\script\lib\globaltask.lua	2501	634	4	10a0c537
22	d27da4d	2010-8-6 13:7:42	\script\task\target\searchitemwithdesc.lua	2916	1041	4	f47d4c9c
23	d431a3b	2010-8-6 13:7:36	\script\item\class\medicine.lua	1438	816	4	d3a7cc9a
24	dcd9a27	2010-8-6 13:7:37	\script\mission\dragonboat\item\zongziexp.lua	614	408	4	c9f0504f
25	dd5e1f6	2010-8-6 13:7:38	\script\mission\xoyogame\xoyogame_npc.lua	12084	3945	4	2de7da3f
26	dfa111d	2010-8-6 13:7:38	\script\npc\huihuangzhizhong.lua	781	474	4	7f763ca3
27	e3dc343	2010-8-6 13:7:43	\script\task\treasuremap\instancing\tao\npc\tao_tomb_box.lua	1345	619	4	4dd1703f
28	f4bb649	2010-8-6 13:7:34	\script\event\jieri\201001_springfrestival\item\springfrestival_xinnianliwu.lua	4816	1789	4	bce2ed1d
29	f7e2ef6	2010-8-6 13:7:38	\script\obj\obj.lua	42	42	0	78880824
30	f85d742	2010-8-6 13:7:42	\script\task\target\searchworldmap.lua	2476	931	4	1098339c
31	10a28d90	2010-8-6 13:7:36	\script\item\class\signet.lua	2703	1169	4	6d571011
32	11450de3	2010-8-6 13:7:36	\script\item\class\random_scroll.lua	1920	777	4	baae83ea
33	122d2af7	2010-8-6 13:7:34	\script\event\jieri\200903_zhishujie\tree_item_c.lua	191	189	4	20b1af12
34	1255506f	2010-8-6 13:7:36	\script\item\class\horse.lua	3055	1265	4	541d42b9
35	13c84971	2010-8-6 13:7:39	\script\task\armycamp\item\army_food.lua	3474	1244	4	b785cbe9
36	14bf55ca	2010-8-6 13:7:35	\script\fightskill\normal\state.lua	12143	2856	4	1f606e83
37	14d09b7d	2010-8-6 13:7:43	\script\task\treasuremap\instancing\tao\npc\tao_tomb_pillar.lua	2723	1013	4	4fb370b5
38	15355be5	2010-8-6 13:7:36	\script\item\class\wuxingshi.lua	346	229	4	32c1d2eb
39	15e75b37	2010-8-6 13:7:34	\script\event\specialevent\awordonline\awordonline_file.lua	1641	645	4	afd2765a
40	16698ffd	2010-8-6 13:7:39	\script\preload\preload_client.lua	615	249	4	712053a8
41	18c42a3e	2010-8-6 13:7:43	\script\timeframe\timeframe.lua	3782	1206	4	c349b0ac
42	18c9d159	2010-8-6 13:7:37	\script\mission\battle\npc\houyingjunxuguan.lua	3550	1442	4	9b86dd63
43	197630b3	2010-8-6 13:7:36	\script\item\function\strengthen.lua	8879	3123	4	4c90545f
44	1995f546	2010-8-6 13:7:35	\script\fightskill\enchant\normal\state.lua	2893	320	4	c7fcc631
45	19bd409c	2010-8-6 13:7:43	\script\task\treasuremap\item\trea_box_level2.lua	1213	643	4	d568abb9
46	19eefe65	2010-8-6 13:7:36	\script\item\class\presentitem.lua	16619	3988	4	909ea551
47	1a8793fc	2010-8-6 13:7:39	\script\task\armycamp\item\army_book.lua	3358	1417	4	9b61d5cc
48	1aa69e41	2010-8-6 13:7:39	\script\playerprofile\playerprofile_c.lua	836	418	4	21225076
49	1ab61d39	2010-8-6 13:7:34	\script\event\manager\eventpart\default.lua	7104	1599	4	634d4744
50	1ac70553	2010-8-6 13:7:42	\script\task\target\searchitem4suffix.lua	2075	804	4	a567f503
51	1aca1f18	2010-8-6 13:7:35	\script\item\class\coupon.lua	8396	2009	4	c33aae1a
52	1afd49f6	2010-8-6 13:7:38	\script\npc\blank.lua	116	93	4	cda04f9c
53	1bdff67e	2010-8-6 13:7:43	\script\task\treasuremap\npc\baoxiang_shinei.lua	1347	617	4	1f78ca4c
54	1c4e9c98	2010-8-6 13:7:41	\script\task\linktask\linktask_file.lua	6941	2209	4	80d910f1
55	1c91443a	2010-8-6 13:7:41	\script\task\merchant\merchant_define.lua	4559	1737	4	deaefa50
56	1cdc364d	2010-8-6 13:7:34	\script\event\jieri\201001_springfrestival\item\springfrestival_couplet_identify.lua	806	395	4	ced0a9d7
57	1cf562c3	2010-8-6 13:7:34	\script\event\manager\eventpart.lua	3021	907	4	36f953c9
58	1d079f15	2010-8-6 13:7:39	\script\task\armycamp\item\army_book130.lua	3378	1436	4	a390ba8f
59	1d487afa	2010-8-6 13:7:36	\script\item\class\zhen.lua	2170	861	4	54aceda1
60	1d615e2d	2010-8-6 13:7:43	\script\task\target\withprocess.lua	7700	2476	4	d002de4d
61	1e16ba64	2010-8-6 13:7:39	\script\task\armycamp\gift.lua	3608	1103	4	2aea5bd0
62	1ef10ad9	2010-8-6 13:7:38	\script\npc\baihutangboss.lua	13662	2275	4	b8daa872
63	1ef2fe48	2010-8-6 13:7:41	\script\task\linktask\text.lua	4525	1495	4	99c8a187
64	1f16ce08	2010-8-6 13:7:37	\script\mission\looker_c.lua	162	98	4	26c58830
65	1f96cfc5	2010-8-6 13:7:36	\script\item\function\generator.lua	1571	675	4	9e23fef
66	2013ccf2	2010-8-6 13:7:37	\script\mission\battle\npc\zhaomushi.lua	3665	1609	4	93cf89c6
67	20226ddb	2010-8-6 13:7:42	\script\task\target\usertrackinfo.lua	557	253	4	c6041851
68	203340bc	2010-8-6 13:7:36	\script\item\externsetting\signetsetting.lua	937	481	4	b03f1ece
69	20513691	2010-8-6 13:7:33	\script\event\eventplantform\plantform_c.lua	572	328	4	35b3140b
70	20630cf0	2010-8-6 13:7:36	\script\item\class\songjin.lua	257	140	4	c31a2add
71	2085520a	2010-8-6 13:7:36	\script\item\function\repairequip.lua	6994	2508	4	2d775c7b
72	2249f629	2010-8-6 13:7:42	\script\task\target\send2pos.lua	4126	1462	4	912f49bc
73	22667542	2010-8-6 13:7:36	\script\item\class\zhaohuanlingpailogic.lua	8769	2087	4	bfb2c292
74	244e595c	2010-8-6 13:7:34	\script\event\specialevent\vn_201006\comcrystal_def.lua	1165	595	4	24d3a303
75	245f5a1c	2010-8-6 13:7:37	\script\mission\towerdefence\towerdefence_c.lua	936	470	4	6e60d9f2
76	24a2ad13	2010-8-6 13:7:35	\script\ibshop\ibshop_def.lua	247	198	4	f486626c
77	24fe9418	2010-8-6 13:7:34	\script\event\recommendserver\recommendserver.lua	10000	2665	4	310272f3
78	251f7a2a	2010-8-6 13:7:36	\script\item\function\externsetting.lua	930	461	4	f5f5fa36
79	25474f90	2010-8-6 13:7:34	\script\event\specialevent\vn_201006\comcrystal_item.lua	1665	752	4	da31fddc
80	25ea8ca4	2010-8-6 13:7:37	\script\kin\kluakin.lua	8466	2758	4	b6ea0161
81	261fa728	2010-8-6 13:7:36	\script\item\function\upgrade.lua	3358	1304	4	cb0d997e
82	26272e49	2010-8-6 13:7:36	\script\item\class\huangjinzhiguo.lua	1078	550	4	b9142554
83	26efc4bf	2010-8-6 13:7:33	\script\domainbattle\domainbattle_def.lua	6748	3174	4	faa423b2
84	276f38b7	2010-8-6 13:7:43	\script\task\tmptasknpc.lua	1457	624	4	cda04adb
85	279d7aae	2010-8-6 13:7:36	\script\item\class\shituchuansongfulogic.lua	5101	1260	4	e195e675
86	27e7d872	2010-8-6 13:7:36	\script\item\class\shengwanglingpai_baihutang.lua	1253	661	4	12be7887
87	289716cb	2010-8-6 13:7:36	\script\item\class\qiankunfulogic.lua	2888	1030	4	7e68446f
88	2902f932	2010-8-6 13:7:35	\script\fightskill\normal\rageskill.lua	963	291	4	8679fb85
89	2aad83b8	2010-8-6 13:7:42	\script\task\target\joinfaction.lua	3164	978	4	4c11fcb9
90	2b49ec25	2010-8-6 13:7:33	\script\domainbattle\domainbattle_c.lua	1652	558	4	7349163e
91	2b86d4c3	2010-8-6 13:7:37	\script\mail\mail_client.lua	3705	1353	4	df9afc8b
92	2d14ab29	2010-8-6 13:7:43	\script\task\taskaid.lua	32270	7829	4	96659603
93	2dbb485d	2010-8-6 13:7:34	\script\event\specialevent\worldcup\worldcup_client.lua	2961	1025	4	5619ae91
94	2ddfdaea	2010-8-6 13:7:41	\script\task\linktask\linktask_award.lua	8966	2847	4	9b1cd8e0
95	2de8d136	2010-8-6 13:7:34	\script\event\manager\eventpart\action_callnpc.lua	386	206	4	de73155f
96	2e673eee	2010-8-6 13:7:37	\script\mission\dragonboat\item\dragonboat.lua	3164	974	4	b0722eef
97	2ee7cb02	2010-8-6 13:7:34	\script\event\minievent\newplayergift_c.lua	199	196	4	8676b7c
98	2efa1fe3	2010-8-6 13:7:35	\script\fightskill\faction\gaibang.lua	14616	3599	4	c24c7ff4
99	30502f8d	2010-8-6 13:7:35	\script\globalserverbattle\gbwlls\gbwlls_def.lua	12274	4287	4	5d9876cb
100	307a2a72	2010-8-6 13:7:35	\script\fightskill\default.lua	11834	3456	4	3ac1d196
101	309af2e7	2010-8-6 13:7:36	\script\item\define.lua	15831	4630	4	5e6c7ff7
102	30ba030c	2010-8-6 13:7:35	\script\fightskill\enchant\book\tangmen.lua	4123	688	4	eb1efa48
103	30e68ef6	2010-8-6 13:7:39	\script\player\playerpk.lua	1597	600	4	bbb47e7d
104	313092ae	2010-8-6 13:7:35	\script\fightskill\normal\eventskill.lua	8980	2509	4	6bde66f6
105	314de938	2010-8-6 13:7:33	\script\bank\define.lua	1202	463	4	78df1e0b
106	35aee60a	2010-8-6 13:7:36	\script\item\class\linktask_bill.lua	987	631	4	93d5137e
107	35eabd0e	2010-8-6 13:7:36	\script\item\class\luckystone_box.lua	7853	2382	4	a0ee3268
108	361db17c	2010-8-6 13:7:41	\script\task\target\bagspace.lua	1939	765	4	d2be6f82
109	361f087a	2010-8-6 13:7:36	\script\item\class\panshifu.lua	339	227	4	1438fcb2
110	3777778a	2010-8-6 13:7:33	\script\account\account_head.lua	1725	876	4	722891d5
111	37b89e6d	2010-8-6 13:7:33	\script\bank\bank_client.lua	858	430	4	f9e0df12
112	38825b01	2010-8-6 13:7:42	\script\task\target\send2newworld.lua	1549	589	4	53d33ec4
113	38957fb0	2010-8-6 13:7:37	\script\misc\gbltask.lua	2801	1034	4	97823520
114	38a5e7ef	2010-8-6 13:7:38	\script\player\offline.lua	51373	13349	4	a8aa988e
115	3a46b85c	2010-8-6 13:7:36	\script\item\kitemscript.lua	3980	760	4	35ef8390
