MissileId	MissileName	MoveKind	ColFollowTarget	MissileHeight	CollidRange	RangeType	DmgRange	CanRepeatDamage	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ColVanish	AutoExplode	MissRate	MultiShow	Param1	Param2	Param3	HurtRandX	HurtRandY	BlurMaxNum	BlurDistance	BlurAlphaAttenuateP	AnimFile1	SndFile1	AnimFile2	SndFile2	AnimFile3	SndFile3	AnimFile4	SndFile4	AnimFileB1	SndFileB1	AnimFileB2	SndFileB2	AnimFileB3	SndFileB3	AnimFileB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
1	Đánh thường-Quyền	0	1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\public\fist_d.spr	\audio\fightskill\public\SB013.wav									255	255	255	0
2	Đánh thường-Kiếm	0	1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\public\sword_d.spr	\audio\fightskill\public\SB014.wav									255	255	255	0
3	Đánh thường-Đao	0	1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\public\blade_d.spr	\audio\fightskill\public\SB015.wav									255	255	255	0
4	Đánh thường-Côn	0	1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\public\stick_d.spr	\audio\fightskill\public\SB016.wav									255	255	255	0
5	Đánh thường-Thương	0	1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\public\spear_d.spr	\audio\fightskill\public\SB017.wav									255	255	255	0
6	Đánh thường-Chùy	0	1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50										\image\effect\fightskill\public\hammer_d.spr	\audio\fightskill\public\SB018.wav									255	255	255	0
7	Đánh thường-Phi tiêu	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	35	8			\image\effect\fightskill\public\dart_c.spr				\image\effect\fightskill\public\dart_d.spr	\audio\fightskill\public\SB019.wav									255	255	255	0
8	Đánh thường-Phi đao	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	35	8			\image\effect\fightskill\public\flyingknife_c.spr				\image\effect\fightskill\public\flyingknife_d.spr	\audio\fightskill\public\SB020.wav									255	255	255	0
9	Đánh thường-Tụ tiễn	1	1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	35	8			\image\effect\fightskill\public\arrow_c.spr				\image\effect\fightskill\public\arrow_d.spr	\audio\fightskill\public\SB021.wav									255	255	255	0
10	Túy Bát Tiên Côn	0	1	10	27	0	27	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0										\image\effect\fightskill\shaolin\sl_110_zbxg_c.spr	\audio\fightskill\shaolin\sl_szh_c.wav									255	255	255	0
11	Chu Cáp Thanh Minh	0	0	10	0	0	0	0	136	135	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0						\image\effect\fightskill\wudu\wu_110_zhqm_c.spr														255	255	255	0
12	Chu Cáp Thanh Minh_Tử	0	0	10	15	0	15	0	28	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				255	255	255	0
