SkillName	Property	SkillId	SkillType	SkillForm	StartPosition	Kind	SkillStyle	SkillGenus	ReplaceType	AppendDamageP	ShotNumber	FactionLimit	RouteLimit	SkillIcon	PreCastEffectId	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	StateTime	IsNoClearOnDeath	StateType	IsAura	LRSkill	NeedShadow	AttackRadius	IgnoreDistance	MslsGenerate	MslsGenerateData	ChildSkillId	ChildSkillLevel	ChildSkillNum	IsMissileSkill	CastActionId	EventSkillLevel	IsMelee	WaitTime	ClientOnly	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	IsDamage	TargetOnly	Relation	IsUseAR	StartSkillId	FlySkillId	FlyEventTime	CollidSkillId	VanishedSkillId	HitSkillId	ReqLevel	MaxLevel	WeaponLimit	HorseLimit	AngerLimit	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	ClassName	SkillDesc
Đánh thường-Quyền	Chủ động tấn công ngoại công	1	5	1	2		meleephysicalattack				-1			\image\icon\fightskill\public\fist.spr				0	0	0	0	0	0	0	1	60	0	0	0	1	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	11	0	0	1	0		0					0	0	0	0	1	normalattack	Chiêu nhập môn tấn công tay.
Đánh thường-Kiếm	Chủ động tấn công ngoại công	2	5	1	2		meleephysicalattack				-1			\image\icon\fightskill\public\sword.spr				0	0	0			0	0	1	80	0	0	0	2	-1	1	1	9	0	1	1	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	12	0	0	1	0		0					0	0	0	0	1	normalattack	Chiêu nhập môn tấn công kiếm.
Đánh thường-Đao	Chủ động tấn công ngoại công	3	5	1	2		meleephysicalattack				-1			\image\icon\fightskill\public\blade.spr				0	0	0			0	0	1	80	0	0	0	3	-1	1	1	9	0	1	1	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	13	0	0	1	0		0					0	0	0	0	1	normalattack	Chiêu nhập môn tấn công đao.
Đánh thường-Côn	Chủ động tấn công ngoại công	4	5	1	2		meleephysicalattack				-1			\image\icon\fightskill\public\stick.spr				0	0	0			0	0	1	140	0	0	0	4	-1	1	1	9	0	1	6	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	14	0	0	1	0		0					0	0	0	0	1	normalattack	Chiêu nhập môn tấn công côn.
Đánh thường-Thương	Chủ động tấn công ngoại công	5	5	1	2		meleephysicalattack				-1			\image\icon\fightskill\public\spear.spr				0	0	0			0	0	1	140	0	0	0	5	-1	1	1	9	0	1	6	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	15	0	0	1	0		0					0	0	0	0	1	normalattack	Chiêu nhập môn tấn công thương.
Đánh thường-Chùy	Chủ động tấn công ngoại công	6	5	1	2		meleephysicalattack				-1			\image\icon\fightskill\public\hammer.spr				0	0	0			0	0	1	80	0	0	0	6	-1	1	1	9	0	1	1	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	16	0	0	1	0		0					0	0	0	0	1	normalattack	Chiêu nhập môn tấn công chùy.
Đánh thường-Phi tiêu	Chủ động tấn công ngoại công	7	5	0	1		rangephysicalattack				-1			\image\icon\fightskill\public\dart.spr				0	0	0			0	0	0	520	0	0	0	7	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	21	0	0	1	0		0					0	0	0	0	1	normalattack	Chiêu nhập môn tấn công phi tiêu.
Đánh thường-Phi đao	Chủ động tấn công ngoại công	8	5	0	1		rangephysicalattack				-1			\image\icon\fightskill\public\flyingknife.spr				0	0	0			0	0	0	520	0	0	0	8	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	22	0	0	1	0		0					0	0	0	0	1	normalattack	Chiêu nhập môn tấn công phi đao.
Đánh thường-Tụ tiễn	Chủ động tấn công ngoại công	9	5	0	1		rangephysicalattack				-1			\image\icon\fightskill\public\arrow.spr				0	0	0			0	0	0	520	0	0	0	9	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	23	0	0	1	0		0					0	0	0	0	1	normalattack	Chiêu nhập môn tấn công tụ tiễn.
Khinh công	Chủ động hỗ trợ chiến đấu	10	1	2				2			-1			\image\icon\fightskill\public\jump.spr				0	0	0			0	2	1	1000	0	0	0	0	-1	0	0	13	-1	0	0	0	1	0	0	0	0	0	0		0	13	0	0	0	0	0	1	20	0	1	0	0	0		0					0	1	1	0	1	jump	Nhảy cao đến nơi mình muốn.
