Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	UnLockInterval
[Ngoại Trang] Tỏa Tử Giáp	Khoác	1	1	25	1	1	\image\item\equip\armor\m_kai_202_s.spr	\image\item\equip\armor\m_kai_202.spr	20				1	50000			1	0	equip	11		disguise_part_base	11	11	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Minh Quang Khải	Khoác	1	1	25	2	1	\image\item\equip\armor\m_kai_204_s.spr	\image\item\equip\armor\m_kai_204.spr	20				1	50000			1	0	equip	12		disguise_part_base	12	12	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Tế Lân Giáp	Khoác	1	1	25	3	1	\image\item\equip\armor\m_kai_206_s.spr	\image\item\equip\armor\m_kai_206.spr	20				1	50000			1	0	equip	13		disguise_part_base	13	13	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Tỏa Tử Hoàng Kim Giáp	Khoác	1	1	25	4	1	\image\item\equip\armor\m_kai_208_s.spr	\image\item\equip\armor\m_kai_208.spr	20				1	50000			1	0	equip	14		disguise_part_base	14	14	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Kính Hoa Khải	Khoác	1	1	25	5	1	\image\item\equip\armor\m_kai_210_s.spr	\image\item\equip\armor\m_kai_210.spr	20				1	50000			1	0	equip	15		disguise_part_base	15	15	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Thích Khách Trang	Khoác	1	1	25	6	1	\image\item\equip\armor\m_jiayi_302_s.spr	\image\item\equip\armor\m_jiayi_302.spr	20				1	50000			1	0	equip	6		disguise_part_base	6	6	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Mộng Mị Trang	Khoác	1	1	25	7	1	\image\item\equip\armor\m_jiayi_304_s.spr	\image\item\equip\armor\m_jiayi_304.spr	20				1	50000			1	0	equip	7		disguise_part_base	7	7	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Tham Lang Trang	Khoác	1	1	25	8	1	\image\item\equip\armor\m_jiayi_306_s.spr	\image\item\equip\armor\m_jiayi_306.spr	20				1	50000			1	0	equip	8		disguise_part_base	8	8	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Sơn Hồn Trang	Khoác	1	1	25	9	1	\image\item\equip\armor\m_jiayi_308_s.spr	\image\item\equip\armor\m_jiayi_308.spr	20				1	50000			1	0	equip	9		disguise_part_base	9	9	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Vô Dung Kình Trang	Khoác	1	1	25	10	1	\image\item\equip\armor\m_jiayi_310_s.spr	\image\item\equip\armor\m_jiayi_310.spr	20				1	50000			1	0	equip	10		disguise_part_base	10	10	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Dật Hiệp Bào	Khoác	1	1	25	11	1	\image\item\equip\armor\m_changpao_402_s.spr	\image\item\equip\armor\m_changpao_402.spr	20				1	50000			1	0	equip	1		disguise_part_base	1	1	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Thanh Sương Bào	Khoác	1	1	25	12	1	\image\item\equip\armor\m_changpao_404_s.spr	\image\item\equip\armor\m_changpao_404.spr	20				1	50000			1	0	equip	2		disguise_part_base	2	2	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Bích Hoa Bào	Khoác	1	1	25	13	1	\image\item\equip\armor\m_changpao_406_s.spr	\image\item\equip\armor\m_changpao_406.spr	20				1	50000			1	0	equip	5		disguise_part_base	5	5	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Toàn Long Bào	Khoác	1	1	25	14	1	\image\item\equip\armor\m_changpao_408_s.spr	\image\item\equip\armor\m_changpao_408.spr	20				1	50000			1	0	equip	4		disguise_part_base	4	4	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Hàn Sương Bào	Khoác	1	1	25	15	1	\image\item\equip\armor\m_changpao_410_s.spr	\image\item\equip\armor\m_changpao_410.spr	20				1	50000			1	0	equip	3		disguise_part_base	3	3	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Trường Không Y	Khoác	1	1	25	16	1	\image\item\equip\armor\ma_armor_silver_s.spr	\image\item\equip\armor\ma_armor_silver.spr	20				1	50000			1	0	equip	16		disguise_part_base	16	16	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Bạch Nhung Giáp	Khoác	1	1	25	17	1	\image\item\equip\armor\f_kai_602_s.spr	\image\item\equip\armor\f_kai_602.spr	21				1	50000			1	0	equip		11	disguise_part_base	11	11	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Minh Quang Giáp Y	Khoác	1	1	25	18	1	\image\item\equip\armor\f_kai_604_s.spr	\image\item\equip\armor\f_kai_604.spr	21				1	50000			1	0	equip		12	disguise_part_base	12	12	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Kim Tơ Giáp Y	Khoác	1	1	25	19	1	\image\item\equip\armor\f_kai_606_s.spr	\image\item\equip\armor\f_kai_606.spr	21				1	50000			1	0	equip		13	disguise_part_base	13	13	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Hàn Quang Nhạn Linh Giáp	Khoác	1	1	25	20	1	\image\item\equip\armor\f_kai_608_s.spr	\image\item\equip\armor\f_kai_608.spr	21				1	50000			1	0	equip		14	disguise_part_base	14	14	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Huyền Thiết Tuyết Ngân Giáp	Khoác	1	1	25	21	1	\image\item\equip\armor\f_kai_610_s.spr	\image\item\equip\armor\f_kai_610.spr	21				1	50000			1	0	equip		15	disguise_part_base	15	15	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Linh Vận Trang	Khoác	1	1	25	22	1	\image\item\equip\armor\f_jiayi_702_s.spr	\image\item\equip\armor\f_jiayi_702.spr	21				1	50000			1	0	equip		6	disguise_part_base	6	6	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Long Tiêu Trang	Khoác	1	1	25	23	1	\image\item\equip\armor\f_jiayi_704_s.spr	\image\item\equip\armor\f_jiayi_704.spr	21				1	50000			1	0	equip		7	disguise_part_base	7	7	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Linh Xà Trang	Khoác	1	1	25	24	1	\image\item\equip\armor\f_jiayi_706_s.spr	\image\item\equip\armor\f_jiayi_706.spr	21				1	50000			1	0	equip		8	disguise_part_base	8	8	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Vận Nghê Thường	Khoác	1	1	25	25	1	\image\item\equip\armor\f_jiayi_708_s.spr	\image\item\equip\armor\f_jiayi_708.spr	21				1	50000			1	0	equip		9	disguise_part_base	9	9	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Mê Hồn Thường	Khoác	1	1	25	26	1	\image\item\equip\armor\f_jiayi_710_s.spr	\image\item\equip\armor\f_jiayi_710.spr	21				1	50000			1	0	equip		10	disguise_part_base	10	10	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Khởi Lệ Sam	Khoác	1	1	25	27	1	\image\item\equip\armor\f_ruqun_802_s.spr	\image\item\equip\armor\f_ruqun_802.spr	21				1	50000			1	0	equip		3	disguise_part_base	3	3	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Tâm Ấn Sam	Khoác	1	1	25	28	1	\image\item\equip\armor\f_ruqun_804_s.spr	\image\item\equip\armor\f_ruqun_804.spr	21				1	50000			1	0	equip		2	disguise_part_base	2	2	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Nguyệt Hoa Sam	Khoác	1	1	25	29	1	\image\item\equip\armor\f_ruqun_806_s.spr	\image\item\equip\armor\f_ruqun_806.spr	21				1	50000			1	0	equip		4	disguise_part_base	4	4	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Quỳnh Ngọc Sam	Khoác	1	1	25	30	1	\image\item\equip\armor\f_ruqun_808_s.spr	\image\item\equip\armor\f_ruqun_808.spr	21				1	50000			1	0	equip		5	disguise_part_base	5	5	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Trầm Hương Sam	Khoác	1	1	25	31	1	\image\item\equip\armor\f_ruqun_810_s.spr	\image\item\equip\armor\f_ruqun_810.spr	21				1	50000			1	0	equip		1	disguise_part_base	1	1	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Thừa Ảnh Y	Khoác	1	1	25	32	1	\image\item\equip\armor\fm_armor_silver_s.spr	\image\item\equip\armor\fm_armor_silver.spr	21				1	50000			1	0	equip		16	disguise_part_base	16	16	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Càn Khôn Thất Tinh Khải	Khoác	1	1	25	33	1	\image\item\equip\armor\wz_ma_1_yi_s.spr	\image\item\equip\armor\wz_ma_1_yi.spr	21				1	50000			1	0	equip	31		disguise_part_base	31	31	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Như Ý Thanh Hồng Giáp	Khoác	1	1	25	34	1	\image\item\equip\armor\wz_ma_2_yi_s.spr	\image\item\equip\armor\wz_ma_2_yi.spr	21				1	50000			1	0	equip	32		disguise_part_base	32	32	1	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Tử Kim Thánh Nữ Y	Khoác	1	1	25	35	1	\image\item\equip\armor\wz_fm_1_yi_s.spr	\image\item\equip\armor\wz_fm_1_yi.spr	21				1	50000			1	0	equip		31	disguise_part_base	31	31	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Lưu Tiên Thủy Văn Sam	Khoác	1	1	25	36	1	\image\item\equip\armor\wz_fm_2_yi_s.spr	\image\item\equip\armor\wz_fm_2_yi.spr	21				1	50000			1	0	equip		32	disguise_part_base	32	32	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Mộ Quang Lưu Hà	Khoác	1	1	25	37	1	\image\item\equip\armor\wz_fm_3_yi_s.spr	\image\item\equip\armor\wz_fm_3_yi.spr	21				1	50000			1	0	equip		33	disguise_part_base	33	33	1	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Chân Ái Chi Vũ	Khoác	1	1	25	38	1	\image\item\other\quest\quest_0140_s.spr	\image\item\other\quest\quest_0140.spr	21				1	50000			1	0	equip		1	disguise_part_base	1	1	5	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Chân Ái Chi Vũ	Khoác	1	1	25	39	1	\image\item\other\quest\quest_0140_s.spr	\image\item\other\quest\quest_0140.spr	21				1	50000			1	0	equip		1	disguise_part_base	1	1	5	1	1	1																																																																5	1	8	1																																																									
[Ngoại Trang] Chân Ái Chi Vũ	Khoác	1	1	25	40	1	\image\item\other\quest\quest_0140_s.spr	\image\item\other\quest\quest_0140.spr	21				1	50000			2	0	equip		1	disguise_part_base	1	1	5	1	1	1																																																																5	1	8	0																																																									
[Ngoại Trang] Chân Ái Chi Vũ	Khoác	1	1	25	41	1	\image\item\other\quest\quest_0140_s.spr	\image\item\other\quest\quest_0140.spr	21				1	50000			2	0	equip		1	disguise_part_base	1	1	5	1	1	1																																																																5	1	8	1																																																									
