Level	UpgardeExp1	Value1	UpgardeExp2	Value2	UpgardeExp3	Value3	UpgardeExp4	Value4	UpgardeExp5	Value5
1	100	5000	100	5000	100	5000	100	5000	100	5000
2	200	15000	200	15000	200	15000	200	15000	200	15000
3	300	30000	300	30000	300	30000	300	30000	300	30000
4	400	50000	400	50000	400	50000	400	50000	400	50000
5	500	75000	500	75000	500	75000	500	75000	500	75000
6	600	105000	600	105000	600	105000	600	105000	600	105000
7	700	140000	700	140000	700	140000	700	140000	700	140000
8	800	180000	800	180000	800	180000	800	180000	800	180000
9	900	225000	900	225000	900	225000	900	225000	900	225000
10	1000	275000	1000	275000	1000	275000	1000	275000	1000	275000
11	1100	330000	1100	330000	1100	330000	1100	330000	1100	330000
12	1200	390000	1200	390000	1200	390000	1200	390000	1200	390000
13	1300	455000	1300	455000	1300	455000	1300	455000	1300	455000
14	1400	525000	1400	525000	1400	525000	1400	525000	1400	525000
15	1500	600000	1500	600000	1500	600000	1500	600000	1500	600000
16	1600	680000	1600	680000	1600	680000	1600	680000	1600	680000
17	1700	765000	1700	765000	1700	765000	1700	765000	1700	765000
18	1800	855000	1800	855000	1800	855000	1800	855000	1800	855000
19	1900	950000	1900	950000	1900	950000	1900	950000	1900	950000
20	2000	1050000	2000	1050000	2000	1050000	2000	1050000	2000	1050000
21	2100	1155000	2100	1155000	2100	1155000	2100	1155000	2100	1155000
22	2200	1265000	2200	1265000	2200	1265000	2200	1265000	2200	1265000
23	2300	1380000	2300	1380000	2300	1380000	2300	1380000	2300	1380000
24	2400	1500000	2400	1500000	2400	1500000	2400	1500000	2400	1500000
25	2500	1625000	2500	1625000	2500	1625000	2500	1625000	2500	1625000
26	2600	1755000	2600	1755000	2600	1755000	2600	1755000	2600	1755000
27	2700	1890000	2700	1890000	2700	1890000	2700	1890000	2700	1890000
28	2800	2030000	2800	2030000	2800	2030000	2800	2030000	2800	2030000
29	2900	2175000	2900	2175000	2900	2175000	2900	2175000	2900	2175000
30	3000	2325000	3000	2325000	3000	2325000	3000	2325000	3000	2325000
31	3100	2480000	3100	2480000	3100	2480000	3100	2480000	3100	2480000
32	3200	2640000	3200	2640000	3200	2640000	3200	2640000	3200	2640000
33	3300	2805000	3300	2805000	3300	2805000	3300	2805000	3300	2805000
34	3400	2975000	3400	2975000	3400	2975000	3400	2975000	3400	2975000
35	3500	3150000	3500	3150000	3500	3150000	3500	3150000	3500	3150000
36	3600	3330000	3600	3330000	3600	3330000	3600	3330000	3600	3330000
37	3700	3515000	3700	3515000	3700	3515000	3700	3515000	3700	3515000
38	3800	3705000	3800	3705000	3800	3705000	3800	3705000	3800	3705000
39	3900	3900000	3900	3900000	3900	3900000	3900	3900000	3900	3900000
40	4000	4100000	4000	4100000	4000	4100000	4000	4100000	4000	4100000
41	4100	4305000	4100	4305000	4100	4305000	4100	4305000	4100	4305000
42	4200	4515000	4200	4515000	4200	4515000	4200	4515000	4200	4515000
43	4300	4730000	4300	4730000	4300	4730000	4300	4730000	4300	4730000
44	4400	4950000	4400	4950000	4400	4950000	4400	4950000	4400	4950000
45	4500	5175000	4500	5175000	4500	5175000	4500	5175000	4500	5175000
46	4600	5405000	4600	5405000	4600	5405000	4600	5405000	4600	5405000
47	4700	5640000	4700	5640000	4700	5640000	4700	5640000	4700	5640000
48	4800	5880000	4800	5880000	4800	5880000	4800	5880000	4800	5880000
49	4900	6125000	4900	6125000	4900	6125000	4900	6125000	4900	6125000
50	5000	6375000	5000	6375000	5000	6375000	5000	6375000	5000	6375000
51	5100	6630000	5100	6630000	5100	6630000	5100	6630000	5100	6630000
52	5200	6890000	5200	6890000	5200	6890000	5200	6890000	5200	6890000
53	5300	7155000	5300	7155000	5300	7155000	5300	7155000	5300	7155000
54	5400	7425000	5400	7425000	5400	7425000	5400	7425000	5400	7425000
55	5500	7700000	5500	7700000	5500	7700000	5500	7700000	5500	7700000
56	5600	7980000	5600	7980000	5600	7980000	5600	7980000	5600	7980000
57	5700	8265000	5700	8265000	5700	8265000	5700	8265000	5700	8265000
58	5800	8555000	5800	8555000	5800	8555000	5800	8555000	5800	8555000
59	5900	8850000	5900	8850000	5900	8850000	5900	8850000	5900	8850000
60	6000	9150000	6000	9150000	6000	9150000	6000	9150000	6000	9150000
61	6100	9455000	6100	9455000	6100	9455000	6100	9455000	6100	9455000
62	6200	9765000	6200	9765000	6200	9765000	6200	9765000	6200	9765000
63	6300	10080000	6300	10080000	6300	10080000	6300	10080000	6300	10080000
64	6400	10400000	6400	10400000	6400	10400000	6400	10400000	6400	10400000
65	6500	10725000	6500	10725000	6500	10725000	6500	10725000	6500	10725000
66	6600	11055000	6600	11055000	6600	11055000	6600	11055000	6600	11055000
67	6700	11390000	6700	11390000	6700	11390000	6700	11390000	6700	11390000
68	6800	11730000	6800	11730000	6800	11730000	6800	11730000	6800	11730000
69	6900	12075000	6900	12075000	6900	12075000	6900	12075000	6900	12075000
70	7000	12425000	7000	12425000	7000	12425000	7000	12425000	7000	12425000
71	7100	12780000	7100	12780000	7100	12780000	7100	12780000	7100	12780000
72	7200	13140000	7200	13140000	7200	13140000	7200	13140000	7200	13140000
73	7300	13505000	7300	13505000	7300	13505000	7300	13505000	7300	13505000
74	7400	13875000	7400	13875000	7400	13875000	7400	13875000	7400	13875000
75	7500	14250000	7500	14250000	7500	14250000	7500	14250000	7500	14250000
76	7600	14630000	7600	14630000	7600	14630000	7600	14630000	7600	14630000
77	7700	15015000	7700	15015000	7700	15015000	7700	15015000	7700	15015000
78	7800	15405000	7800	15405000	7800	15405000	7800	15405000	7800	15405000
79	7900	15800000	7900	15800000	7900	15800000	7900	15800000	7900	15800000
80	8000	16200000	8000	16200000	8000	16200000	8000	16200000	8000	16200000
81	8100	16605000	8100	16605000	8100	16605000	8100	16605000	8100	16605000
82	8200	17015000	8200	17015000	8200	17015000	8200	17015000	8200	17015000
83	8300	17430000	8300	17430000	8300	17430000	8300	17430000	8300	17430000
84	8400	17850000	8400	17850000	8400	17850000	8400	17850000	8400	17850000
85	8500	18275000	8500	18275000	8500	18275000	8500	18275000	8500	18275000
86	8600	18705000	8600	18705000	8600	18705000	8600	18705000	8600	18705000
87	8700	19140000	8700	19140000	8700	19140000	8700	19140000	8700	19140000
88	8800	19580000	8800	19580000	8800	19580000	8800	19580000	8800	19580000
89	8900	20025000	8900	20025000	8900	20025000	8900	20025000	8900	20025000
90	9000	20475000	9000	20475000	9000	20475000	9000	20475000	9000	20475000
91	9100	20930000	9100	20930000	9100	20930000	9100	20930000	9100	20930000
92	9200	21390000	9200	21390000	9200	21390000	9200	21390000	9200	21390000
93	9300	21855000	9300	21855000	9300	21855000	9300	21855000	9300	21855000
94	9400	22325000	9400	22325000	9400	22325000	9400	22325000	9400	22325000
95	9500	22800000	9500	22800000	9500	22800000	9500	22800000	9500	22800000
96	9600	23280000	9600	23280000	9600	23280000	9600	23280000	9600	23280000
97	9700	23765000	9700	23765000	9700	23765000	9700	23765000	9700	23765000
98	9800	24255000	9800	24255000	9800	24255000	9800	24255000	9800	24255000
99	9900	24750000	9900	24750000	9900	24750000	9900	24750000	9900	24750000
100	10000	25250000	10000	25250000	10000	25250000	10000	25250000	10000	25250000
101	10100	25755000	10100	25755000	10100	25755000	10100	25755000	10100	25755000
102	10200	26265000	10200	26265000	10200	26265000	10200	26265000	10200	26265000
103	10300	26780000	10300	26780000	10300	26780000	10300	26780000	10300	26780000
104	10400	27300000	10400	27300000	10400	27300000	10400	27300000	10400	27300000
105	10500	27825000	10500	27825000	10500	27825000	10500	27825000	10500	27825000
