HEADER	MAGIC_DESC	外功伤害百分比	内功伤害百分比	加命中点数	加外功攻击速度	加内功攻击速度	忽略对手闪避	加快跑步速度	反弹物理攻击	偷血	偷内力	加生命最大值上限	加内力上限	加体力上限	加生命恢复速度	加内力恢复速度	加体力恢复速度	加外普伤害点数	加内普伤害点数	伤转内	加抗毒性	使对手受伤	加外毒伤点数	加内毒伤点数	加抗电性	使对手虚弱	加外冰伤点数	加内冰伤点数	加抗火性	使对手迟缓	加外火伤点数	加内火伤点数	加抗物理性	使对手灼伤	加外雷伤点数	加内雷伤点数	加抗冰性	使对手眩晕	减少受伤时间	减少迟缓时间	减少虚弱时间	减少灼伤时间	减少眩晕时间	加全抗	加运气	加会心几率	加闪避
MAGIC_DESC	MAGIC_ID	addphysicsdamage_p	addphysicsmagic_p	attackratingenhance_v	attackspeed_v	castspeed_v	ignoredefenseenhance_v	fastwalkrun_p	meleedamagereturn_p	steallife_p	stealmana_p	lifemax_v	manamax_v	staminamax_v	lifereplenish_v	manareplenish_v	staminareplenish_v	addphysicsdamage_v	addphysicsmagic_v	damage2addmana_p	damage_poison_resist	state_hurt_attack	addpoisondamage_v	addpoisonmagic_v	damage_light_resist	state_weak_attack	addcolddamage_v	addcoldmagic_v	damage_fire_resist	state_slowall_attack	addfiredamage_v	addfiremagic_v	damage_physics_resist	state_burn_attack	addlightingdamage_v	addlightingmagic_v	damage_cold_resist	state_stun_attack	state_hurt_resisttime	state_slowall_resisttime	state_weak_resisttime	state_burn_resisttime	state_stun_resisttime	damage_all_resist	lucky_v	deadlystrikeenhance_r	adddefense_v
外功伤害百分比	addphysicsdamage_p	100	100	120	200	100	100	100	100	140	140	130	115	105	100	100	100	300	100	100	130	200	300	100	130	150	300	100	130	150	300	100	130	150	300	100	130	150	100	100	100	100	100	100	100	100	100
内功伤害百分比	addphysicsmagic_p		100	100	100	200	100	100	100	140	140	130	115	105	100	100	100	100	300	100	130	200	100	300	130	150	100	300	130	150	100	300	130	100	100	300	130	150	100	100	100	100	100	100	100	100	100
加命中点数	attackratingenhance_v			100	120	100	100	100	100	120	120	110	110	105	100	100	100	150	100	100	110	120	150	100	110	120	150	100	110	120	150	100	110	120	150	100	110	120	100	100	100	100	100	100	100	100	100
加外功攻击速度	attackspeed_v				100	100	100	100	100	120	120	120	110	105	100	100	100	200	100	100	120	150	200	100	120	150	200	100	120	150	200	100	120	150	200	100	120	150	100	100	100	100	100	100	100	100	100
加内功攻击速度	castspeed_v					100	100	100	100	120	120	120	110	105	100	100	100	100	200	100	120	150	100	200	120	150	100	200	120	150	100	200	120	150	100	200	120	150	100	100	100	100	100	100	100	100	100
忽略对手闪避	ignoredefenseenhance_v						100	100	100	100	100	140	120	110	120	120	110	100	100	100	150	100	100	100	150	100	100	100	150	100	100	100	150	100	100	100	150	100	130	130	130	130	130	150	100	150	150
加快跑步速度	fastwalkrun_p							100	100	100	100	150	130	120	130	100	100	100	100	110	200	100	100	100	200	100	100	100	200	100	100	100	200	100	100	100	200	100	150	150	150	150	150	100	100	100	100
反弹物理攻击	meleedamagereturn_p								100	100	100	140	120	110	120	100	100	100	100	110	130	100	100	100	130	100	100	100	130	100	100	100	130	100	100	100	130	100	120	120	120	120	120	100	100	100	100
偷血	steallife_p									100	120	120	110	105	100	100	100	150	150	100	110	120	150	150	110	120	150	150	110	120	150	150	110	120	150	150	110	120	100	100	100	100	100	100	100	100	100
