Name	ParticularType	Level	LiveTime	StateLog
Tên Mặt nạ	Loại Mặt nạ	Cấp Mặt nạ	Hiệu lực (phút)	Có ghi nhớ log tuần không
[Mặt nạ] Bé trai vui vẻ	1	1	1440	1
[Mặt nạ] Bé gái vui vẻ	2	1	1440	1
[Mặt nạ] Bé trai vui vẻ	3	1	43200	1
[Mặt nạ] Bé gái vui vẻ	4	1	43200	1
[Mặt nạ] Cốc Tiên Tiên	5	1	4320	0
[Mặt nạ] Túy Tăng	6	1	4320	0
[Mặt nạ] Nữ Thích Khách	7	1	43200	0
[Mặt nạ] Đoạt Bảo Tặc	8	1	43200	0
[Mặt nạ] Tiểu Dã Nhân	9	1	43200	0
[Mặt nạ] Lãnh Sương Nhiên	10	1	4320	0
[Mặt nạ] Tiêu Lương	11	1	4320	0
[Mặt nạ] Bảo Quả Tử	12	1	1440	1
[Mặt nạ] Nhị A	13	1	1440	1
[Mặt nạ] Ông già Noel	14	1	43200	0
[Mặt nạ] Thiếu nữ Noel	15	1	43200	0
[Mặt nạ] Bảo Quả Tử	16	1	43200	1
[Mặt nạ] Nhị A	17	1	43200	1
[Mặt nạ] Tân Niên Hiệp Khách	18	1	43200	0
[Mặt nạ] Tân Niên Hiệp Nữ	19	1	43200	0
[Mặt nạ] Thẩm Tiểu Dương	20	1	43200	1
[Mặt nạ] Trứng vịt	21	1	43200	1
[Mặt nạ] Tam Bạng Tử	22	1	43200	1
[Mặt nạ] Tô Tiểu Tiểu	23	1	43200	1
[Mặt nạ] Tần Thủy Hoàng	24	1	43200	1
[Mặt nạ] Khuynh Thành	25	1	525600	0
[Mặt nạ] Khuynh Quốc	26	1	525600	0
[Mặt nạ] Khuynh Thế	27	1	525600	0
[Mặt nạ] Tĩnh ca ca	29	1	43200	0
[Mặt nạ] Dung muội muội	30	1	43200	0
[Mặt nạ] Hổ	31	1	43200	1
[Mặt nạ] Yến Yến	32	1	43200	1
[Mặt nạ] Hổ	31	1	43200	1
[Mặt nạ] Yến Yến	32	1	43200	1
[Mặt nạ] Xi Vưu	33	1	43200	1
[Mặt nạ] Tử Tô	34	1	43200	1
[Mặt nạ] Tân Lang Hoa Lệ	35	1	525600	1
[Mặt nạ] Tân Nương Hoa Lệ	36	1	525600	1
[Mặt nạ] Tân Lang Thường	37	1	262800	1
[Mặt nạ] Tân Nương Thường	38	1	262800	1
[Mặt nạ] Rể Phụ	39	1	1440	1
[Mặt nạ] Dâu Phụ	40	1	1440	1
[Mặt nạ] Chủ Hôn	41	1	1440	1
[Mặt nạ] Ông già Noel	42	1	4320	1
[Mặt nạ] Thiếu nữ Noel	43	1	4320	1
[Mặt nạ] Ông già Noel	44	1	43200	1
[Mặt nạ] Thiếu nữ Noel	45	1	43200	1
[Mặt nạ] Phương Hành Giác	46	1	4320	1
[Mặt nạ] Khiên Vân Thủ	47	1	4320	1
[Mặt nạ] Phương Hành Giác	48	1	43200	1
[Mặt nạ] Khiên Vân Thủ	49	1	43200	1
[Mặt nạ] Đậu Hạo	55	1	4320	1
[Mặt nạ] Khuynh Thế	56	1	4320	1
[Mặt nạ] Đậu Hạo	57	1	43200	1
[Mặt nạ] Khuynh Thế	58	1	43200	1
[Mặt nạ] Vũ Thanh Phong	59	1	43200	1
[Mặt nạ] Khuynh Quốc	60	1	43200	1
[Mặt nạ] Đường Bá Hổ	61	1	57600	1
[Mặt nạ] Thu Hương	62	1	57600	1
[Mặt nạ] Wodekapu	65	1	43200	1
[Mặt nạ] Wodekapu	70	1	4320	1
[Mặt nạ] Wodekapu	71	1	43200	1
[Mặt nạ] Hổ	72	1	4320	1
[Mặt nạ] Yến Yến	73	1	4320	1
[Mặt nạ] Hổ	74	1	43200	1
[Mặt nạ] Yến Yến	75	1	43200	1
[Mặt nạ] Đường Khuyết	76	1	43200	1
[Mặt nạ] Doãn Tiêu Vũ	77	1	43200	1
[Mặt nạ] Mục Đồng	78	1	129600	1
[Mặt nạ] Chức Nữ	79	1	129600	1
