Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	PlanID
Tiên Linh Mộc Chế Tác Đồ	Tiên Linh Mộc Chế Tác Đồ	23	1	1	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Gỗ tiên linh, sử dụng có thể học được cách chế tác Gỗ tiên linh.		0	5000	1	1		1	0		planitem					1349
Linh Thú Bì Chế Tác Đồ	Linh Thú Bì Chế Tác Đồ	23	1	2	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Da linh thú, sử dụng có thể học được cách chế tác Da linh thú.		0	5000	1	1		1	0		planitem					1350
Không Bạch Linh Phù Chế Tác Đồ	Không Bạch Linh Phù Chế Tác Đồ	23	1	3	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Không Bạch Linh Phù, sử dụng có thể học được cách chế tác Không Bạch Linh Phù		0	5000	1	1		1	0		planitem					1351
Tử Tinh Thạch Chế Tác Đồ	Tử Tinh Thạch Chế Tác Đồ	23	1	4	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Tử Tinh Thạch, sử dụng có thể học được cách chế tác Tử Tinh Thạch.		0	5000	1	1		1	0		planitem					1352
Tiên Linh Quả Phấn Chế Tác Đồ 	Tiên Linh Quả Phấn Chế Tác Đồ 	23	1	5	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Tiên Linh Quả Phấn, sử dụng có thể học được cách chế tác Tiên Linh Quả Phấn.		0	5000	1	1		1	0		planitem					1353
Huyết Ảnh Thương Chế Tác Đồ 	Huyết Ảnh Thương Chế Tác Đồ 	23	1	6	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Huyết Ảnh Thương, sử dụng có thể học được cách chế tác Huyết Ảnh Thương.		0	10000	1	1		1	0		planitem					1354
Linh Thú Chiến Ngoa Chế Tác Đồ	Linh Thú Chiến Ngoa Chế Tác Đồ	23	1	7	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Linh Thú Chiến Ngoa, sử dụng có thể học được cách chế tác Linh Thú Chiến Ngoa.		0	10000	1	1		1	0		planitem					1355
Độn Giáp Linh Phù Chế Tác Đồ	Độn Giáp Linh Phù Chế Tác Đồ	23	1	8	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Độn Giáp Linh Phù, sử dụng có thể học được cách chế tác Độn Giáp Linh Phù.		0	10000	1	1		1	0		planitem					1356
Tử Tinh Huyễn Bội Chế Tác Đồ	Tử Tinh Huyễn Bội Chế Tác Đồ	23	1	9	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Tử Tinh Huyễn Bội, sử dụng có thể học được cách chế tác Tử Tinh Huyễn Bội.		0	10000	1	1		1	0		planitem					1357
Thất Thái Tiên Đơn Chế Tác Đồ	Thất Thái Tiên Đơn Chế Tác Đồ	23	1	10	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Thất Thái Tiên Đơn, sử dụng có thể học được cách chế tác Thất Thái Tiên Đơn.		0	10000	1	1		1	0		planitem					1358
Huyền Thiết Mộc Chế Tác Đồ	Huyền Thiết Mộc Chế Tác Đồ	23	1	11	1	\image\item\other\scriptitem\scrolltask_s.spr		34	Quyển sách ghi cách chế tác Huyền Thiết Mộc, sử dụng có thể học được cách chế tác Huyền Thiết Mộc.		0	5000	1	1		1	0		planitem					1369
