ClassParamID	Desc	Probability	Name	BindMoney	Money	Coin	Genre	DetailType	ParticularType	Level	Series	EnhTimes	Amount	Exp	BaseExp	MKP	GTP	Bind	TimeLimit	Announce	FriendMsg
物品ExtParam1	随机宝箱	概率	开出东西	绑定银两	银两		大类	子类	详细类	等级	五行	强化	数量	经验	基准经验	精力	活力	绑定	有效期（格式同ItemTimeOut格式）	世界公告	好友公告
1	门派竞技宝箱	1000	初级令牌（30声望）				18	1	81	1	0	0									
1	门派竞技宝箱	2000	中级令牌（60声望）				18	1	81	2	0	0									
1	门派竞技宝箱	1000	高级令牌（100声望）				18	1	81	3	0	0									
1	门派竞技宝箱	1500	JXB10000		10000																
1	门派竞技宝箱	2100	5级玄晶				18	1	1	5	0	0									
1	门派竞技宝箱	1500	6级玄晶				18	1	1	6	0	0									
1	门派竞技宝箱	900	7级玄晶				18	1	1	7	0	0									
2	家族关卡宝箱	1000	家族令牌（初级）				18	1	110	1	0	0									
2	家族关卡宝箱	500	家族令牌（中级）				18	1	110	2	0	0									
2	家族关卡宝箱	300	家族令牌（高级）				18	1	110	3	0	0									
2	家族关卡宝箱	5000	5级玄晶				18	1	1	5	0	0						1			
2	家族关卡宝箱	3090	6级玄晶				18	1	1	6	0	0						1			
2	家族关卡宝箱	100	7级玄晶				18	1	1	5	0	0						1			
2	家族关卡宝箱	10	8级玄晶				18	1	1	5	0	0						1			
3	盛夏家族黑铁宝箱	7000	6级玄晶				18	1	1	6	0	0									
3	盛夏家族黑铁宝箱	2000	JXB100000		100000																
3	盛夏家族黑铁宝箱	1000	7级玄晶				18	1	1	7	0	0									
4	盛夏家族青铜宝箱	8400	7级玄晶				18	1	1	7	0	0									
4	盛夏家族青铜宝箱	1500	JXB300000		300000																
4	盛夏家族青铜宝箱	100	8级玄晶				18	1	114	5	0	0									
5	盛夏家族白银宝箱	7700	7级玄晶				18	1	1	7	0	0									
5	盛夏家族白银宝箱	1500	JXB600000		600000																
5	盛夏家族白银宝箱	800	8级玄晶				18	1	114	5	0	0									
6	盛夏家族黄金宝箱	8700	8级玄晶				18	1	114	5	0	0									
6	盛夏家族黄金宝箱	1000	JXB1000000		1000000																
6	盛夏家族黄金宝箱	300	9级玄晶				18	1	114	5	0	0									
7	军饷袋	200	牛栏寨腰牌				20	1	485	1	0	0									
7	军饷袋	800	迷宫钥匙				20	1	486	1	0	0									
7	军饷袋	100	骨玉图腾				20	1	487	1	0	0									
7	军饷袋	500	熟牛肉				20	1	488	1	0	0									
7	军饷袋	400	烤鹌鹑				20	1	488	2	0	0									
7	军饷袋	4500	10000经验											10000							
7	军饷袋	1500	300绑定银两	300																	
7	军饷袋	2000	8个绑定魂石				18	1	205	1	0	0	8					1			
8	金山二十周年庆典包	3879	4级玄晶				18	1	1	4	0	0						1			
8	金山二十周年庆典包	1000	5级玄晶				18	1	1	5	0	0						1			
