Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ExtParam11	ExtParam12	ExtParam13	ExtParam14	ExtParam15	ExtParam16	ExtParam17	ExtParam18	ExtParam19	ExtParam20	Effect	UnLockInterval
Huyền Tinh Cấp 1	Huyền Tinh (cấp 1)	18	1	1	1	\image\item\other\scriptitem\xuanjing_001_s.spr		1	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	100		0	0		xuanjing																										
Huyền Tinh Cấp 2	Huyền Tinh (cấp 2)	18	1	1	2	\image\item\other\scriptitem\xuanjing_001_s.spr		1	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	360		0	0		xuanjing																										
Huyền Tinh Cấp 3	Huyền Tinh (cấp 3)	18	1	1	3	\image\item\other\scriptitem\xuanjing_002_s.spr		2	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	1296		0	0		xuanjing																										
Huyền Tinh Cấp 4	Huyền Tinh (cấp 4)	18	1	1	4	\setting\item\001\other\xuanjing_lv4.spr		2	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	4665		0	0		xuanjing																										
Huyền Tinh Cấp 5	Huyền Tinh (cấp 5)	18	1	1	5	\image\item\other\scriptitem\xuanjing_003_s.spr		3	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	16796		0	1		xuanjing																										
Huyền Tinh có vết nứt (cấp 6)	Huyền Tinh (cấp 6)	18	1	1	6	\image\item\other\scriptitem\xuanjing_004_s.spr		4	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	60466		0	1		xuanjing																										
Huyền Tinh thường (cấp 7)	Huyền Tinh (cấp 7)	18	1	1	7	\image\item\other\scriptitem\xuanjing_005_s.spr		5	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	217678		0	1		xuanjing																										
Huyền Tinh có tì vết (cấp 8)	Huyền Tinh (cấp 8)	18	1	1	8	\image\item\other\scriptitem\xuanjing_006_s.spr		6	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	783641		0	1		xuanjing																										
Huyền Tinh vô hạ (cấp 9)	Huyền Tinh (cấp 9)	18	1	1	9	\image\item\other\scriptitem\xuanjing_007_s.spr		7	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	2821109		0	1		xuanjing																										
Huyền Tinh hoàn mỹ (cấp 10)	Huyền Tinh (cấp 10)	18	1	1	10	\image\item\other\scriptitem\xuanjing_008_s.spr		8	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	10155995		0	1		xuanjing																										
Huyền Tinh óng ánh (cấp 11)	Huyền Tinh (cấp 11)	18	1	1	11	\image\item\other\scriptitem\xuanjing_009_s.spr		8	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	36565762		0	1		xuanjing																										
Huyền Tinh trời ban (cấp 12)	Huyền Tinh (cấp 12)	18	1	1	12	\image\item\other\scriptitem\xuanjing_010_s.spr		8	Giá trị không rẻ, dùng để cường hóa trang bị ở chỗ <color=gold>Dã Luyện Đại Sư<color>.		0	1	1	131636744		0	1		xuanjing																										
Kim Tê (cấp 1)	Kim Tê (cấp 1)	18	1	2	1	\image\item\other\scriptitem\jinxi_s.spr		35	Đá quý có thần lực, có thể phục hồi độ bền lớn nhất của trang bị. <color=gold>Nhấn chuột phải để dùng.<color>		0	1	1	600		0	0		jinxi					100																					
