G	D	P	L	Desc
1	13	63	1	[Mặt nạ] Hàng Long Phục Hổ Quán
2	8	671	10	Ngân yêu đái nam hệ Kim 08_vn
2	8	672	10	Ngân yêu đái nam hệ Mộc 08_vn
2	8	673	10	Ngân yêu đái nam hệ Thủy 08_vn
2	8	674	10	Ngân yêu đái nam hệ Hỏa 08_vn
2	8	675	10	Ngân yêu đái nam hệ Thổ 08_vn
2	8	676	10	Ngân yêu đái nữ hệ Kim 08_vn
2	8	677	10	Ngân yêu đái nữ hệ Mộc 08_vn
2	8	678	10	Ngân yêu đái nữ hệ Thủy 08_vn
2	8	679	10	Ngân yêu đái nữ hệ Hỏa 08_vn
2	8	680	10	Ngân yêu đái nữ hệ Thổ 08_vn
2	8	681	10	Kim yêu đái nam hệ Kim 08_vn
2	8	682	10	Kim yêu đái nam hệ Mộc 08_vn
2	8	683	10	Kim yêu đái nam hệ Thủy 08_vn
2	8	684	10	Kim yêu đái nam hệ Hỏa 08_vn
2	8	685	10	Kim yêu đái nam hệ Thổ 08_vn
2	8	686	10	Kim yêu đái nữ hệ Kim 08_vn
2	8	687	10	Kim yêu đái nữ hệ Mộc 08_vn
2	8	688	10	Kim yêu đái nữ hệ Thủy 08_vn
2	8	689	10	Kim yêu đái nữ hệ Hỏa 08_vn
2	8	690	10	Kim yêu đái nữ hệ Thổ 08_vn
2	4	271	10	Bạch ngân_Nhẫn hệ kim_vn
2	4	272	10	Bạch ngân_Nhẫn hệ mộc_vn
2	4	273	10	Bạch ngân_Nhẫn hệ thủy_vn
2	4	274	10	Bạch ngân_Nhẫn hệ hỏa_vn
2	4	275	10	Bạch ngân_Nhẫn hệ thổ_vn
2	4	276	10	Hoàng kim_Nhẫn hệ kim_vn
2	4	277	10	Hoàng kim_Nhẫn hệ mộc_vn
2	4	278	10	Hoàng kim_Nhẫn hệ thủy_vn
2	4	279	10	Hoàng kim_Nhẫn hệ hỏa_vn
2	4	280	10	Hoàng kim_Nhẫn hệ thổ_vn
1	12	43	4	Mã bài (Trục Nhật)_vn
1	12	44	4	Mã bài (Lăng Thiên)_vn
1	12	33	4	Mã bài 120vn (Phiên Vũ)
1	12	47	4	Ức Vân-vn
4	6	457	10	Bộ liên đấu_Kỳ Phúc Bạch Ngân Phù Hệ Kim_vn
4	6	458	10	Bộ liên đấu_Kỳ Phúc Hoàng Kim Phù Hệ Kim_vn
4	6	459	10	Bộ liên đấu_Kỳ Phúc Bạch Ngân Phù Hệ Mộc_vn
4	6	460	10	Bộ liên đấu_Kỳ Phúc Hoàng Kim Phù Hệ Mộc_vn
4	6	461	10	Bộ liên đấu_Kỳ Phúc Bạch Ngân Phù Hệ Thủy_vn
4	6	462	10	Bộ liên đấu_Kỳ Phúc Hoàng Kim Phù Hệ Thủy_vn
4	6	463	10	Bộ liên đấu_Kỳ Phúc Bạch Ngân Phù Hệ Hỏa_vn
4	6	464	10	Bộ liên đấu_Kỳ Phúc Hoàng Kim Phù Hệ Hỏa_vn
4	6	465	10	Bộ liên đấu_Kỳ Phúc Bạch Ngân Phù Hệ Thổ_vn
4	6	466	10	Bộ liên đấu_Kỳ Phúc Hoàng Kim Phù Hệ Thổ_vn
4	8	477	10	Bộ tranh đoạt_Bạch Ngân yêu đái nam hệ Kim_vn
4	8	478	10	Bộ tranh đoạt_Bạch Ngân yêu đái nữ hệ Kim_vn
4	8	479	10	Bộ tranh đoạt_Hoàng Kim yêu đái nam hệ Kim_vn
4	8	480	10	Bộ tranh đoạt_Hoàng Kim yêu đái nữ hệ Kim_vn
4	8	481	10	Bộ tranh đoạt_Bạch Ngân yêu đái nam hệ Mộc_vn
4	8	482	10	Bộ tranh đoạt_Bạch Ngân yêu đái nữ hệ Mộc_vn
4	8	483	10	Bộ tranh đoạt_Hoàng Kim yêu đái nam hệ Mộc_vn
4	8	484	10	Bộ tranh đoạt_Hoàng Kim yêu đái nữ hệ Mộc_vn
4	8	485	10	Bộ tranh đoạt_Bạch Ngân yêu đái nam hệ Thủy_vn
4	8	486	10	Bộ tranh đoạt_Bạch Ngân yêu đái nữ hệ Thủy_vn
4	8	487	10	Bộ tranh đoạt_Hoàng Kim yêu đái nam hệ Thủy_vn
4	8	488	10	Bộ tranh đoạt_Hoàng Kim yêu đái nữ hệ Thủy_vn
4	8	489	10	Bộ tranh đoạt_Bạch Ngân yêu đái nam hệ Hỏa_vn
4	8	490	10	Bộ tranh đoạt_Bạch Ngân yêu đái nữ hệ Hỏa_vn
4	8	491	10	Bộ tranh đoạt_Hoàng Kim yêu đái nam hệ Hỏa_vn
4	8	492	10	Bộ tranh đoạt_Hoàng Kim yêu đái nữ hệ Hỏa_vn
4	8	493	10	Bộ tranh đoạt_Bạch Ngân yêu đái nam hệ Thổ_vn
4	8	494	10	Bộ tranh đoạt_Bạch Ngân yêu đái nữ hệ Thổ_vn
4	8	495	10	Bộ tranh đoạt_Hoàng Kim yêu đái nam hệ Thổ_vn
4	8	496	10	Bộ tranh đoạt_Hoàng Kim yêu đái nữ hệ Thổ_vn
4	8	497	10	Bộ tranh đoạt_Bạch Ngân yêu đái nam 2 hệ Kim_vn
4	8	498	10	Bộ tranh đoạt_Bạch Ngân yêu đái nữ 2 hệ Kim_vn
4	8	499	10	Bộ tranh đoạt_Hoàng Kim yêu đái nam 2 hệ Kim_vn
4	8	500	10	Bộ tranh đoạt_Hoàng Kim yêu đái nữ 2 hệ Kim_vn
4	8	501	10	Bộ tranh đoạt_Bạch Ngân yêu đái nam 2 hệ Mộc_vn
4	8	502	10	Bộ tranh đoạt_Bạch Ngân yêu đái nữ 2 hệ Mộc_vn
4	8	503	10	Bộ tranh đoạt_Hoàng Kim yêu đái nam 2 hệ Mộc_vn
4	8	504	10	Bộ tranh đoạt_Hoàng Kim yêu đái nữ 2 hệ Mộc_vn
4	8	505	10	Bộ tranh đoạt_Bạch Ngân yêu đái nam 2 hệ Thủy_vn
4	8	506	10	Bộ tranh đoạt_Bạch Ngân yêu đái nữ 2 hệ Thủy_vn
4	8	507	10	Bộ tranh đoạt_Hoàng Kim yêu đái nam 2 hệ Thủy_vn
4	8	508	10	Bộ tranh đoạt_Hoàng Kim yêu đái nữ 2 hệ Thủy_vn
4	8	509	10	Bộ tranh đoạt_Bạch Ngân yêu đái nam 2 hệ Hỏa_vn
4	8	510	10	Bộ tranh đoạt_Bạch Ngân yêu đái nữ 2 hệ Hỏa_vn
4	8	511	10	Bộ tranh đoạt_Hoàng Kim yêu đái nam 2 hệ Hỏa_vn
4	8	512	10	Bộ tranh đoạt_Hoàng Kim yêu đái nữ 2 hệ Hỏa_vn
4	8	513	10	Bộ tranh đoạt_Bạch Ngân yêu đái nam 2 hệ Thổ_vn
4	8	514	10	Bộ tranh đoạt_Bạch Ngân yêu đái nữ 2 hệ Thổ_vn
