Level	UpgardeExp	Value
1	5	5000
2	10	15000
3	15	30000
4	20	50000
5	25	75000
6	30	105000
7	35	140000
8	40	180000
9	45	225000
10	50	275000
11	55	330000
12	60	390000
13	65	455000
14	70	525000
15	75	600000
16	80	680000
17	85	765000
18	90	855000
19	95	950000
20	100	1050000
21	105	1155000
22	110	1265000
23	115	1380000
24	120	1500000
25	125	1625000
26	130	1755000
27	135	1890000
28	140	2030000
29	145	2175000
30	150	2325000
31	155	2480000
32	160	2640000
33	165	2805000
34	170	2975000
35	175	3150000
36	180	3330000
37	185	3515000
38	190	3705000
39	195	3900000
40	200	4100000
41	205	4305000
42	210	4515000
43	215	4730000
44	220	4950000
45	225	5175000
46	230	5405000
47	235	5640000
48	240	5880000
49	245	6125000
50	250	6375000
51	255	6630000
52	260	6890000
53	265	7155000
54	270	7425000
55	275	7700000
56	280	7980000
57	285	8265000
58	290	8555000
59	295	8850000
60	300	9150000
61	305	9455000
62	310	9765000
63	315	10080000
64	320	10400000
65	325	10725000
66	330	11055000
67	335	11390000
68	340	11730000
69	345	12075000
70	350	12425000
71	355	12780000
72	360	13140000
73	365	13505000
74	370	13875000
75	375	14250000
76	380	14630000
77	385	15015000
78	390	15405000
79	395	15800000
80	400	16200000
81	405	16605000
82	410	17015000
83	415	17430000
84	420	17850000
85	425	18275000
86	430	18705000
87	435	19140000
88	440	19580000
89	445	20025000
90	450	20475000
91	455	20930000
92	460	21390000
93	465	21855000
94	470	22325000
95	475	22800000
96	480	23280000
97	485	23765000
98	490	24255000
99	495	24750000
100	500	25250000
101	505	25755000
102	510	26265000
103	515	26780000
104	520	27300000
105	525	27825000
106	530	28355000
107	535	28890000
108	540	29430000
109	545	29975000
110	550	30525000
111	555	31080000
112	560	31640000
113	565	32205000
114	570	32775000
115	575	33350000
116	580	33930000
117	585	34515000
118	590	35105000
119	595	35700000
120	600	36300000
121	605	36905000
122	610	37515000
123	615	38130000
124	620	38750000
125	625	39375000
126	630	40005000
127	635	40640000
128	640	41280000
129	645	41925000
130	650	42575000
131	655	43230000
132	660	43890000
133	665	44555000
134	670	45225000
135	675	45900000
136	680	46580000
137	685	47265000
138	690	47955000
139	695	48650000
140	700	49350000
141	705	50055000
142	710	50765000
143	715	51480000
144	720	52200000
145	725	52925000
146	730	53655000
147	735	54390000
148	740	55130000
149	745	55875000
150	750	56625000
151	755	57380000
152	760	58140000
153	765	58905000
154	770	59675000
155	775	60450000
156	780	61230000
157	785	62015000
158	790	62805000
159	795	63600000
160	800	64400000
161	805	65205000
162	810	66015000
163	815	66830000
164	820	67650000
165	825	68475000
166	830	69305000
167	835	70140000
168	840	70980000
169	845	71825000
170	850	72675000
171	855	73530000
172	860	74390000
173	865	75255000
174	870	76125000
175	875	77000000
176	880	77880000
177	885	78765000
178	890	79655000
179	895	80550000
180	900	81450000
181	905	82355000
182	910	83265000
183	915	84180000
184	920	85100000
185	925	86025000
186	930	86955000
187	935	87890000
188	940	88830000
189	945	89775000
190	950	90725000
191	955	91680000
192	960	92640000
193	965	93605000
194	970	94575000
195	975	95550000
196	980	96530000
197	985	97515000
