Index	OrgitemID	ItemFirstType	ItemSecondType	Sex	Series	KongFu	ItemID1	Rate1	ItemID2	Rate2	ItemID3	Rate3
1	18,1,1953,1	1	7	0	1	2	2,1,1031,10	7600	2,1,1102,10	2000	2,1,1173,10	400
2	18,1,1953,1	1	7	0	1	1	2,1,1055,10	7600	2,1,1126,10	2000	2,1,1197,10	400
3	18,1,1953,1	1	7	0	2	2	2,1,1036,10	7600	2,1,1107,10	2000	2,1,1178,10	400
4	18,1,1953,1	1	7	0	2	1	2,1,61,10	7600	2,1,241,10	2000	2,1,601,10	400
5	18,1,1953,1	1	7	0	3	2	2,1,1041,10	7600	2,1,1112,10	2000	2,1,1183,10	400
6	18,1,1953,1	1	7	0	3	1	2,1,91,10	7600	2,1,271,10	2000	2,1,631,10	400
7	18,1,1953,1	1	7	0	4	2	2,1,1045,10	7600	2,1,1116,10	2000	2,1,1187,10	400
8	18,1,1953,1	1	7	0	4	1	2,1,131,10	7600	2,1,311,10	2000	2,1,671,10	400
9	18,1,1953,1	1	7	0	5	2	2,1,1049,10	7600	2,1,1120,10	2000	2,1,1191,10	400
10	18,1,1953,1	1	7	0	5	1	2,1,1072,10	7600	2,1,1143,10	2000	2,1,1214,10	400
11	18,1,1953,1	1	1	0	1	2	2,1,1028,10	7600	2,1,1099,10	2000	2,1,1170,10	400
12	18,1,1953,1	1	1	0	1	1	2,1,1052,10	7600	2,1,1123,10	2000	2,1,1194,10	400
13	18,1,1953,1	1	1	0	2	2	2,1,1033,10	7600	2,1,1104,10	2000	2,1,1175,10	400
14	18,1,1953,1	1	1	0	2	1	2,1,921,10	7600	2,1,941,10	2000	2,1,981,10	400
15	18,1,1953,1	1	1	0	3	2	2,1,1038,10	7600	2,1,1109,10	2000	2,1,1180,10	400
16	18,1,1953,1	1	1	0	3	1	2,1,101,10	7600	2,1,281,10	2000	2,1,641,10	400
17	18,1,1953,1	1	1	0	4	2	2,1,1043,10	7600	2,1,1114,10	2000	2,1,1185,10	400
18	18,1,1953,1	1	1	0	4	1	2,1,1065,10	7600	2,1,1136,10	2000	2,1,1207,10	400
19	18,1,1953,1	1	1	0	5	2	2,1,161,10	7600	2,1,341,10	2000	2,1,701,10	400
20	18,1,1953,1	1	1	0	5	2	2,1,1476,10	7600	2,1,1486,10	2000	2,1,1506,10	400
21	18,1,1953,1	1	1	0	5	1	2,1,171,10	7600	2,1,351,10	2000	2,1,711,10	400
22	18,1,1953,1	1	1	0	5	1	2,1,181,10	7600	2,1,361,10	2000	2,1,721,10	400
23	18,1,1953,1	1	2	0	1	2	2,1,11,10	7600	2,1,191,10	2000	2,1,551,10	400
24	18,1,1953,1	1	2	0	1	1	2,1,1051,10	7600	2,1,1122,10	2000	2,1,1193,10	400
25	18,1,1953,1	1	2	0	2	2	2,1,51,10	7600	2,1,231,10	2000	2,1,591,10	400
26	18,1,1953,1	1	2	0	2	1	2,1,1057,10	7600	2,1,1128,10	2000	2,1,1199,10	400
27	18,1,1953,1	1	2	0	3	2	2,1,71,10	7600	2,1,251,10	2000	2,1,611,10	400
28	18,1,1953,1	1	2	0	3	1	2,1,1061,10	7600	2,1,1132,10	2000	2,1,1203,10	400
29	18,1,1953,1	1	2	0	4	2	2,1,1042,10	7600	2,1,1113,10	2000	2,1,1184,10	400
30	18,1,1953,1	1	2	0	4	1	2,1,141,10	7600	2,1,321,10	2000	2,1,681,10	400
31	18,1,1953,1	1	2	0	5	2	2,1,151,10	7600	2,1,331,10	2000	2,1,691,10	400
32	18,1,1953,1	1	2	0	5	1	2,1,1069,10	7600	2,1,1140,10	2000	2,1,1211,10	400
33	18,1,1953,1	1	5	0	1	2	2,1,21,10	7600	2,1,201,10	2000	2,1,561,10	400
34	18,1,1953,1	1	5	0	1	1	2,1,1050,10	7600	2,1,1121,10	2000	2,1,1192,10	400
35	18,1,1953,1	1	5	0	2	2	2,1,1032,10	7600	2,1,1103,10	2000	2,1,1174,10	400
36	18,1,1953,1	1	5	0	2	1	2,1,1056,10	7600	2,1,1127,10	2000	2,1,1198,10	400
37	18,1,1953,1	1	5	0	3	2	2,1,1037,10	7600	2,1,1108,10	2000	2,1,1179,10	400
38	18,1,1953,1	1	5	0	3	1	2,1,1060,10	7600	2,1,1131,10	2000	2,1,1202,10	400
39	18,1,1953,1	1	5	0	4	2	2,1,111,10	7600	2,1,291,10	2000	2,1,651,10	400
40	18,1,1953,1	1	5	0	4	1	2,1,1064,10	7600	2,1,1135,10	2000	2,1,1206,10	400
41	18,1,1953,1	1	5	0	5	2	2,1,1046,10	7600	2,1,1117,10	2000	2,1,1188,10	400
42	18,1,1953,1	1	5	0	5	1	2,1,1068,10	7600	2,1,1139,10	2000	2,1,1210,10	400
43	18,1,1953,1	1	3	0	1	2	2,1,1029,10	7600	2,1,1100,10	2000	2,1,1171,10	400
44	18,1,1953,1	1	3	0	1	1	2,1,1053,10	7600	2,1,1124,10	2000	2,1,1195,10	400
45	18,1,1953,1	1	3	0	2	2	2,1,1034,10	7600	2,1,1105,10	2000	2,1,1176,10	400
46	18,1,1953,1	1	3	0	2	1	2,1,1058,10	7600	2,1,1129,10	2000	2,1,1200,10	400
47	18,1,1953,1	1	3	0	3	2	2,1,1039,10	7600	2,1,1110,10	2000	2,1,1181,10	400
48	18,1,1953,1	1	3	0	3	1	2,1,1062,10	7600	2,1,1133,10	2000	2,1,1204,10	400
49	18,1,1953,1	1	3	0	4	2	2,1,121,10	7600	2,1,301,10	2000	2,1,661,10	400
50	18,1,1953,1	1	3	0	4	1	2,1,1066,10	7600	2,1,1137,10	2000	2,1,1208,10	400
51	18,1,1953,1	1	3	0	5	2	2,1,1047,10	7600	2,1,1118,10	2000	2,1,1189,10	400
52	18,1,1953,1	1	3	0	5	1	2,1,1070,10	7600	2,1,1141,10	2000	2,1,1212,10	400
53	18,1,1953,1	1	4	0	1	2	2,1,1030,10	7600	2,1,1101,10	2000	2,1,1172,10	400
54	18,1,1953,1	1	4	0	1	1	2,1,1054,10	7600	2,1,1125,10	2000	2,1,1196,10	400
