MapType	MapId1	MapId2	MapId3	MapId4	MapId5	MapId6	MapId7	MapId8	MapId9	MapId10	MapId11	MapId12
new	1	2	3	4	5	6	7	8				
l5	30	31	32	33	34	35	36	37				
l15	38	39	40	41	42	43	44	45				
faction	9	10	12	14	15	16	17	18	19	20	22	224
l25	46	47	48	49	50	51	52	53	52	54	55	55
l35	56	57	58	59	60	61	62	63	62	64	65	65
l45	66	67	68	69	70	71	72	73	72	74	75	75
city	23	24	25	26	27	28	29					
l55	86	87	88	89	90	91	92					
l65	93	94	95	96	97	98	99					
l75	100	101	102	103	104	105	106					
l85	107	108	109	110	111	112	113					
s1	556	558	559									
												
												
												
　												
　												
　												
　												
　												
　												
　												
												
　												
　												
　												
　												
　												
　												
　												
