Id	MapId	Type	Point_x	Point_y	Content
Id	ID của map	Loại	Tọa Độ X	Tọa Độ Y	Nội Dung
1	1	1	109	136	Tiệm Binh Khí
2	1	2	109	148	\image\ui\001a\minimap\yellowpoint.spr
3	1	1	182	107	Tiệm Phòng Cụ
4	1	2	182	119	\image\ui\001a\minimap\yellowpoint.spr
5	1	1	219	92	Tiệm Trang Sức
6	1	2	219	104	\image\ui\001a\minimap\yellowpoint.spr
7	1	1	236	119	Tiệm Thuốc
8	1	2	242	131	\image\ui\001a\minimap\yellowpoint.spr
9	1	1	272	125	Tiệm Tạp Hóa
10	1	2	267	137	\image\ui\001a\minimap\yellowpoint.spr
10	1	2	267	137	\image\ui\001a\minimap\yellowpoint.spr
11	1	1	248	142	Tửu Lầu
12	1	2	253	152	\image\ui\001a\minimap\yellowpoint.spr
13	1	1	290	167	Tiệm Gỗ
14	1	2	294	179	\image\ui\001a\minimap\yellowpoint.spr
15	1	1	239	181	Tiệm Da
16	1	2	239	193	\image\ui\001a\minimap\yellowpoint.spr
17	1	1	152	170	Tiền Trang
18	1	2	152	182	\image\ui\001a\minimap\yellowpoint.spr
19	1	1	246	202	Bao Vạn Đồng
20	1	2	246	214	\image\ui\001a\minimap\yellowpoint.spr
21	1	1	396	166	Diệp Chi Lâm
22	1	2	396	178	\image\ui\001a\minimap\yellowpoint.spr
23	1	1	214	141	Bạch Thu Lâm
24	1	2	208	153	\image\ui\001a\minimap\yellowpoint.spr
25	1	1	346	164	Long Ngũ Thái Gia
26	1	2	340	176	\image\ui\001a\minimap\yellowpoint.spr
27	1	1	334	193	Tiếp Dẫn Thiếu Lâm
28	1	2	334	205	\image\ui\001a\minimap\yellowpoint.spr
29	1	1	297	207	Tiếp Dẫn Thiên Vương
30	1	2	297	219	\image\ui\001a\minimap\yellowpoint.spr
31	1	1	330	224	Tiếp Dẫn Đường Môn
32	1	2	336	236	\image\ui\001a\minimap\yellowpoint.spr
33	1	1	380	219	Tiếp Dẫn Ngũ Độc
34	1	2	374	231	\image\ui\001a\minimap\yellowpoint.spr
35	1	1	362	247	Tiếp Dẫn Nga My
36	1	2	375	259	\image\ui\001a\minimap\yellowpoint.spr
37	1	1	411	240	Tiếp Dẫn Thúy Yên
38	1	2	412	252	\image\ui\001a\minimap\yellowpoint.spr
39	1	1	460	242	Tiếp Dẫn Cái Bang
40	1	2	448	253	\image\ui\001a\minimap\yellowpoint.spr
41	1	1	428	267	Tiếp Dẫn Thiên Nhẫn
42	1	2	436	279	\image\ui\001a\minimap\yellowpoint.spr
43	1	1	480	267	Tiếp Dẫn Võ Đang
44	1	2	476	279	\image\ui\001a\minimap\yellowpoint.spr
45	1	1	531	234	Tiếp Dẫn Côn Lôn
46	1	2	531	246	\image\ui\001a\minimap\yellowpoint.spr
47	1	1	58	201	Biện Kinh Phủ
48	1	2	58	217	\image\ui\001a\minimap\icon_south.spr
49	1	1	582	312	Thiên Nhẫn Giáo
50	1	2	582	326	\image\ui\001a\minimap\icon_southeast.spr
51	1	1	158	42	Tát Mãn Giáo
52	1	2	158	56	\image\ui\001a\minimap\icon_northwest.spr
53	1	1	646	254	Chiến Trường Cổ
54	1	2	646	270	\image\ui\001a\minimap\icon_northeast.spr
55	1	1	552	194	Dã Luyện Đại Ca
56	1	2	552	206	\image\ui\001a\minimap\yellowpoint.spr
57	1	1	666	312	Trấn Đông Mộ Viên
58	1	2	652	298	\image\ui\001a\minimap\icon_southeast.spr
59	1	1	267	66	Thủ Khố
60	1	2	250	78	\image\ui\001a\minimap\yellowpoint.spr
61	1	1	574	288	Thủ Khố
62	1	2	554	300	\image\ui\001a\minimap\yellowpoint.spr
63	1	1	166	138	Thủ Khố
64	1	2	179	150	\image\ui\001a\minimap\yellowpoint.spr
65	1	1	243	50	Xa Phu
66	1	2	233	62	\image\ui\001a\minimap\yellowpoint.spr
67	1	1	523	282	Xa Phu
68	1	2	523	294	\image\ui\001a\minimap\yellowpoint.spr
69	1	1	140	96	Lễ Quan
70	1	2	140	108	\image\ui\001a\minimap\yellowpoint.spr
71	1	1	488	218	Tiếp Dẫn Đoàn Thị
72	1	2	488	230	\image\ui\001a\minimap\yellowpoint.spr
73	1	1	448	192	Tiếp Dẫn Minh Giáo
74	1	2	448	204	\image\ui\001a\minimap\yellowpoint.spr
75	1	1	180	207	Sứ Giả Hoạt Động
76	1	2	180	220	\image\ui\001a\minimap\yellowpoint.spr
77	1	1	308	92	Thương Nhân Đặc Sản
78	1	2	308	104	\image\ui\001a\minimap\yellowpoint.spr
79	1	1	214	36	Sắc Lặc Xuyên
80	1	2	214	50	\image\ui\001a\minimap\icon_northwest.spr
81	1	1	616	190	Truyền Tống Quân Doanh
82	1	2	600	202	\image\ui\001a\minimap\yellowpoint.spr
83	1	1	507	161	Áng Nhược Tuyết
84	1	2	507	173	\image\ui\001a\minimap\yellowpoint.spr
85	1	1	66	162	Tần Oa
86	1	2	66	174	\image\ui\001a\minimap\yellowpoint.spr
87	1	1	458	138	Gia Tộc Chiêu Mộ Sứ
88	1	2	458	150	\image\ui\001a\minimap\yellowpoint.spr
1	2	1	360	385	Tiệm Binh Khí
2	2	2	360	397	\image\ui\001a\minimap\yellowpoint.spr
3	2	1	382	371	Tiệm Phòng Cụ
4	2	2	387	383	\image\ui\001a\minimap\yellowpoint.spr
5	2	1	419	368	Tiệm Trang Sức
6	2	2	409	380	\image\ui\001a\minimap\yellowpoint.spr
7	2	1	422	389	Tiệm Thuốc
8	2	2	428	401	\image\ui\001a\minimap\yellowpoint.spr
9	2	1	458	396	Tiệm Tạp Hóa
10	2	2	444	408	\image\ui\001a\minimap\yellowpoint.spr
11	2	1	482	361	Tửu Lầu
12	2	2	482	373	\image\ui\001a\minimap\yellowpoint.spr
13	2	1	639	390	Tiệm Gỗ
14	2	2	639	402	\image\ui\001a\minimap\yellowpoint.spr
15	2	1	631	344	Tiệm Da
16	2	2	631	356	\image\ui\001a\minimap\yellowpoint.spr
17	2	1	510	394	Tiền Trang
18	2	2	510	406	\image\ui\001a\minimap\yellowpoint.spr
19	2	1	366	442	Bao Vạn Đồng
20	2	2	366	454	\image\ui\001a\minimap\yellowpoint.spr
21	2	1	399	510	Diệp Chi Lâm
22	2	2	399	522	\image\ui\001a\minimap\yellowpoint.spr
23	2	1	420	428	Bạch Thu Lâm
24	2	2	420	440	\image\ui\001a\minimap\yellowpoint.spr
25	2	1	475	460	Long Ngũ Thái Gia
26	2	2	475	472	\image\ui\001a\minimap\yellowpoint.spr
27	2	1	516	473	Tiếp Dẫn Thiếu Lâm
28	2	2	522	485	\image\ui\001a\minimap\yellowpoint.spr
29	2	1	548	485	Tiếp Dẫn Thiên Vương
30	2	2	548	497	\image\ui\001a\minimap\yellowpoint.spr
31	2	1	572	514	Tiếp Dẫn Đường Môn
32	2	2	577	526	\image\ui\001a\minimap\yellowpoint.spr
33	2	1	594	492	Tiếp Dẫn Ngũ Độc
34	2	2	586	504	\image\ui\001a\minimap\yellowpoint.spr
35	2	1	639	507	Tiếp Dẫn Nga My
36	2	2	611	507	\image\ui\001a\minimap\yellowpoint.spr
37	2	1	615	473	Tiếp Dẫn Thúy Yên
38	2	2	615	485	\image\ui\001a\minimap\yellowpoint.spr
39	2	1	612	450	Tiếp Dẫn Cái Bang
40	2	2	616	462	\image\ui\001a\minimap\yellowpoint.spr
41	2	1	660	455	Tiếp Dẫn Thiên Nhẫn
42	2	2	656	467	\image\ui\001a\minimap\yellowpoint.spr
43	2	1	658	434	Tiếp Dẫn Võ Đang
44	2	2	668	446	\image\ui\001a\minimap\yellowpoint.spr
45	2	1	707	435	Tiếp Dẫn Côn Lôn
46	2	2	699	447	\image\ui\001a\minimap\yellowpoint.spr
47	2	1	356	592	Phượng Tường Phủ
48	2	2	356	606	\image\ui\001a\minimap\icon_southeast.spr
49	2	1	234	588	Côn Lôn Phái
50	2	2	234	604	\image\ui\001a\minimap\icon_south.spr
51	2	1	62	416	Quán Trọ Long Môn [Cấp 5]
52	2	2	62	428	\image\ui\001a\minimap\icon_west.spr
53	2	1	55	540	Kỳ Liên Sơn [Cấp 15]
54	2	2	55	553	\image\ui\001a\minimap\icon_southwest.spr
55	2	1	521	302	Dã Luyện Đại Ca
56	2	2	521	314	\image\ui\001a\minimap\yellowpoint.spr
57	2	1	496	500	Thuyền Phu
58	2	2	496	512	\image\ui\001a\minimap\yellowpoint.spr
59	2	1	212	218	Thủ Khố
60	2	2	232	230	\image\ui\001a\minimap\yellowpoint.spr
61	2	1	277	460	Thủ Khố
62	2	2	277	472	\image\ui\001a\minimap\yellowpoint.spr
63	2	1	348	414	Thủ Khố
64	2	2	348	426	\image\ui\001a\minimap\yellowpoint.spr
65	2	1	255	220	Xa Phu
66	2	2	255	232	\image\ui\001a\minimap\yellowpoint.spr
67	2	1	228	460	Xa Phu
68	2	2	231	472	\image\ui\001a\minimap\yellowpoint.spr
69	2	1	385	318	Lễ Quan
70	2	2	385	330	\image\ui\001a\minimap\yellowpoint.spr
71	2	1	518	432	Tiếp Dẫn Đoàn Thị
72	2	2	518	444	\image\ui\001a\minimap\yellowpoint.spr
73	2	1	558	412	Tiếp Dẫn Minh Giáo
74	2	2	558	424	\image\ui\001a\minimap\yellowpoint.spr
75	2	1	550	385	Sứ Giả Hoạt Động
76	2	2	550	398	\image\ui\001a\minimap\yellowpoint.spr
77	2	1	566	344	Thương Nhân Đặc Sản
78	2	2	566	356	\image\ui\001a\minimap\yellowpoint.spr
79	2	1	170	52	Gia Dụ Quan [Cấp 95]
80	2	2	170	66	\image\ui\001a\minimap\icon_north.spr
81	2	1	334	344	Truyền Tống Quân Doanh
82	2	2	334	356	\image\ui\001a\minimap\yellowpoint.spr
83	2	1	100	174	Đôn Hoàng Cổ Thành [Cấp 105]
84	2	2	100	188	\image\ui\001a\minimap\icon_northwest.spr
85	2	1	172	280	Nguyệt Nha Tuyền [Cấp 115]
86	2	2	178	294	\image\ui\001a\minimap\icon_northwest.spr
87	2	1	419	341	Áng Nhược Tuyết
88	2	2	419	353	\image\ui\001a\minimap\yellowpoint.spr
89	2	1	217	516	Tần Oa
90	2	2	217	528	\image\ui\001a\minimap\yellowpoint.spr
91	2	1	338	472	Gia Tộc Chiêu Mộ Sứ
92	2	2	338	484	\image\ui\001a\minimap\yellowpoint.spr
1	3	1	433	135	Tiệm Binh Khí
2	3	2	433	147	\image\ui\001a\minimap\yellowpoint.spr
3	3	1	457	151	Tiệm Phòng Cụ
4	3	2	457	163	\image\ui\001a\minimap\yellowpoint.spr
5	3	1	489	165	Tiệm Trang Sức
6	3	2	489	177	\image\ui\001a\minimap\yellowpoint.spr
7	3	1	547	183	Tiệm Thuốc
8	3	2	547	195	\image\ui\001a\minimap\yellowpoint.spr
9	3	1	317	279	Tiệm Tạp Hóa
10	3	2	309	291	\image\ui\001a\minimap\yellowpoint.spr
11	3	1	289	267	Tửu Lầu
12	3	2	293	279	\image\ui\001a\minimap\yellowpoint.spr
13	3	1	232	290	Tiệm Gỗ
14	3	2	232	302	\image\ui\001a\minimap\yellowpoint.spr
15	3	1	164	250	Tiệm Da
16	3	2	164	264	\image\ui\001a\minimap\yellowpoint.spr
17	3	1	550	236	Tiền Trang
18	3	2	550	247	\image\ui\001a\minimap\yellowpoint.spr
19	3	1	366	185	Bao Vạn Đồng
20	3	2	366	197	\image\ui\001a\minimap\yellowpoint.spr
21	3	1	513	256	Diệp Chi Lâm
22	3	2	513	268	\image\ui\001a\minimap\yellowpoint.spr
23	3	1	257	205	Bạch Thu Lâm
24	3	2	257	217	\image\ui\001a\minimap\yellowpoint.spr
25	3	1	396	202	Long Ngũ Thái Gia
26	3	2	396	214	\image\ui\001a\minimap\yellowpoint.spr
27	3	1	66	283	Tiếp Dẫn Thiếu Lâm
28	3	2	66	295	\image\ui\001a\minimap\yellowpoint.spr
29	3	1	82	314	Tiếp Dẫn Thiên Vương
30	3	2	82	326	\image\ui\001a\minimap\yellowpoint.spr
31	3	1	136	312	Tiếp Dẫn Đường Môn
32	3	2	136	324	\image\ui\001a\minimap\yellowpoint.spr
33	3	1	110	340	Tiếp Dẫn Ngũ Độc
34	3	2	110	352	\image\ui\001a\minimap\yellowpoint.spr
35	3	1	152	351	Tiếp Dẫn Nga My
36	3	2	152	363	\image\ui\001a\minimap\yellowpoint.spr
37	3	1	186	335	Tiếp Dẫn Thúy Yên
38	3	2	186	347	\image\ui\001a\minimap\yellowpoint.spr
39	3	1	293	364	Tiếp Dẫn Cái Bang
40	3	2	293	376	\image\ui\001a\minimap\yellowpoint.spr
41	3	1	328	380	Tiếp Dẫn Thiên Nhẫn
42	3	2	328	392	\image\ui\001a\minimap\yellowpoint.spr
43	3	1	372	404	Tiếp Dẫn Võ Đang
44	3	2	372	416	\image\ui\001a\minimap\yellowpoint.spr
45	3	1	378	368	Tiếp Dẫn Côn Lôn
46	3	2	378	380	\image\ui\001a\minimap\yellowpoint.spr
47	3	1	874	120	Thiếu Lâm Phái
48	3	2	874	134	\image\ui\001a\minimap\icon_northeast.spr
49	3	1	610	396	Tương Dương Phủ
50	3	2	610	410	\image\ui\001a\minimap\icon_southeast.spr
51	3	1	546	44	Đồng Quan [Cấp 15]
52	3	2	546	57	\image\ui\001a\minimap\icon_north.spr
53	3	1	488	391	Võ Đang Phái
54	3	2	488	405	\image\ui\001a\minimap\icon_southeast.spr
55	3	1	361	157	Dã Luyện Đại Ca
56	3	2	361	169	\image\ui\001a\minimap\yellowpoint.spr
57	3	1	405	259	Lễ Quan
58	3	2	405	271	\image\ui\001a\minimap\yellowpoint.spr
59	3	1	504	337	Thủ Khố
60	3	2	488	349	\image\ui\001a\minimap\yellowpoint.spr
61	3	1	241	159	Thủ Khố
62	3	2	251	171	\image\ui\001a\minimap\yellowpoint.spr
63	3	1	766	102	Quân Mã Trường [Cấp 5]
64	3	2	766	116	\image\ui\001a\minimap\icon_northeast.spr
65	3	1	453	339	Xa Phu
66	3	2	457	351	\image\ui\001a\minimap\yellowpoint.spr
67	3	1	300	162	Xa Phu
68	3	2	300	174	\image\ui\001a\minimap\yellowpoint.spr
69	3	1	340	348	Tiếp Dẫn Đoàn Thị
70	3	2	340	360	\image\ui\001a\minimap\yellowpoint.spr
71	3	1	306	335	Tiếp Dẫn Minh Giáo
72	3	2	306	347	\image\ui\001a\minimap\yellowpoint.spr
73	3	1	644	202	Thủ Khố
74	3	2	644	214	\image\ui\001a\minimap\yellowpoint.spr
75	3	1	664	164	Xa Phu
76	3	2	664	176	\image\ui\001a\minimap\yellowpoint.spr
77	3	1	240	237	Sứ Giả Hoạt Động
78	3	2	240	250	\image\ui\001a\minimap\yellowpoint.spr
79	3	1	202	190	Thương Nhân Đặc Sản
80	3	2	202	202	\image\ui\001a\minimap\yellowpoint.spr
81	3	1	428	44	Hoa Sơn [cấp 95]
82	3	2	428	58	\image\ui\001a\minimap\icon_northwest.spr
83	3	1	297	195	Truyền Tống Quân Doanh
84	3	2	277	207	\image\ui\001a\minimap\yellowpoint.spr
85	3	1	167	119	Tàn Tích Cung A Phòng [cấp 115]
86	3	2	167	133	\image\ui\001a\minimap\icon_northwest.spr
87	3	1	352	218	Áng Nhược Tuyết
88	3	2	352	230	\image\ui\001a\minimap\yellowpoint.spr
89	3	1	492	108	Tần Oa
90	3	2	492	120	\image\ui\001a\minimap\yellowpoint.spr
91	3	1	490	214	Gia Tộc Chiêu Mộ Sứ
92	3	2	490	226	\image\ui\001a\minimap\yellowpoint.spr
1	4	1	235	216	Tiệm Binh Khí
2	4	2	235	228	\image\ui\001a\minimap\yellowpoint.spr
3	4	1	276	192	Tiệm Phòng Cụ
4	4	2	276	204	\image\ui\001a\minimap\yellowpoint.spr
5	4	1	341	242	Tiệm Trang Sức
6	4	2	341	254	\image\ui\001a\minimap\yellowpoint.spr
7	4	1	405	198	Tiệm Thuốc
8	4	2	405	210	\image\ui\001a\minimap\yellowpoint.spr
9	4	1	439	198	Tiệm Tạp Hóa
10	4	2	433	210	\image\ui\001a\minimap\yellowpoint.spr
11	4	1	467	210	Tửu Lầu
12	4	2	467	222	\image\ui\001a\minimap\yellowpoint.spr
13	4	1	350	306	Tiệm Gỗ
14	4	2	357	318	\image\ui\001a\minimap\yellowpoint.spr
15	4	1	279	266	Tiệm Da
16	4	2	279	278	\image\ui\001a\minimap\yellowpoint.spr
17	4	1	210	200	Tiền Trang
18	4	2	210	212	\image\ui\001a\minimap\yellowpoint.spr
19	4	1	358	220	Bao Vạn Đồng
20	4	2	358	232	\image\ui\001a\minimap\yellowpoint.spr
21	4	1	313	90	Diệp Chi Lâm
22	4	2	313	102	\image\ui\001a\minimap\yellowpoint.spr
23	4	1	399	246	Bạch Thu Lâm
24	4	2	399	258	\image\ui\001a\minimap\yellowpoint.spr
25	4	1	432	226	Long Ngũ Thái Gia
26	4	2	432	238	\image\ui\001a\minimap\yellowpoint.spr
27	4	1	395	160	Tiếp Dẫn Thiếu Lâm
28	4	2	395	172	\image\ui\001a\minimap\yellowpoint.spr
29	4	1	440	154	Tiếp Dẫn Thiên Vương
30	4	2	440	166	\image\ui\001a\minimap\yellowpoint.spr
31	4	1	403	126	Tiếp Dẫn Đường Môn
32	4	2	403	138	\image\ui\001a\minimap\yellowpoint.spr
33	4	1	457	126	Tiếp Dẫn Ngũ Độc
34	4	2	457	138	\image\ui\001a\minimap\yellowpoint.spr
35	4	1	519	136	Tiếp Dẫn Nga My
36	4	2	519	148	\image\ui\001a\minimap\yellowpoint.spr
37	4	1	559	168	Tiếp Dẫn Thúy Yên
38	4	2	559	180	\image\ui\001a\minimap\yellowpoint.spr
39	4	1	616	178	Tiếp Dẫn Cái Bang
40	4	2	616	190	\image\ui\001a\minimap\yellowpoint.spr
41	4	1	582	218	Tiếp Dẫn Thiên Nhẫn
42	4	2	582	230	\image\ui\001a\minimap\yellowpoint.spr
43	4	1	645	236	Tiếp Dẫn Võ Đang
44	4	2	645	248	\image\ui\001a\minimap\yellowpoint.spr
45	4	1	614	250	Tiếp Dẫn Côn Lôn
46	4	2	614	262	\image\ui\001a\minimap\yellowpoint.spr
47	4	1	626	314	Dương Châu Phủ
48	4	2	626	328	\image\ui\001a\minimap\icon_southeast.spr
49	4	1	500	404	Cái Bang
50	4	2	500	418	\image\ui\001a\minimap\icon_southeast.spr
51	4	1	180	118	Mai Hoa Lĩnh [Cấp 5]
52	4	2	180	132	\image\ui\001a\minimap\icon_northwest.spr
53	4	1	225	416	Hoài Thủy Sa Châu [Cấp 15]
54	4	2	225	430	\image\ui\001a\minimap\icon_southwest.spr
55	4	1	237	305	Dã Luyện Đại Ca
56	4	2	237	317	\image\ui\001a\minimap\yellowpoint.spr
57	4	1	471	254	Lễ Quan
58	4	2	471	266	\image\ui\001a\minimap\yellowpoint.spr
59	4	1	405	316	Thủ Khố
60	4	2	400	328	\image\ui\001a\minimap\yellowpoint.spr
61	4	1	328	188	Thủ Khố
62	4	2	316	200	\image\ui\001a\minimap\yellowpoint.spr
63	4	1	693	160	Tiến Cúc Động [Cấp 85]
64	4	2	693	174	\image\ui\001a\minimap\yellowpoint.spr
65	4	1	437	328	Xa Phu
66	4	2	425	338	\image\ui\001a\minimap\yellowpoint.spr
67	4	1	274	152	Xa Phu
68	4	2	274	164	\image\ui\001a\minimap\yellowpoint.spr
69	4	1	587	264	Tiếp Dẫn Đoàn Thị
70	4	2	597	276	\image\ui\001a\minimap\yellowpoint.spr
71	4	1	558	285	Tiếp Dẫn Minh Giáo
72	4	2	558	297	\image\ui\001a\minimap\yellowpoint.spr
73	4	1	414	273	Sứ Giả Hoạt Động
74	4	2	414	286	\image\ui\001a\minimap\yellowpoint.spr
75	4	1	347	272	Thương Nhân Đặc Sản
76	4	2	347	284	\image\ui\001a\minimap\yellowpoint.spr
77	4	1	575	60	Thục Cương Sơn Bí Cảnh [Cấp 95]
78	4	2	575	74	\image\ui\001a\minimap\icon_north.spr
79	4	1	331	352	Truyền Tống Quân Doanh
80	4	2	331	364	\image\ui\001a\minimap\yellowpoint.spr
81	4	1	269	347	Áng Nhược Tuyết
82	4	2	269	359	\image\ui\001a\minimap\yellowpoint.spr
83	4	1	318	446	Tần Oa
84	4	2	318	458	\image\ui\001a\minimap\yellowpoint.spr
85	4	1	480	172	Gia Tộc Chiêu Mộ Sứ
86	4	2	480	185	\image\ui\001a\minimap\yellowpoint.spr
1	5	1	324	263	Tiệm Binh Khí
2	5	2	324	275	\image\ui\001a\minimap\yellowpoint.spr
3	5	1	299	238	Tiệm Phòng Cụ
4	5	2	299	250	\image\ui\001a\minimap\yellowpoint.spr
5	5	1	359	228	Tiệm Trang Sức
6	5	2	359	240	\image\ui\001a\minimap\yellowpoint.spr
7	5	1	390	216	Tiệm Thuốc
8	5	2	390	228	\image\ui\001a\minimap\yellowpoint.spr
9	5	1	430	234	Tiệm Tạp Hóa
10	5	2	433	246	\image\ui\001a\minimap\yellowpoint.spr
11	5	1	360	290	Tửu Lầu
12	5	2	369	302	\image\ui\001a\minimap\yellowpoint.spr
13	5	1	367	328	Tiệm Gỗ
14	5	2	361	340	\image\ui\001a\minimap\yellowpoint.spr
15	5	1	271	284	Tiệm Da
16	5	2	271	296	\image\ui\001a\minimap\yellowpoint.spr
17	5	1	466	266	Tiền Trang
18	5	2	466	278	\image\ui\001a\minimap\yellowpoint.spr
19	5	1	465	238	Bao Vạn Đồng
20	5	2	459	250	\image\ui\001a\minimap\yellowpoint.spr
21	5	1	380	43	Diệp Chi Lâm
22	5	2	380	55	\image\ui\001a\minimap\yellowpoint.spr
23	5	1	370	257	Bạch Thu Lâm
24	5	2	379	269	\image\ui\001a\minimap\yellowpoint.spr
25	5	1	395	304	Long Ngũ Thái Gia
