FlyTypeId	Ghi chú	Size	Color	CharSpace	Group	MinDTime	MaxDTime	StartHeightPercent	CharFormat	FlashTime	FlyTime	FlyHeight
1	HIT_NORMAL	1	1	0	1	150	0	130	%d	100	2000	150
2	HIT_DEADLY	2	3	0	1	150	0	130	%d	100	3000	150
3	HIT_MISS	1	1	0	1	150	0	130	m	100	2000	150
4	HURT_NORMAL	1	2	0	2	150	900	130	%d	100	2000	150
5	HURT_DEADLY	2	4	0	2	150	900	130	%d	100	3000	150
6	HURT_MISS	1	2	0	2	150	900	130	m	100	2000	150
7	EXP_INC	1	0	0	3	500	2000	-70	e+%d	0	1500	50
8	EXP_DEC	1	0	0	3	500	2000	-70	e-%d	0	1500	50
9	GATHERP_INC	1	0	0	3	500	2000	-70	g+%d	0	1500	50
10	GATHERP_DEC	1	0	0	3	500	2000	-70	g-%d	0	1500	50
11	MAKEP_INC	1	0	0	3	500	2000	-70	p+%d	0	1500	50
12	MAKEP_DEC	1	0	0	3	500	2000	-70	p-%d	0	1500	50
13	MONEY_INC	1	3	0	3	500	2000	-70	t+%d	0	1500	50
14	MONEY_DEC	1	3	0	3	500	2000	-70	t-%d	0	1500	50
15	BINDMONEY_INC	1	3	0	3	500	2000	-70	b+%d	0	1500	50
16	BINDMONEY_DEC	1	3	0	3	500	2000	-70	b-%d	0	1500	50
17	BINDGOLD_INC	1	3	0	3	500	2000	-70	j+%d	0	1500	50
18	BINDGOLD_DEC	1	3	0	3	500	2000	-70	j-%d	0	1500	50
19	MACHINERY_INC	1	3	0	3	500	2000	-70	h+%d	0	1500	50
20	MACHINERY_DEC	1	3	0	3	500	2000	-70	h-%d	0	1500	50
21	HIT_CLEAR	2	3	0	1	150	0	130	c	100	3000	150
22	HURT__CLEAR	2	4	0	2	150	900	130	c	100	3000	150
23	HIT_RESIST	2	3	0	1	150	0	130	r	100	3000	150
24	HURT__RESIST	2	4	0	2	150	900	130	r	100	3000	150
