NpcList	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
ani001								sv018.wav	sv019.wav	sv017.wav				
ani002									sv077.wav					
ani003									sv079.wav					
ani004									sv079.wav					
ani005								sv027.wav	sv028.wav	sv026.wav				
ani006									sv079.wav					
ani007														
ani008									sv074.wav					
ani009								sv024.wav	sv025.wav	sv023.wav				
ani010									sv081.wav	sv080.wav				
ani011									sv074.wav					
ani012								sv018.wav	sv019.wav	sv017.wav				
ani013								sv015.wav	sv016.wav	sv014.wav				
ani014									sv078.wav					
ani015								sv024.wav	sv025.wav	sv023.wav				
ani016								sv030.wav	sv031.wav	sv029.wav				
ani017								sv024.wav	sv025.wav	sv023.wav				
ani018									sv076.wav	sv075.wav				
ani019								sv030.wav	sv031.wav	sv029.wav				
ani020														
ani021									sv079.wav					
ani022									sv079.wav					
enemy001								sv042.wav	sv043.wav	sv041.wav				
enemy002								sv051.wav	sv052.wav	sv050.wav				
enemy003								sv048.wav	sv049.wav	sv047.wav				
enemy004								sv051.wav	sv052.wav	sv050.wav				
enemy005								sv042.wav	sv043.wav	sv041.wav				
enemy006								sv045.wav	sv046.wav	sv044.wav				
enemy007								sv042.wav	sv043.wav	sv041.wav				
enemy008								sv048.wav	sv049.wav	sv047.wav				
enemy009								sv051.wav	sv052.wav	sv050.wav				
enemy010								sv048.wav	sv049.wav	sv047.wav				
enemy011								sv048.wav	sv049.wav	sv047.wav				
enemy012								sv048.wav	sv049.wav	sv047.wav				
enemy013								sv042.wav	sv043.wav	sv041.wav				
enemy014								sv045.wav	sv046.wav	sv044.wav				
enemy015								sv036.wav	sv037.wav	sv035.wav				
enemy016								sv051.wav	sv052.wav	sv050.wav				
enemy017								sv042.wav	sv043.wav	sv041.wav				
enemy018								sv042.wav	sv043.wav	sv041.wav				
enemy019								sv072.wav	sv064.wav	sv071.wav				
enemy020								sv072.wav	sv064.wav	sv071.wav				
enemy021								sv054.wav	sv055.wav	sv053.wav				
enemy022								sv054.wav	sv055.wav	sv053.wav				
enemy023								sv072.wav	sv064.wav	sv071.wav				
enemy024								sv072.wav	sv064.wav	sv071.wav				
enemy025								sv063.wav	sv061.wav	sv059.wav				
enemy026								sv069.wav	sv070.wav	sv068.wav				
enemy027								sv069.wav	sv070.wav	sv068.wav				
enemy028								sv063.wav	sv061.wav	sv059.wav				
enemy029								sv063.wav	sv061.wav	sv059.wav				
enemy030								sv069.wav	sv070.wav	sv068.wav				
enemy031								sv063.wav	sv061.wav	sv059.wav				
enemy032								sv069.wav	sv070.wav	sv068.wav				
enemy033								sv063.wav	sv061.wav	sv059.wav				
enemy034								sv063.wav	sv064.wav	sv062.wav				
enemy035								sv063.wav	sv061.wav	sv059.wav				
enemy036								sv063.wav	sv061.wav	sv059.wav				
enemy037								sv042.wav	sv043.wav	sv041.wav				
enemy038								sv042.wav	sv043.wav	sv041.wav				
enemy039								sv051.wav	sv052.wav	sv050.wav				
enemy040								sv051.wav	sv052.wav	sv050.wav				
enemy041								sv045.wav	sv046.wav	sv044.wav				
enemy042								sv048.wav	sv049.wav	sv047.wav				
enemy043								sv042.wav	sv043.wav	sv041.wav				
enemy044								sv051.wav	sv052.wav	sv050.wav				
enemy045								sv051.wav	sv052.wav	sv050.wav				
enemy046								sv048.wav	sv049.wav	sv047.wav				
enemy047								sv051.wav	sv052.wav	sv050.wav				
enemy048								sv048.wav	sv049.wav	sv047.wav				
enemy049								sv042.wav	sv043.wav	sv041.wav				
enemy050								sv045.wav	sv046.wav	sv044.wav				
enemy051								sv051.wav	sv052.wav	sv050.wav				
enemy052								sv051.wav	sv052.wav	sv050.wav				
enemy053								sv042.wav	sv043.wav	sv041.wav				
enemy054								sv051.wav	sv052.wav	sv050.wav				
enemy055								sv042.wav	sv043.wav	sv041.wav				
enemy056								sv045.wav	sv046.wav	sv044.wav				
