NpcList	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
ani001	ani001_st01.spr	ani001_st01.spr	ani001_st01.spr	ani001_wlk.spr	ani001_wlk.spr	ani001_wlk.spr	ani001_wlk.spr	ani001_bat.spr	ani001_die.spr	ani001_at01.spr	ani001_at01.spr	ani001_at01.spr	ani001_st01.spr	ani001_wlk.spr
ani002	ani002_st01.spr	ani002_st01.spr	ani002_st01.spr	ani002_wlk.spr	ani002_wlk.spr	ani002_wlk.spr	ani002_wlk.spr	ani002_bat.spr	ani002_die.spr	ani002_at01.spr	ani002_at01.spr	ani002_at01.spr	ani002_st01.spr	ani002_wlk.spr
ani003	ani003_st01.spr	ani003_st01.spr	ani003_st01.spr	ani003_wlk.spr	ani003_wlk.spr	ani003_wlk.spr	ani003_wlk.spr	ani003_bat.spr	ani003_die.spr	ani003_at01.spr	ani003_at01.spr	ani003_at01.spr	ani003_st01.spr	ani003_wlk.spr
ani004	ani004_st01.spr	ani004_st01.spr	ani004_st01.spr	ani004_wlk.spr	ani004_wlk.spr	ani004_wlk.spr	ani004_wlk.spr	ani004_bat.spr	ani004_die.spr	ani004_at01.spr	ani004_at01.spr	ani004_at01.spr	ani004_st01.spr	ani004_wlk.spr
ani005	ani005_st01.spr	ani005_st01.spr	ani005_st01.spr	ani005_wlk.spr	ani005_wlk.spr	ani005_wlk.spr	ani005_wlk.spr	ani005_bat.spr	ani005_die.spr	ani005_at01.spr	ani005_at01.spr	ani005_at01.spr	ani005_st01.spr	ani005_wlk.spr
ani006	ani006_st01.spr	ani006_st01.spr	ani006_st01.spr	ani006_wlk.spr	ani006_wlk.spr	ani006_wlk.spr	ani006_wlk.spr	ani006_bat.spr	ani006_die.spr	ani006_at01.spr	ani006_at01.spr	ani006_at01.spr	ani006_st01.spr	ani006_wlk.spr
ani007	ani007_st01.spr	ani007_st01.spr	ani007_st01.spr	ani007_wlk.spr	ani007_wlk.spr	ani007_wlk.spr	ani007_wlk.spr	ani007_bat.spr	ani007_die.spr	ani007_at01.spr	ani007_at01.spr	ani007_at01.spr	ani007_st01.spr	ani007_wlk.spr
ani008	ani008_st01.spr	ani008_st01.spr	ani008_st01.spr	ani008_wlk.spr	ani008_wlk.spr	ani008_wlk.spr	ani008_wlk.spr	ani008_bat.spr	ani008_die.spr	ani008_at01.spr	ani008_at01.spr	ani008_at01.spr	ani008_st01.spr	ani008_wlk.spr
ani009	ani009_st01.spr	ani009_st01.spr	ani009_st01.spr	ani009_wlk.spr	ani009_wlk.spr	ani009_wlk.spr	ani009_wlk.spr	ani009_bat.spr	ani009_die.spr	ani009_at01.spr	ani009_at01.spr	ani009_at01.spr	ani009_st01.spr	ani009_wlk.spr
ani010	ani010_st01.spr	ani010_st01.spr	ani010_st01.spr	ani010_wlk.spr	ani010_wlk.spr	ani010_wlk.spr	ani010_wlk.spr	ani010_bat.spr	ani010_die.spr	ani010_at01.spr	ani010_at01.spr	ani010_at01.spr	ani010_st01.spr	ani010_wlk.spr
ani011	ani011_st01.spr	ani011_st01.spr	ani011_st01.spr	ani011_wlk.spr	ani011_wlk.spr	ani011_wlk.spr	ani011_wlk.spr	ani011_bat.spr	ani011_die.spr	ani011_at01.spr	ani011_at01.spr	ani011_at01.spr	ani011_st01.spr	ani011_wlk.spr
ani012	ani012_st01.spr	ani012_st01.spr	ani012_st01.spr	ani012_wlk.spr	ani012_wlk.spr	ani012_wlk.spr	ani012_wlk.spr	ani012_bat.spr	ani012_die.spr	ani012_at01.spr	ani012_at01.spr	ani012_at01.spr	ani012_st01.spr	ani012_wlk.spr
ani013	ani013_st01.spr	ani013_st01.spr	ani013_st01.spr	ani013_wlk.spr	ani013_wlk.spr	ani013_wlk.spr	ani013_wlk.spr	ani013_bat.spr	ani013_die.spr	ani013_at01.spr	ani013_at01.spr	ani013_at01.spr	ani013_st01.spr	ani013_wlk.spr
ani014	ani014_st01.spr	ani014_st01.spr	ani014_st01.spr	ani014_wlk.spr	ani014_wlk.spr	ani014_wlk.spr	ani014_wlk.spr	ani014_bat.spr	ani014_die.spr	ani014_at01.spr	ani014_at01.spr	ani014_at01.spr	ani014_st01.spr	ani014_wlk.spr
ani015	ani015_st01.spr	ani015_st01.spr	ani015_st01.spr	ani015_wlk.spr	ani015_wlk.spr	ani015_wlk.spr	ani015_wlk.spr	ani015_bat.spr	ani015_die.spr	ani015_at01.spr	ani015_at01.spr	ani015_at01.spr	ani015_st01.spr	ani015_wlk.spr
ani016	ani016_st01.spr	ani016_st01.spr	ani016_st01.spr	ani016_wlk.spr	ani016_wlk.spr	ani016_wlk.spr	ani016_wlk.spr	ani016_bat.spr	ani016_die.spr	ani016_at01.spr	ani016_at01.spr	ani016_at01.spr	ani016_st01.spr	ani016_wlk.spr
