NpcList	ChangeColorScheme0	ChangeColorScheme1	ChangeColorScheme2	ChangeColorScheme3	ChangeColorScheme4	ChangeColorScheme5
ani001						
ani002						
ani003						
ani004						
ani005						
ani006						
ani007						
ani008						
ani009						
ani010						
ani011						
ani012						
ani013						
ani014						
ani015						
ani016						
ani017						
ani018						
ani019						
ani020						
ani021						
ani022						
enemy001						
enemy002						
enemy003						
enemy004						
enemy005						
enemy006						
enemy007						
enemy008						
enemy009						
enemy010						
enemy011	0xB49E47	0xBC7B54	0x8A49A3			
enemy012						
enemy013						
enemy014						
enemy015						
enemy016						
enemy017						
enemy018						
enemy019						
enemy020	0x6A67DB	0x7F7F7F	0x7075D9	0xB8C13E	0xD18DD1	
enemy021						
enemy022						
enemy023						
enemy024						
enemy025						
enemy026	0x954478	0x674438	0x547789			
enemy027						
enemy028						
enemy029	0xAD96C2	0xC9A5B0	0x2B768C			
enemy030						
enemy031						
enemy032						
enemy033						
enemy034						
enemy035	0x67B6E4	0xC87882	0x1A4895	0xCEC6B5	0x576C42	
enemy036	0xA5837E	0x895C25	0x307E7E	0x7A3473		
enemy037						
enemy038	0x41646D	0x385335	0x644F44	0x3D3C6A		
enemy039						
enemy040						
enemy041	0x2D5460	0x2C501E	0x877350	0x553250	0x373750	
enemy042						
enemy043						
enemy044	0x49A547	0xE1BE44	0x44859D	0xAE2FAE	0x100BCE	
enemy045						
enemy046						
enemy047	0x323264	0x787850	0x41737D	0x000000	0x465573	
enemy048						
enemy049						
enemy050	0x633F3D	0x586936	0xA67253	0x23687C	0x663953	
enemy051						
enemy052						
enemy053						
enemy054						
enemy055						
enemy056						
enemy057						
enemy058						
enemy059						
enemy060						
enemy061						
enemy062						
enemy063						
enemy064						
enemy065						
enemy066						
enemy067						
enemy068						
enemy069						
enemy070						
enemy071	0x5A5A78	0xAA9D6C	0x4F9CCA	0xC39164	0x4646B9	
enemy072	0x6D4F2C	0x465A7D	0x000000			
enemy073						
enemy074						
enemy075						
enemy076						
enemy077						
enemy078						
enemy079						
enemy080						
enemy081						
enemy082						
enemy083						
enemy084						
enemy085						
enemy086						
enemy087						
enemy088						
enemy089						
enemy090						
enemy091						
enemy092						
enemy093						
enemy094						
enemy095						
enemy096	0xABAF5F	0x3756C1	0x54534B	0x91AEB0		
enemy097	0x468CD7	0x96649B	0x5550AA	0x5B6882		
enemy098	0x325555	0x2F3DBB	0x464B32	0x463732	0x552D14	
enemy099	0x3C4668	0x2F3DBB	0x73505A	0x4B5A3C	0x876E3C	
enemy100	0xAC7B73	0x6E7D46	0x465A6E	0x6E5A64	0xBDA36A	
enemy101	0x5A7382	0x262664	0x2F3F27	0x64553C	0x5A4155	
enemy102						
enemy103						
enemy104						
enemy105	0x4E3936	0x364337	0x212369			
enemy106	0x475563	0x2B6AD5	0xAED032	0x411964		
enemy107						
enemy108	0xC136C9	0xB99446	0x46379B	0x8C5037	0x91558C	
enemy109	0x20B5DF	0x281991	0x5A6E96	0xAAAF50	0x0055DC	
enemy110	0x4B97B4	0x4AA543	0xC4A83C	0x1D1D5F	0x464664	
enemy111	0x375537	0x826E46	0x3232A5			
enemy112	0x835031	0x4B6432	0x0E044D			
enemy113	0x34543F	0xA0643C	0x613F4E	0x428885	0x31708E	
enemy114	0x649669	0xA55A69	0x272E91	0x2194B3	0x8C7878	
enemy115						
enemy116	0x413854	0x723D36	0x385438	0xBCA743	0x17BDC7	
enemy117	0x4D6091	0x575939	0x523654			
enemy118	0x55AA60	0x50C4C0	0xB3754D			
enemy119	0x2F201E	0x0F0F1A	0x50705	0xBEBEBE		
enemy120	0x324664	0x4B7346	0x4B3CAA	0x623222		
enemy121	0x50B34D	0x417D69	0x453938	0xCCC757		
enemy122	0x9F9362	0x8C7355	0x694664			
enemy123	0x5A3255	0x3928AC	0x4298C6	0xA06E4B		
enemy124	0x000000	0x2E2598	0x884A5F	0x265075	0xAA5A32	
enemy125	0x64703F	0x2666AC	0x37616F	0x8E4F71		
enemy126	0x21B0BC	0x337032	0xA38E58	0x32307E		
enemy127	0xA38C58	0x246A99	0x383EAB	0x808080		
enemy128	0xBFC761	0xD370CE	0x6B42C8	0x8F7878		
enemy129	0x303397	0xB78048	0x619F53			
enemy130	0x616B36	0x808080	0x318299			
enemy131						
enemy132						
enemy133						
enemy134						
enemy135						
enemy136						
enemy137						
enemy138						
enemy139						
enemy140						
enemy141						
enemy142						
enemy143						
enemy144						
enemy145						
