NpcList	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
ani001	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"112,8,60"	"192,8,50"	"112,8,60"	"112,8,60"	"112,8,60"	"128,8,56"	"128,8,50"
ani002	"128,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"80,8,111"	"136,8,56"	"80,8,111"	"80,8,111"	"80,8,111"	"128,8,50"	"128,8,50"
ani003	"120,8,111"	"120,8,111"	"120,8,111"	"144,8,20"	"144,8,20"	"144,8,20"	"144,8,20"	"136,8,50"	"120,8,50"	"120,8,50"	"120,8,50"	"120,8,50"	"120,8,111"	"144,8,20"
ani004	"128,8,50"	"128,8,50"	"128,8,50"	"128,8,40"	"128,8,40"	"128,8,40"	"128,8,40"	"96,8,50"	"192,8,40"	"112,8,50"	"112,8,50"	"112,8,50"	"128,8,50"	"128,8,40"
ani005	"120,8,66"	"120,8,66"	"120,8,66"	"112,8,56"	"112,8,56"	"112,8,56"	"112,8,56"	"48,8,166"	"112,8,71"	"120,8,100"	"120,8,100"	"120,8,100"	"120,8,66"	"112,8,56"
ani006	"64,8,111"	"64,8,111"	"64,8,111"	"80,8,56"	"80,8,56"	"80,8,56"	"80,8,56"	"64,8,111"	"120,8,111"	"96,8,111"	"96,8,111"	"96,8,111"	"64,8,111"	"80,8,56"
ani007	"320,8,56"	"320,8,56"	"320,8,56"	"160,8,56"	"160,8,56"	"160,8,56"	"160,8,56"	"96,8,56"	"136,8,56"	"128,8,50"	"128,8,50"	"128,8,50"	"320,8,56"	"160,8,56"
ani008	"128,8,111"	"128,8,111"	"128,8,111"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"80,8,56"	"192,8,56"	"128,8,111"	"128,8,111"	"128,8,111"	"128,8,111"	"128,8,56"
ani009	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,111"	"96,8,111"	"96,8,111"	"96,8,111"	"64,8,111"	"88,8,100"	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,111"
ani010	"96,8,56"	"96,8,56"	"96,8,56"	"144,8,56"	"144,8,56"	"144,8,56"	"144,8,56"	"64,8,100"	"168,8,100"	"128,8,56"	"128,8,56"	"128,8,56"	"96,8,56"	"144,8,56"
ani011	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"64,8,100"	"136,8,80"	"128,8,111"	"128,8,111"	"128,8,111"	"128,8,56"	"128,8,56"
ani012	"64,8,100"	"64,8,100"	"64,8,100"	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,56"	"64,8,50"	"104,8,111"	"96,8,50"	"96,8,50"	"96,8,50"	"64,8,100"	"96,8,56"
ani013	"112,8,56"	"112,8,56"	"112,8,56"	"112,8,56"	"112,8,56"	"112,8,56"	"112,8,56"	"64,8,56"	"104,8,111"	"88,8,56"	"88,8,56"	"88,8,56"	"112,8,56"	"112,8,56"
ani014	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"48,8,100"	"304,8,50"	"64,8,111"	"64,8,111"	"64,8,111"	"128,8,56"	"128,8,50"
ani015	"80,8,56"	"80,8,56"	"80,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"80,8,111"	"120,8,56"	"80,8,56"	"80,8,56"	"80,8,56"	"80,8,56"	"128,8,56"
ani016	"192,8,50"	"192,8,50"	"192,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"80,8,111"	"176,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"192,8,50"	"128,8,50"
ani017	"320,8,56"	"320,8,56"	"320,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"80,8,56"	"120,8,56"	"112,8,56"	"112,8,56"	"112,8,56"	"320,8,56"	"128,8,56"
ani018	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,56"	"80,8,100"	"104,8,100"	"152,8,50"	"152,8,50"	"152,8,50"	"96,8,56"	"96,8,56"
ani019	"192,8,50"	"192,8,50"	"192,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"80,8,50"	"184,8,50"	"128,8,50"	"128,8,50"	"128,8,50"	"192,8,50"	"128,8,50"
ani020														
ani021	"120,8,120"	"120,8,120"	"120,8,120"	"144,8,30"	"144,8,30"	"144,8,30"	"144,8,30"	"88,8,70"	"120,8,60"	"120,8,50"	"120,8,50"	"120,8,50"	"120,8,120"	"144,8,30"
ani022	"120,8,120"	"120,8,120"	"120,8,120"	"144,8,30"	"144,8,30"	"144,8,30"	"144,8,30"	"88,8,70"	"120,8,60"	"120,8,50"	"120,8,50"	"120,8,50"	"120,8,120"	"144,8,30"
ani023	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"48,8,80"	"120,8,80"	"96,8,80"	"112,8,80"	"112,8,80"	"96,8,80"	"96,8,80"
ani024	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"48,8,80"	"120,8,80"	"96,8,80"	"112,8,80"	"112,8,80"	"96,8,80"	"96,8,80"
ani025	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"
ani026	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"
ani027	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"
ani028	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"
ani029	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"	"13,1,1"
ani030	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"	"10,1,1"
ani031	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"	"12,1,1"
enemy001	"80,8,111"	"80,8,111"	"80,8,111"	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,56"	"64,8,111"	"64,8,111"	"104,8,111"	"96,8,111"	"96,8,111"	"80,8,111"	"96,8,56"
enemy002	"80,8,111"	"80,8,167"	"80,8,167"	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,56"	"56,8,111"	"96,8,111"	"88,8,111"	"104,8,112"	"104,8,112"	"80,8,167"	"96,8,56"
enemy003	"80,8,111"	"80,8,111"	"80,8,111"	"64,8,56"	"64,8,56"	"64,8,56"	"64,8,56"	"72,8,56"	"88,8,111"	"64,8,111"	"88,8,111"	"88,8,111"	"80,8,111"	"64,8,56"
enemy004	"80,8,140"	"80,8,140"	"80,8,140"	"64,8,150"	"64,8,150"	"64,8,150"	"64,8,150"	"48,8,120"	"96,8,150"	"72,8,120"	"80,8,120"	"80,8,120"	"80,8,140"	"64,8,150"
enemy005	"80,8,150"	"80,8,150"	"80,8,150"	"64,8,150"	"64,8,150"	"64,8,150"	"64,8,150"	"48,8,120"	"96,8,150"	"96,8,80"	"64,8,120"	"64,8,120"	"80,8,150"	"64,8,150"
enemy006	"80,8,111"	"80,8,111"	"80,8,111"	"64,8,56"	"64,8,56"	"64,8,56"	"64,8,56"	"72,8,56"	"88,8,111"	"128,8,56"	"104,8,111"	"104,8,111"	"80,8,111"	"64,8,56"
enemy006a	"80,8,111"	"80,8,111"	"80,8,111"	"64,8,56"	"64,8,56"	"64,8,56"	"64,8,56"	"72,8,56"	"88,8,111"	"128,8,56"	"104,8,111"	"104,8,111"	"80,8,111"	"64,8,56"
enemy007	"96,8,56"	"96,8,111"	"96,8,111"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"56,8,111"	"120,8,111"	"88,8,56"	"88,8,56"	"88,8,56"	"96,8,111"	"128,8,56"
enemy008	"64,8,130"	"64,8,150"	"64,8,150"	"72,8,85"	"72,8,85"	"72,8,85"	"72,8,85"	"64,8,80"	"136,8,75"	"80,8,65"	"80,8,100"	"80,8,100"	"64,8,150"	"72,8,85"
enemy009	"80,8,56"	"80,8,56"	"80,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"72,8,56"	"104,8,111"	"96,8,56"	"120,8,111"	"120,8,111"	"80,8,56"	"128,8,56"
enemy010	"64,8,150"	"64,8,111"	"64,8,111"	"64,8,180"	"64,8,180"	"64,8,180"	"64,8,180"	"56,8,130"	"112,8,130"	"88,8,100"	"56,8,180"	"56,8,180"	"64,8,111"	"64,8,180"
enemy011	"80,8,111"	"80,8,111"	"80,8,111"	"64,8,111"	"64,8,111"	"64,8,111"	"64,8,111"	"64,8,111"	"80,8,111"	"104,8,111"	"96,8,111"	"96,8,111"	"80,8,111"	"64,8,111"
enemy012	"96,8,111"	"96,8,111"	"96,8,111"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"64,8,111"	"96,8,111"	"112,8,56"	"64,8,111"	"64,8,111"	"96,8,111"	"128,8,56"
enemy012a	"96,8,111"	"96,8,111"	"96,8,111"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"64,8,111"	"96,8,111"	"112,8,56"	"64,8,111"	"64,8,111"	"96,8,111"	"128,8,56"
enemy013	"80,8,111"	"80,8,111"	"80,8,111"	"64,8,111"	"64,8,111"	"64,8,111"	"64,8,111"	"72,8,56"	"120,8,111"	"72,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"64,8,111"
enemy014	"88,8,56"	"80,8,56"	"80,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"48,8,111"	"120,8,56"	"104,8,111"	"104,8,111"	"104,8,111"	"80,8,56"	"128,8,56"
enemy015	"80,8,111"	"160,8,111"	"160,8,111"	"96,8,56"	"96,8,56"	"96,8,56"	"96,8,56"	"72,8,56"	"104,8,111"	"64,8,111"	"88,8,111"	"88,8,111"	"160,8,111"	"96,8,56"
enemy016	"80,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"80,8,111"	"48,8,111"	"104,8,111"	"128,8,56"	"88,8,111"	"88,8,111"	"80,8,111"	"80,8,111"
enemy017	"96,8,111"	"96,8,167"	"96,8,167"	"96,8,111"	"96,8,111"	"96,8,111"	"96,8,111"	"64,8,111"	"80,8,111"	"96,8,111"	"64,8,111"	"64,8,111"	"96,8,167"	"96,8,111"
enemy018	"80,8,56"	"80,8,111"	"80,8,111"	"128,8,111"	"128,8,111"	"128,8,111"	"128,8,111"	"56,8,111"	"104,8,56"	"112,8,56"	"112,8,56"	"112,8,56"	"80,8,111"	"128,8,111"
enemy019	"80,8,56"	"80,8,111"	"80,8,111"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"64,8,56"	"120,8,56"	"120,8,56"	"120,8,56"	"120,8,56"	"80,8,111"	"96,8,100"
enemy020	"64,8,120"	"64,8,160"	"64,8,160"	"128,8,80"	"128,8,80"	"128,8,80"	"128,8,80"	"48,8,80"	"96,8,80"	"64,8,80"	"64,8,140"	"64,8,140"	"64,8,160"	"128,8,80"
enemy021	"128,8,50"	"96,8,60"	"96,8,60"	"128,8,56"	"128,8,56"	"128,8,56"	"128,8,56"	"72,8,50"	"144,8,60"	"144,8,50"	"144,8,60"	"144,8,60"	"96,8,60"	"128,8,56"
enemy022	"96,8,100"	"96,8,100"	"96,8,100"	"128,8,62"	"128,8,62"	"128,8,62"	"128,8,62"	"64,8,83"	"128,8,70"	"112,8,93"	"112,8,70"	"112,8,70"	"96,8,100"	"128,8,62"
enemy023	"80,8,100"	"88,8,120"	"88,8,120"	"96,8,111"	"96,8,111"	"96,8,111"	"96,8,111"	"56,8,100"	"88,8,111"	"72,8,100"	"112,8,98"	"112,8,98"	"88,8,120"	"96,8,111"
enemy024	"80,8,80"	"80,8,150"	"80,8,150"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"56,8,90"	"96,8,100"	"56,8,140"	"104,8,120"	"104,8,120"	"80,8,150"	"64,8,120"
enemy025	"80,8,120"	"80,8,100"	"80,8,100"	"64,8,112"	"64,8,112"	"64,8,112"	"64,8,112"	"72,8,66"	"96,8,100"	"88,8,104"	"88,8,104"	"88,8,104"	"80,8,100"	"64,8,112"
enemy026	"64,8,120"	"64,8,120"	"64,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"48,8,120"	"80,8,120"	"96,8,100"	"64,8,140"	"64,8,140"	"64,8,120"	"96,8,120"
enemy027	"80,8,120"	"80,8,120"	"80,8,120"	"64,8,130"	"64,8,130"	"64,8,130"	"64,8,130"	"72,8,70"	"88,8,100"	"64,8,110"	"56,8,100"	"56,8,100"	"80,8,120"	"64,8,130"
enemy028	"88,8,120"	"88,8,100"	"88,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"64,8,100"	"80,8,100"	"88,8,80"	"96,8,100"	"96,8,100"	"88,8,100"	"96,8,100"
enemy029	"80,8,120"	"80,8,120"	"80,8,120"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"80,8,45"	"96,8,100"	"80,8,80"	"80,8,80"	"80,8,80"	"80,8,120"	"96,8,100"
enemy030	"80,8,120"	"80,8,140"	"80,8,140"	"64,8,150"	"64,8,150"	"64,8,150"	"64,8,150"	"72,8,80"	"104,8,120"	"72,8,140"	"120,8,150"	"120,8,150"	"80,8,140"	"64,8,150"
enemy031	"128,8,100"	"128,8,100"	"128,8,100"	"128,8,78"	"128,8,78"	"128,8,78"	"128,8,78"	"64,8,70"	"120,8,65"	"112,8,60"	"112,8,60"	"112,8,60"	"128,8,100"	"128,8,78"
enemy032	"88,8,90"	"88,8,80"	"88,8,80"	"128,8,65"	"128,8,65"	"128,8,65"	"128,8,65"	"64,8,66"	"120,8,66"	"120,8,60"	"120,8,60"	"120,8,60"	"88,8,80"	"128,8,65"
enemy033	"80,8,120"	"80,8,120"	"80,8,120"	"128,8,68"	"128,8,68"	"128,8,68"	"128,8,68"	"72,8,70"	"88,8,90"	"104,8,64"	"120,8,70"	"120,8,70"	"80,8,120"	"128,8,68"
enemy034	"80,8,120"	"80,8,120"	"80,8,120"	"128,8,62"	"128,8,62"	"128,8,62"	"128,8,62"	"72,8,72"	"136,8,120"	"104,8,60"	"120,8,90"	"120,8,90"	"80,8,120"	"128,8,62"
enemy034a	"80,8,120"	"80,8,120"	"80,8,120"	"128,8,62"	"128,8,62"	"128,8,62"	"128,8,62"	"72,8,72"	"136,8,120"	"104,8,60"	"120,8,90"	"120,8,90"	"80,8,120"	"128,8,62"
enemy035	"80,8,100"	"80,8,80"	"80,8,80"	"80,8,90"	"80,8,90"	"80,8,90"	"80,8,90"	"72,8,70"	"120,8,140"	"128,8,70"	"80,8,120"	"80,8,120"	"80,8,80"	"80,8,90"
enemy036	"64,8,120"	"64,8,120"	"64,8,120"	"128,8,93"	"128,8,93"	"128,8,93"	"128,8,93"	"64,8,80"	"80,8,90"	"96,8,80"	"96,8,80"	"96,8,80"	"64,8,120"	"128,8,93"
enemy037	"64,8,140"	"64,8,120"	"64,8,120"	"64,8,150"	"64,8,150"	"64,8,150"	"64,8,150"	"64,8,110"	"80,8,100"	"112,8,65"	"112,8,65"	"112,8,65"	"64,8,120"	"64,8,150"
enemy038	"72,8,120"	"64,8,140"	"64,8,140"	"96,8,120"	"96,8,120"	"96,8,120"	"96,8,120"	"48,8,120"	"112,8,120"	"64,8,120"	"72,8,120"	"72,8,120"	"64,8,140"	"96,8,120"
enemy039	"80,8,80"	"80,8,80"	"80,8,80"	"128,8,70"	"128,8,70"	"128,8,70"	"128,8,70"	"80,8,60"	"152,8,60"	"120,8,60"	"120,8,60"	"120,8,60"	"80,8,80"	"128,8,70"
enemy040	"80,8,160"	"80,8,160"	"80,8,160"	"64,8,160"	"64,8,160"	"64,8,160"	"64,8,160"	"48,8,120"	"88,8,160"	"80,8,120"	"80,8,120"	"80,8,120"	"80,8,160"	"64,8,160"
enemy041	"80,8,1"	"80,8,120"	"80,8,120"	"64,8,100"	"64,8,100"	"64,8,100"	"64,8,100"	"72,8,50"	"88,8,120"	"80,8,120"	"72,8,120"	"72,8,120"	"80,8,120"	"64,8,100"
enemy042	"64,8,120"	"64,8,160"	"64,8,160"	"64,8,160"	"64,8,160"	"64,8,160"	"64,8,160"	"48,8,100"	"80,8,120"	"64,8,100"	"64,8,120"	"64,8,120"	"64,8,160"	"64,8,160"
enemy043	"64,8,120"	"80,8,120"	"80,8,120"	"64,8,100"	"64,8,100"	"64,8,100"	"64,8,100"	"48,8,80"	"72,8,80"	"80,8,80"	"80,8,80"	"80,8,80"	"80,8,120"	"64,8,100"
enemy044	"72,8,140"	"64,8,160"	"64,8,160"	"64,8,160"	"64,8,160"	"64,8,160"	"64,8,160"	"56,8,100"	"88,8,120"	"64,8,120"	"88,8,120"	"88,8,120"	"64,8,160"	"64,8,160"
enemy045	"80,8,100"	"80,8,120"	"80,8,120"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"56,8,120"	"120,8,100"	"88,8,90"	"88,8,120"	"88,8,120"	"80,8,120"	"96,8,100"
enemy046	"80,8,130"	"80,8,150"	"80,8,150"	"64,8,100"	"64,8,100"	"64,8,100"	"64,8,100"	"64,8,80"	"88,8,140"	"80,8,110"	"112,8,120"	"112,8,120"	"80,8,150"	"64,8,100"
enemy047	"80,8,120"	"80,8,120"	"80,8,120"	"96,8,80"	"96,8,80"	"96,8,80"	"96,8,80"	"64,8,100"	"72,8,100"	"104,8,80"	"96,8,90"	"96,8,90"	"80,8,120"	"96,8,80"
enemy048	"80,8,120"	"80,8,160"	"80,8,160"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"56,8,100"	"96,8,100"	"88,8,100"	"112,8,100"	"112,8,100"	"80,8,160"	"96,8,100"
enemy049	"80,8,140"	"80,8,140"	"80,8,140"	"64,8,130"	"64,8,130"	"64,8,130"	"64,8,130"	"72,8,70"	"88,8,120"	"120,8,70"	"64,8,90"	"64,8,90"	"80,8,140"	"64,8,130"
enemy050	"88,8,95"	"88,8,120"	"88,8,120"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"56,8,100"	"112,8,120"	"72,8,100"	"80,8,100"	"80,8,100"	"88,8,120"	"96,8,100"
enemy051	"80,8,120"	"80,8,100"	"80,8,100"	"64,8,110"	"64,8,110"	"64,8,110"	"64,8,110"	"72,8,70"	"96,8,120"	"104,8,120"	"64,8,120"	"64,8,120"	"80,8,100"	"64,8,110"
enemy052	"80,8,100"	"80,8,100"	"80,8,100"	"128,8,111"	"128,8,111"	"128,8,111"	"128,8,111"	"64,8,70"	"104,8,150"	"128,8,60"	"136,8,120"	"136,8,120"	"80,8,100"	"128,8,111"
enemy053	"80,8,120"	"80,8,120"	"80,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,80"	"80,8,120"	"80,8,80"	"80,8,80"	"80,8,80"	"80,8,120"	"64,8,120"
enemy054	"80,8,150"	"80,8,150"	"80,8,150"	"80,8,160"	"80,8,160"	"80,8,160"	"80,8,160"	"48,8,120"	"96,8,140"	"96,8,120"	"88,8,120"	"88,8,120"	"80,8,150"	"80,8,160"
enemy054a	"80,8,150"	"80,8,150"	"80,8,150"	"80,8,160"	"80,8,160"	"80,8,160"	"80,8,160"	"48,8,120"	"96,8,140"	"96,8,120"	"88,8,120"	"88,8,120"	"80,8,150"	"80,8,160"
enemy055	"80,8,140"	"80,8,140"	"80,8,140"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"48,8,120"	"96,8,140"	"80,8,120"	"64,8,140"	"64,8,140"	"80,8,140"	"64,8,120"
enemy056	"80,8,111"	"80,8,111"	"80,8,111"	"96,8,111"	"96,8,111"	"96,8,111"	"96,8,111"	"48,8,111"	"96,8,111"	"96,8,111"	"88,8,111"	"88,8,111"	"80,8,111"	"96,8,111"
enemy057	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,80"	"80,8,120"	"64,8,90"	"64,8,120"	"64,8,120"	"64,8,120"	"64,8,120"
enemy058	"80,8,100"	"88,8,100"	"88,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"56,8,85"	"88,8,90"	"72,8,100"	"112,8,120"	"112,8,120"	"88,8,100"	"96,8,100"
enemy059	"80,8,120"	"80,8,150"	"80,8,150"	"64,8,150"	"64,8,150"	"64,8,150"	"64,8,150"	"72,8,70"	"88,8,140"	"80,8,120"	"72,8,140"	"72,8,140"	"80,8,150"	"64,8,150"
enemy060	"64,8,120"	"64,8,110"	"64,8,110"	"96,8,100"	"96,8,100"	"96,8,100"	"96,8,100"	"64,8,80"	"80,8,90"	"104,8,100"	"104,8,140"	"104,8,140"	"64,8,110"	"96,8,100"
enemy061	"128,8,60"	"128,8,60"	"128,8,60"	"128,8,75"	"128,8,75"	"128,8,75"	"128,8,75"	"64,8,80"	"80,8,85"	"80,8,85"	"112,8,80"	"112,8,80"	"128,8,60"	"128,8,75"
enemy062	"80,8,111"	"128,8,167"	"128,8,167"	"128,8,111"	"128,8,111"	"128,8,111"	"128,8,111"	"72,8,111"	"104,8,111"	"64,8,111"	"80,8,111"	"80,8,111"	"128,8,167"	"128,8,111"
enemy063	"80,8,60"	"80,8,60"	"80,8,60"	"128,8,65"	"128,8,65"	"128,8,65"	"128,8,65"	"72,8,70"	"88,8,120"	"112,8,60"	"64,8,120"	"64,8,120"	"80,8,60"	"128,8,65"
