CharacterName	CharacterType	ResFilePath	Prefix	Stature
MainMan	SpecialNpc	image\feature\player\male	m_	115
MainLady	SpecialNpc	image\feature\player\female	f_	115
ani001	NormalNpc	image\feature\npc\animal\ani001		70
ani002	NormalNpc	image\feature\npc\animal\ani002		70
ani003	NormalNpc	image\feature\npc\animal\ani003		50
ani004	NormalNpc	image\feature\npc\animal\ani004		50
ani005	NormalNpc	image\feature\npc\animal\ani005		60
ani006	NormalNpc	image\feature\npc\animal\ani006		70
ani007	NormalNpc	image\feature\npc\animal\ani007		50
ani008	NormalNpc	image\feature\npc\animal\ani008		80
ani009	NormalNpc	image\feature\npc\animal\ani009		70
ani010	NormalNpc	image\feature\npc\animal\ani010		120
ani011	NormalNpc	image\feature\npc\animal\ani011		90
ani012	NormalNpc	image\feature\npc\animal\ani012		70
ani013	NormalNpc	image\feature\npc\animal\ani013		70
ani014	NormalNpc	image\feature\npc\animal\ani014		100
ani015	NormalNpc	image\feature\npc\animal\ani015		70
ani016	NormalNpc	image\feature\npc\animal\ani016		70
ani017	NormalNpc	image\feature\npc\animal\ani017		80
ani018	NormalNpc	image\feature\npc\animal\ani018		80
ani019	NormalNpc	image\feature\npc\animal\ani019		80
ani020	NormalNpc	image\feature\npc\animal\ani020		100
ani021	NormalNpc	image\feature\npc\animal\ani021		50
ani022	NormalNpc	image\feature\npc\animal\ani022		50
ani023	NormalNpc	image\feature\npc\animal\ani023		120
ani024	NormalNpc	image\feature\npc\animal\ani024		120
ani025	NormalNpc	image\feature\npc\animal\ani025		110
ani026	NormalNpc	image\feature\npc\animal\ani026		120
ani027	NormalNpc	image\feature\npc\animal\ani027		120
ani028	NormalNpc	image\feature\npc\animal\ani028		75
ani029	NormalNpc	image\feature\npc\animal\ani029		120
ani030	NormalNpc	image\feature\npc\animal\ani030		120
ani031	NormalNpc	image\feature\npc\animal\ani031		120
enemy001	NormalNpc	image\feature\npc\enemy\enemy001		110
enemy002	NormalNpc	image\feature\npc\enemy\enemy002		110
enemy003	NormalNpc	image\feature\npc\enemy\enemy003		110
enemy004	NormalNpc	image\feature\npc\enemy\enemy004		105
enemy005	NormalNpc	image\feature\npc\enemy\enemy005		110
enemy006	NormalNpc	image\feature\npc\enemy\enemy006		110
enemy006a	NormalNpc	image\feature\npc\enemy\enemy006a		135
enemy007	NormalNpc	image\feature\npc\enemy\enemy007		110
enemy008	NormalNpc	image\feature\npc\enemy\enemy008		110
enemy009	NormalNpc	image\feature\npc\enemy\enemy009		110
enemy010	NormalNpc	image\feature\npc\enemy\enemy010		110
enemy011	NormalNpc	image\feature\npc\enemy\enemy011		110
enemy012	NormalNpc	image\feature\npc\enemy\enemy012		110
enemy012a	NormalNpc	image\feature\npc\enemy\enemy012a		135
enemy013	NormalNpc	image\feature\npc\enemy\enemy013		110
enemy014	NormalNpc	image\feature\npc\enemy\enemy014		110
enemy015	NormalNpc	image\feature\npc\enemy\enemy015		110
enemy016	NormalNpc	image\feature\npc\enemy\enemy016		110
enemy017	NormalNpc	image\feature\npc\enemy\enemy017		110
enemy018	NormalNpc	image\feature\npc\enemy\enemy018		120
enemy019	NormalNpc	image\feature\npc\enemy\enemy019		100
enemy020	NormalNpc	image\feature\npc\enemy\enemy020		110
enemy021	NormalNpc	image\feature\npc\enemy\enemy021		100
enemy022	NormalNpc	image\feature\npc\enemy\enemy022		110
enemy023	NormalNpc	image\feature\npc\enemy\enemy023		110
enemy024	NormalNpc	image\feature\npc\enemy\enemy024		110
enemy025	NormalNpc	image\feature\npc\enemy\enemy025		100
enemy026	NormalNpc	image\feature\npc\enemy\enemy026		110
enemy027	NormalNpc	image\feature\npc\enemy\enemy027		110
enemy028	NormalNpc	image\feature\npc\enemy\enemy028		100
enemy029	NormalNpc	image\feature\npc\enemy\enemy029		100
enemy030	NormalNpc	image\feature\npc\enemy\enemy030		110
enemy031	NormalNpc	image\feature\npc\enemy\enemy031		100
enemy032	NormalNpc	image\feature\npc\enemy\enemy032		105
enemy033	NormalNpc	image\feature\npc\enemy\enemy033		110
enemy034	NormalNpc	image\feature\npc\enemy\enemy034		110
enemy034a	NormalNpc	image\feature\npc\enemy\enemy034a		110
enemy035	NormalNpc	image\feature\npc\enemy\enemy035		105
enemy036	NormalNpc	image\feature\npc\enemy\enemy036		110
enemy037	NormalNpc	image\feature\npc\enemy\enemy037		115
enemy038	NormalNpc	image\feature\npc\enemy\enemy038		110
enemy039	NormalNpc	image\feature\npc\enemy\enemy039		115
enemy040	NormalNpc	image\feature\npc\enemy\enemy040		110
enemy041	NormalNpc	image\feature\npc\enemy\enemy041		110
enemy042	NormalNpc	image\feature\npc\enemy\enemy042		110
enemy043	NormalNpc	image\feature\npc\enemy\enemy043		105
enemy044	NormalNpc	image\feature\npc\enemy\enemy044		115
