G	D	P	L	UnBindValue	BindValue	Name
18	1	1	1	80	80	Huyền 1
18	1	1	2	288	288	Huyền 2
18	1	1	3	1037	1037	Huyền 3
18	1	1	4	3733	3733	Huyền 4
18	1	1	5	13438	13438	Huyền 5
18	1	1	6	48378	48378	Huyền 6
18	1	1	7	174162	174162	Huyền 7
18	1	1	8	626985	626985	Huyền 8
18	1	1	9	2257146	2257146	Huyền 9
18	1	1	10	8125725	8125725	Huyền 10
18	1	1	11	29252610	29252610	Huyền 11
18	1	1	12	105309395	105309395	Huyền 12
18	1	114	1	80	80	Huyền 1
18	1	114	2	288	288	Huyền 2
18	1	114	3	1037	1037	Huyền 3
18	1	114	4	3733	3733	Huyền 4
18	1	114	5	13438	13438	Huyền 5
18	1	114	6	48378	48378	Huyền 6
18	1	114	7	174162	174162	Huyền 7
18	1	114	8	626985	626985	Huyền 8
18	1	114	9	2257146	2257146	Huyền 9
18	1	114	10	8125725	8125725	Huyền 10
18	1	114	11	29252610	29252610	Huyền 11
18	1	114	12	105309395	105309395	Huyền 12
18	1	205	1	800	800	Ngũ Hành Hồn Thạch
18	1	118	2	1500000	1500000	Thỏi vàng (đại)
18	1	118	1	150000	150000	Thỏi vàng
18	1	200	1	10000	10000	Huyết Ảnh Thương
18	1	201	1	10000	10000	Linh Thú Chiến Ngoa
18	1	202	1	10000	10000	Độn Giáp Linh Phù
18	1	203	1	10000	10000	Tử Tinh Huyễn Bội
18	1	204	1	10000	10000	Thất Thái Tiên Đơn
18	1	263	1	12000	12000	Bách Bộ Xuyên Dương Cung
18	1	264	1	12000	12000	Hình Thiên Chiến Bào
18	1	265	1	12000	12000	Hành Quân Phù Chú
18	1	266	1	12000	12000	Du Tử Hộ Thân Phù
18	1	267	1	12000	12000	Thiên Lý Chỉ Khát Đơn
18	1	360	1	20000	20000	Tần Lăng-Trường Minh Đăng
18	1	363	1	20000	20000	Tần Lăng-Ban Sơn Ấn
18	1	366	1	20000	20000	Tần Lăng-Mạc Kim Phù
18	1	377	1	1000000	1000000	Tần Lăng-Hòa Thị Bích
18	1	357	1	12000	12000	Tần Lăng-Dạ Minh Châu
18	1	565	1	10000	10000	Bạch Ngân Dịch
18	1	565	2	100000	100000	Hoàng Kim Dịch
18	1	565	3	1000000	1000000	Bạch Kim Dịch
18	1	565	4	10000000	10000000	Kim Cương Dịch
