Id	NPCId	EffectNpcId	Type	TypeLevel	LifeRatio	Rate	IsDrop	name
1	2025	2025	1	1	100	30	0	Cơ Quan Nhân Thô
2	2204	2204	1	1	100	30	0	Nghĩa Quân Phản Đồ
3	2203	2203	1	1	100	30	0	Cường Tặc
4	2054	2054	1	1	100	30	0	Phạm Giới Tăng Nhân
5	2055	2055	1	1	100	30	0	Phạm Giới Đầu Đà
6	2049	2049	1	1	100	30	0	Hộ Lăng Đao Binh
7	2221	2221	1	1	100	30	0	Thợ Đào Đất
8	2222	2222	1	1	100	30	0	Thợ Xếp Đá
9	2050	2050	1	1	100	30	0	Hộ Lăng Cung Thủ
10	2051	2051	1	1	100	30	0	Tham Khách
11	2052	2052	1	1	100	30	0	Đao Nhân
12	2053	2053	1	1	100	30	0	Đệ Tử Trục Xuất Tuyết Sơn
13	2036	2036	1	1	100	30	0	Lam Diện Nhân
14	2035	2035	1	1	100	30	0	Hồng Cân Nhân
15	2207	2207	1	1	100	30	0	Gián Điệp Kim Quốc
16	2208	2208	1	1	100	30	0	Đệ Tử Bái Sư
17	2215	2215	1	1	100	30	0	Cường Đạo
18	2216	2216	1	1	100	30	0	Ẩn Sĩ Sơn Lâm
19	2044	2044	1	1	100	30	0	Trú Thủ Cung Binh
20	2043	2043	1	1	100	30	0	Trú Thủ Thương Sĩ
21	2213	2213	1	1	100	30	0	Cường Tặc Tử Hòe Lâm
22	2042	2042	1	1	100	30	0	Khổ Tu Ni
23	2214	2214	1	1	100	30	0	Hành Thương Kim Quốc
24	2209	2209	1	1	100	30	0	Quải Tử
25	2210	2210	1	1	100	30	0	Đại Phu Mông Cổ
26	2037	2037	1	1	100	30	0	Đao Khách Giang Hồ
27	2038	2038	1	1	100	30	0	Kiếm Khách Giang Hồ
28	2039	2039	1	1	100	30	0	Hắc Long
29	2211	2211	1	1	100	30	0	Đằng Lực Sĩ
30	2212	2212	1	1	100	30	0	Bạch Linh
31	2219	2219	1	1	100	30	0	Đao Khách Nam Man
32	2220	2220	1	1	100	30	0	Vu Nữ Nam Man
33	2047	2047	1	1	100	30	0	Thợ Săn Nam Man
34	2045	2045	1	1	100	30	0	Bang Chúng Diêm Bang
35	2046	2046	1	1	100	30	0	Thích Khách Thần Bí
36	2217	2217	1	1	100	30	0	Tùy Tùng Đại Nội
37	2218	2218	1	1	100	30	0	Hành Cước Thương Nhân
38	2033	2033	1	1	100	30	0	Cơ Quan Mộc Nhân
39	2205	2205	1	1	100	30	0	Cơ Quan Đồng Nhân
40	2206	2206	1	1	100	30	0	Đồng Giác Thú
41	2070	2070	1	1	100	30	0	Hộ Lăng Thương Sĩ
42	2072	2072	1	1	100	30	0	Minh Phủ Quy Khách
43	2071	2071	1	1	100	30	0	Hộ Lăng Nõ Thủ
44	2224	2224	1	1	100	30	0	Đào Phạm
45	2225	2225	1	1	100	30	0	Thích Khách Bịt Mặt
46	2232	2232	1	1	100	30	0	Đường Lang Quyền Sư
47	2233	2233	1	1	100	30	0	Mật Thám Kim Quốc 
48	2064	2064	1	1	100	30	0	Bang Chúng Diêm Bang
49	2065	2065	1	1	100	30	0	Võ Sĩ Đánh Thuê
50	2063	2063	1	1	100	30	0	Du Quân Thương Sĩ
51	2231	2231	1	1	100	30	0	Du Quân Đao Binh
52	2230	2230	1	1	100	30	0	Đường Gia Độc Sứ
53	2062	2062	1	1	100	30	0	Đường Gia Nõ Thủ
54	2059	2059	1	1	100	30	0	Tích Lịch Chùy
55	2226	2226	1	1	100	30	0	Vân Du Hiệp Khách
56	2227	2227	1	1	100	30	0	Bách Hoa Hộ Pháp
57	2228	2228	1	1	100	30	0	Ô Y Kiếm Sĩ
58	2229	2229	1	1	100	30	0	Trúc Lâm Phỉ
59	2061	2061	1	1	100	30	0	Võ Sư Mã Bang
60	2060	2060	1	1	100	30	0	Thôi Thủ Mã Bang
61	2068	2068	1	1	100	30	0	Dũng Sĩ Nam Di
62	2069	2069	1	1	100	30	0	Tế Tư Nam Di
63	2237	2237	1	1	100	30	0	Thổ Dân Vu Nữ
64	2067	2067	1	1	100	30	0	Bổ Khoái
65	2066	2066	1	1	100	30	0	Mật Thám Giả Trang
66	2234	2234	1	1	100	30	0	Lữ Khách Qua Đường
67	2235	2235	1	1	100	30	0	Hành Cước Thương Nhân
68	2238	2238	1	1	100	30	0	Trộm Thuốc
69	2075	2075	1	1	100	30	0	Bạo Dân Sơn Nam
70	2076	2076	1	1	100	30	0	Đạo Phỉ Sơn Bắc
71	2239	2239	1	1	100	30	0	Đào Thoát Hòa Thượng
72	2093	2093	1	1	100	30	0	Thợ Xây Lăng Mộ
73	2252	2252	1	1	100	30	0	Hiệu Úy Kim Quốc
74	2092	2092	1	1	100	30	0	Tham Quan Gia Đinh
75	2095	2095	1	1	100	30	0	Huyệt Cư Nam Dã Nhân
76	2096	2096	1	1	100	30	0	Huyệt Cư Tiểu Dã Nhân
77	2094	2094	1	1	100	30	0	Huyệt Cư Nữ Dã Nhân
78	2077	2077	1	1	100	30	0	Hắc Thủy Đao Khách
79	2078	2078	1	1	100	30	0	Hắc Thủy Kiếm Sĩ
80	2086	2086	1	1	100	30	0	Nam Ảnh
81	2085	2085	1	1	100	30	0	Nữ Ảnh
82	2246	2246	1	1	100	30	0	Khinh Nõ Thủ
83	2247	2247	1	1	100	30	0	Trọng Giáp Binh
84	2083	2083	1	1	100	30	0	Võ Sĩ U Minh
85	2084	2084	1	1	100	30	0	Bạch Cốt Kiếm Khách
86	2244	2244	1	1	100	30	0	Thị Kiếm Tôn Giả
87	2245	2245	1	1	100	30	0	Lăng Ba Tiên Tử
88	2079	2079	1	1	100	30	0	Thạch Thành Liệt Binh
89	2080	2080	1	1	100	30	0	Điện Quang Mâu
90	2240	2240	1	1	100	30	0	Tiểu Mao Tặc
91	2241	2241	1	1	100	30	0	Tầm Bảo Lữ Nhân
92	2242	2242	1	1	100	30	0	Đới Đao Võ Sĩ
93	2243	2243	1	1	100	30	0	Người Bắt Rắn
94	2081	2081	1	1	100	30	0	Hoàng Cân Khách
95	2082	2082	1	1	100	30	0	Bạch Diện Khách
96	2250	2250	1	1	100	30	0	Sát Thủ Thổ Sơn
97	2251	2251	1	1	100	30	0	Di Nhân Đao Khách
98	2089	2089	1	1	100	30	0	Nữ Vu Nam Di
99	2090	2090	1	1	100	30	0	Võ Sĩ Di Nhân
100	2248	2248	1	1	100	30	0	Phỉ Đồ Bang Hung
101	2249	2249	1	1	100	30	0	Tà Ác Bảng Phỉ
102	2087	2087	1	1	100	30	0	Khoái Đao Khách
103	2088	2088	1	1	100	30	0	Khoái Kiếm Khách
104	2119	2119	1	1	100	30	0	Sào Phỉ Binh
105	2117	2117	1	1	100	30	0	Vũ Trang Thôn Dân
106	2118	2118	1	1	100	30	0	Bạo Nộ Khoáng Công
107	2134	2134	1	1	100	30	0	Du Binh Tây Hạ
108	2122	2122	1	1	100	30	0	Quan Binh Tương Dương
109	2121	2121	1	1	100	30	0	Thủ Lĩnh Tào Bang
110	2120	2120	1	1	100	30	0	Đà Thủ Tào Bang
111	2126	2126	1	1	100	30	0	Quan Văn Tị Nạn
112	2127	2127	1	1	100	30	0	Quan Võ Tị Nạn
113	2128	2128	1	1	100	30	0	Cấm Quân Đại Tống
114	2123	2123	1	1	100	30	0	Thương Sĩ Ngô Gia
115	2124	2124	1	1	100	30	0	Đao Binh Ngô Gia
116	2125	2125	1	1	100	30	0	Hưởng Thủy Tử Sĩ
117	2135	2135	1	1	100	30	0	Ô Man Sĩ Binh
118	2136	2136	1	1	100	30	0	Ô Man Cung Thủ
119	2137	2137	1	1	100	30	0	Ô Man Thần Vu
120	2130	2130	1	1	100	30	0	Thủ Quân Lâm An
121	2131	2131	1	1	100	30	0	Võ Sư Mã Bang
122	2129	2129	1	1	100	30	0	Bang Chúng Tào Bang
123	3166	6148	4	2	20	30	0	Sĩ Binh Phản Quân
124	3167	6149	4	2	20	30	0	Sĩ Binh Phản Quân
125	3168	6150	4	2	20	30	0	Thống Lĩnh Phản Quân
126	3169	6151	4	2	20	30	0	Thống Lĩnh Phản Quân
127	3170	6152	4	2	20	30	0	Người Tuyết Núi
128	3171	6153	4	2	20	30	0	Quả Nông
129	3172	6154	4	2	20	30	0	Quả Nông
130	3173	6155	4	2	20	30	0	Quả Nông
131	3174	6156	4	2	20	30	0	Cơ Quan Nhân Thô
132	3175	6157	4	2	20	30	0	Cơ Quan Nhân Thô
133	3176	6158	4	2	20	30	0	Cơ Quan Nhân Thô
134	3177	6159	4	2	20	30	0	U Minh Quỷ
135	3178	6160	4	2	20	30	0	U Minh Quỷ
136	3179	6161	4	2	20	30	0	U Minh Quỷ
137	3181	6162	4	2	20	30	0	Sấm Cốc Tặc
138	3182	6163	4	2	20	30	0	Sấm Cốc Tặc
139	3183	6164	4	2	20	30	0	Sấm Cốc Tặc
140	3184	6165	4	2	20	30	0	Sấm Cốc Tặc
141	3185	6166	4	2	20	30	0	Sấm Cốc Tặc
142	3291	6167	4	2	20	30	0	Sấm Cốc Tặc
143	3186	6168	4	2	20	30	0	Thủ Lĩnh Sấm Cốc Tặc
144	3187	6169	4	2	20	30	0	Thủ Lĩnh Sấm Cốc Tặc
