Type	Desc	LevelRequire	CalRate	RateOf2Skills	RateOf3Skills	RateOf4Skills	RateOf5Skills	RateOf6Skills	RateOf7Skills	RateOf8Skills	RateOf9Skills	RateOf10Skills	bichuSkill1Id	bichuSkill2Id	bichuSkill3Id	RandomSkillTemplateId
1	Mức 1	100	0.3	89	10	1	0	0	0	0	0	0	0	0	0	1
2	Mức 2	120	0.4	88	10	2	0	0	0	0	0	0	0	0	0	0
3	Mức 3	140	0.5	87	10	3	1	0	0	0	0	0	0	0	0	0
4	Mức 4	100	0.4	56	30	10	3	1	0	0	0	0	0	0	0	2
5	Mức 5	110	0.6	56	30	10	3	1	0	0	0	0	0	0	0	0
6	Mức 6	120	0.8	0	57	30	10	2	0	0	0	0	0	0	0	0
7	Mức 7	140	1	0	57	30	10	2	0	0	0	0	0	0	0	0
8	4 mức khuyến mãi	100	0.4	0	0	100	0	0	0	0	0	0	0	0	0	8
9	Mức 8	150	1	0	0	0	0	0	0	0	0	0	0	0	0	0
10	Mức 4 (Hoạt động Tết)	100	0.4	0	0	0	0	100	0	0	0	0	0	0	0	2
11	Mức 4 (Đồng hành VIP)	100	0.4	0	0	0	0	100	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	0	3
12	Khuyến mãi mức 4 (Snda)	100	0.4	0	0	100	0	0	0	0	0	0	{1497,1498,1499,1500,1501}	{1517,1518,1519,1520,1521}	0	9
13	Cấp 4 (Đoan Ngọ)	100	0.4	0	0	0	100	0	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	0	3
14	Cấp 4 (Đoan Ngọ 2)	100	0.4	0	0	100	0	0	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	0	3
15	Mức 4	100	0.4	0	0	0	0	100	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	1511	10
16	Mức 4 (Hoạt động Hàn Vũ)	100	0.4	0	0	100	0	0	0	0	0	0	{2213,2214,2215,2216,2217}	{1517,1518,1519,1520,1521}	0	11
