EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
armor00	fm_000_lh_es02.spr	fm_000_lh_es02.spr	fm_000_lh_es01.spr	fm_000_lh_ss02.spr	fm_000_lh_ss01.spr	fm_000_lh_ss01.spr	fm_000_lh_ls02.spr	fm_000_lh_ls01.spr	fm_000_lh_ls01.spr	fm_000_lh_ds02.spr	fm_000_lh_ds01.spr	fm_000_lh_ds01.spr	fm_000_lh_ew.spr	fm_000_lh_sw.spr	fm_000_lh_lw.spr	fm_000_lh_dw.spr	fm_000_lh_er.spr	fm_000_lh_sr.spr	fm_000_lh_lr.spr	fm_000_lh_dr.spr	fm_000_lh_eb.spr	fm_000_lh_sb.spr	fm_000_lh_lb.spr	fm_000_lh_db.spr	fm_000_lh_ed.spr	fm_000_lh_sd.spr	fm_000_lh_ld.spr	fm_000_lh_dd.spr	fm_000_lh_ea01.spr	fm_000_lh_ea02.spr	fm_000_lh_sa01.spr	fm_000_lh_sa02.spr	fm_000_lh_la01.spr	fm_000_lh_la02.spr	fm_000_lh_da01.spr	fm_000_lh_da02.spr	fm_000_lh_em.spr	fm_000_lh_sm.spr	fm_000_lh_lm.spr	fm_000_lh_dm.spr	fm_000_lh_zz.spr	fm_000_lh_jp.spr	fm_000_lh_rs01.spr	fm_000_lh_rs01.spr	fm_000_lh_rs01.spr	fm_000_lh_rw.spr	fm_000_lh_rr.spr	fm_000_lh_ra01.spr	fm_000_lh_ra02.spr	fm_000_lh_rm.spr	fm_000_lh_rb.spr	fm_000_lh_rd.spr
armor01	fm_001_lh_es02.spr	fm_001_lh_es02.spr	fm_001_lh_es01.spr	fm_001_lh_ss02.spr	fm_001_lh_ss01.spr	fm_001_lh_ss01.spr	fm_001_lh_ls02.spr	fm_001_lh_ls01.spr	fm_001_lh_ls01.spr	fm_001_lh_ds02.spr	fm_001_lh_ds01.spr	fm_001_lh_ds01.spr	fm_001_lh_ew.spr	fm_001_lh_sw.spr	fm_001_lh_lw.spr	fm_001_lh_dw.spr	fm_001_lh_er.spr	fm_001_lh_sr.spr	fm_001_lh_lr.spr	fm_001_lh_dr.spr	fm_001_lh_eb.spr	fm_001_lh_sb.spr	fm_001_lh_lb.spr	fm_001_lh_db.spr	fm_001_lh_ed.spr	fm_001_lh_sd.spr	fm_001_lh_ld.spr	fm_001_lh_dd.spr	fm_001_lh_ea01.spr	fm_001_lh_ea02.spr	fm_001_lh_sa01.spr	fm_001_lh_sa02.spr	fm_001_lh_la01.spr	fm_001_lh_la02.spr	fm_001_lh_da01.spr	fm_001_lh_da02.spr	fm_001_lh_em.spr	fm_001_lh_sm.spr	fm_001_lh_lm.spr	fm_001_lh_dm.spr	fm_001_lh_zz.spr	fm_001_lh_jp.spr	fm_001_lh_rs01.spr	fm_001_lh_rs01.spr	fm_001_lh_rs01.spr	fm_001_lh_rw.spr	fm_001_lh_rr.spr	fm_001_lh_ra01.spr	fm_001_lh_ra02.spr	fm_001_lh_rm.spr	fm_001_lh_rb.spr	fm_001_lh_rd.spr
armor02	fm_002_lh_es02.spr	fm_002_lh_es02.spr	fm_002_lh_es01.spr	fm_002_lh_ss02.spr	fm_002_lh_ss01.spr	fm_002_lh_ss01.spr	fm_002_lh_ls02.spr	fm_002_lh_ls01.spr	fm_002_lh_ls01.spr	fm_002_lh_ds02.spr	fm_002_lh_ds01.spr	fm_002_lh_ds01.spr	fm_002_lh_ew.spr	fm_002_lh_sw.spr	fm_002_lh_lw.spr	fm_002_lh_dw.spr	fm_002_lh_er.spr	fm_002_lh_sr.spr	fm_002_lh_lr.spr	fm_002_lh_dr.spr	fm_002_lh_eb.spr	fm_002_lh_sb.spr	fm_002_lh_lb.spr	fm_002_lh_db.spr	fm_002_lh_ed.spr	fm_002_lh_sd.spr	fm_002_lh_ld.spr	fm_002_lh_dd.spr	fm_002_lh_ea01.spr	fm_002_lh_ea02.spr	fm_002_lh_sa01.spr	fm_002_lh_sa02.spr	fm_002_lh_la01.spr	fm_002_lh_la02.spr	fm_002_lh_da01.spr	fm_002_lh_da02.spr	fm_002_lh_em.spr	fm_002_lh_sm.spr	fm_002_lh_lm.spr	fm_002_lh_dm.spr	fm_002_lh_zz.spr	fm_002_lh_jp.spr	fm_002_lh_rs01.spr	fm_002_lh_rs01.spr	fm_002_lh_rs01.spr	fm_002_lh_rw.spr	fm_002_lh_rr.spr	fm_002_lh_ra01.spr	fm_002_lh_ra02.spr	fm_002_lh_rm.spr	fm_002_lh_rb.spr	fm_002_lh_rd.spr
armor03	fm_003_lh_es02.spr	fm_003_lh_es02.spr	fm_003_lh_es01.spr	fm_003_lh_ss02.spr	fm_003_lh_ss01.spr	fm_003_lh_ss01.spr	fm_003_lh_ls02.spr	fm_003_lh_ls01.spr	fm_003_lh_ls01.spr	fm_003_lh_ds02.spr	fm_003_lh_ds01.spr	fm_003_lh_ds01.spr	fm_003_lh_ew.spr	fm_003_lh_sw.spr	fm_003_lh_lw.spr	fm_003_lh_dw.spr	fm_003_lh_er.spr	fm_003_lh_sr.spr	fm_003_lh_lr.spr	fm_003_lh_dr.spr	fm_003_lh_eb.spr	fm_003_lh_sb.spr	fm_003_lh_lb.spr	fm_003_lh_db.spr	fm_003_lh_ed.spr	fm_003_lh_sd.spr	fm_003_lh_ld.spr	fm_003_lh_dd.spr	fm_003_lh_ea01.spr	fm_003_lh_ea02.spr	fm_003_lh_sa01.spr	fm_003_lh_sa02.spr	fm_003_lh_la01.spr	fm_003_lh_la02.spr	fm_003_lh_da01.spr	fm_003_lh_da02.spr	fm_003_lh_em.spr	fm_003_lh_sm.spr	fm_003_lh_lm.spr	fm_003_lh_dm.spr	fm_003_lh_zz.spr	fm_003_lh_jp.spr	fm_003_lh_rs01.spr	fm_003_lh_rs01.spr	fm_003_lh_rs01.spr	fm_003_lh_rw.spr	fm_003_lh_rr.spr	fm_003_lh_ra01.spr	fm_003_lh_ra02.spr	fm_003_lh_rm.spr	fm_003_lh_rb.spr	fm_003_lh_rd.spr
armor04	fm_004_lh_es02.spr	fm_004_lh_es02.spr	fm_004_lh_es01.spr	fm_004_lh_ss02.spr	fm_004_lh_ss01.spr	fm_004_lh_ss01.spr	fm_004_lh_ls02.spr	fm_004_lh_ls01.spr	fm_004_lh_ls01.spr	fm_004_lh_ds02.spr	fm_004_lh_ds01.spr	fm_004_lh_ds01.spr	fm_004_lh_ew.spr	fm_004_lh_sw.spr	fm_004_lh_lw.spr	fm_004_lh_dw.spr	fm_004_lh_er.spr	fm_004_lh_sr.spr	fm_004_lh_lr.spr	fm_004_lh_dr.spr	fm_004_lh_eb.spr	fm_004_lh_sb.spr	fm_004_lh_lb.spr	fm_004_lh_db.spr	fm_004_lh_ed.spr	fm_004_lh_sd.spr	fm_004_lh_ld.spr	fm_004_lh_dd.spr	fm_004_lh_ea01.spr	fm_004_lh_ea02.spr	fm_004_lh_sa01.spr	fm_004_lh_sa02.spr	fm_004_lh_la01.spr	fm_004_lh_la02.spr	fm_004_lh_da01.spr	fm_004_lh_da02.spr	fm_004_lh_em.spr	fm_004_lh_sm.spr	fm_004_lh_lm.spr	fm_004_lh_dm.spr	fm_004_lh_zz.spr	fm_004_lh_jp.spr	fm_004_lh_rs01.spr	fm_004_lh_rs01.spr	fm_004_lh_rs01.spr	fm_004_lh_rw.spr	fm_004_lh_rr.spr	fm_004_lh_ra01.spr	fm_004_lh_ra02.spr	fm_004_lh_rm.spr	fm_004_lh_rb.spr	fm_004_lh_rd.spr
armor05	fm_005_lh_es02.spr	fm_005_lh_es02.spr	fm_005_lh_es01.spr	fm_005_lh_ss02.spr	fm_005_lh_ss01.spr	fm_005_lh_ss01.spr	fm_005_lh_ls02.spr	fm_005_lh_ls01.spr	fm_005_lh_ls01.spr	fm_005_lh_ds02.spr	fm_005_lh_ds01.spr	fm_005_lh_ds01.spr	fm_005_lh_ew.spr	fm_005_lh_sw.spr	fm_005_lh_lw.spr	fm_005_lh_dw.spr	fm_005_lh_er.spr	fm_005_lh_sr.spr	fm_005_lh_lr.spr	fm_005_lh_dr.spr	fm_005_lh_eb.spr	fm_005_lh_sb.spr	fm_005_lh_lb.spr	fm_005_lh_db.spr	fm_005_lh_ed.spr	fm_005_lh_sd.spr	fm_005_lh_ld.spr	fm_005_lh_dd.spr	fm_005_lh_ea01.spr	fm_005_lh_ea02.spr	fm_005_lh_sa01.spr	fm_005_lh_sa02.spr	fm_005_lh_la01.spr	fm_005_lh_la02.spr	fm_005_lh_da01.spr	fm_005_lh_da02.spr	fm_005_lh_em.spr	fm_005_lh_sm.spr	fm_005_lh_lm.spr	fm_005_lh_dm.spr	fm_005_lh_zz.spr	fm_005_lh_jp.spr	fm_005_lh_rs01.spr	fm_005_lh_rs01.spr	fm_005_lh_rs01.spr	fm_005_lh_rw.spr	fm_005_lh_rr.spr	fm_005_lh_ra01.spr	fm_005_lh_ra02.spr	fm_005_lh_rm.spr	fm_005_lh_rb.spr	fm_005_lh_rd.spr
armor06	fm_006_lh_es02.spr	fm_006_lh_es02.spr	fm_006_lh_es01.spr	fm_006_lh_ss02.spr	fm_006_lh_ss01.spr	fm_006_lh_ss01.spr	fm_006_lh_ls02.spr	fm_006_lh_ls01.spr	fm_006_lh_ls01.spr	fm_006_lh_ds02.spr	fm_006_lh_ds01.spr	fm_006_lh_ds01.spr	fm_006_lh_ew.spr	fm_006_lh_sw.spr	fm_006_lh_lw.spr	fm_006_lh_dw.spr	fm_006_lh_er.spr	fm_006_lh_sr.spr	fm_006_lh_lr.spr	fm_006_lh_dr.spr	fm_006_lh_eb.spr	fm_006_lh_sb.spr	fm_006_lh_lb.spr	fm_006_lh_db.spr	fm_006_lh_ed.spr	fm_006_lh_sd.spr	fm_006_lh_ld.spr	fm_006_lh_dd.spr	fm_006_lh_ea01.spr	fm_006_lh_ea02.spr	fm_006_lh_sa01.spr	fm_006_lh_sa02.spr	fm_006_lh_la01.spr	fm_006_lh_la02.spr	fm_006_lh_da01.spr	fm_006_lh_da02.spr	fm_006_lh_em.spr	fm_006_lh_sm.spr	fm_006_lh_lm.spr	fm_006_lh_dm.spr	fm_006_lh_zz.spr	fm_006_lh_jp.spr	fm_006_lh_rs01.spr	fm_006_lh_rs01.spr	fm_006_lh_rs01.spr	fm_006_lh_rw.spr	fm_006_lh_rr.spr	fm_006_lh_ra01.spr	fm_006_lh_ra02.spr	fm_006_lh_rm.spr	fm_006_lh_rb.spr	fm_006_lh_rd.spr
armor07	fm_007_lh_es02.spr	fm_007_lh_es02.spr	fm_007_lh_es01.spr	fm_007_lh_ss02.spr	fm_007_lh_ss01.spr	fm_007_lh_ss01.spr	fm_007_lh_ls02.spr	fm_007_lh_ls01.spr	fm_007_lh_ls01.spr	fm_007_lh_ds02.spr	fm_007_lh_ds01.spr	fm_007_lh_ds01.spr	fm_007_lh_ew.spr	fm_007_lh_sw.spr	fm_007_lh_lw.spr	fm_007_lh_dw.spr	fm_007_lh_er.spr	fm_007_lh_sr.spr	fm_007_lh_lr.spr	fm_007_lh_dr.spr	fm_007_lh_eb.spr	fm_007_lh_sb.spr	fm_007_lh_lb.spr	fm_007_lh_db.spr	fm_007_lh_ed.spr	fm_007_lh_sd.spr	fm_007_lh_ld.spr	fm_007_lh_dd.spr	fm_007_lh_ea01.spr	fm_007_lh_ea02.spr	fm_007_lh_sa01.spr	fm_007_lh_sa02.spr	fm_007_lh_la01.spr	fm_007_lh_la02.spr	fm_007_lh_da01.spr	fm_007_lh_da02.spr	fm_007_lh_em.spr	fm_007_lh_sm.spr	fm_007_lh_lm.spr	fm_007_lh_dm.spr	fm_007_lh_zz.spr	fm_007_lh_jp.spr	fm_007_lh_rs01.spr	fm_007_lh_rs01.spr	fm_007_lh_rs01.spr	fm_007_lh_rw.spr	fm_007_lh_rr.spr	fm_007_lh_ra01.spr	fm_007_lh_ra02.spr	fm_007_lh_rm.spr	fm_007_lh_rb.spr	fm_007_lh_rd.spr
armor08	fm_008_lh_es02.spr	fm_008_lh_es02.spr	fm_008_lh_es01.spr	fm_008_lh_ss02.spr	fm_008_lh_ss01.spr	fm_008_lh_ss01.spr	fm_008_lh_ls02.spr	fm_008_lh_ls01.spr	fm_008_lh_ls01.spr	fm_008_lh_ds02.spr	fm_008_lh_ds01.spr	fm_008_lh_ds01.spr	fm_008_lh_ew.spr	fm_008_lh_sw.spr	fm_008_lh_lw.spr	fm_008_lh_dw.spr	fm_008_lh_er.spr	fm_008_lh_sr.spr	fm_008_lh_lr.spr	fm_008_lh_dr.spr	fm_008_lh_eb.spr	fm_008_lh_sb.spr	fm_008_lh_lb.spr	fm_008_lh_db.spr	fm_008_lh_ed.spr	fm_008_lh_sd.spr	fm_008_lh_ld.spr	fm_008_lh_dd.spr	fm_008_lh_ea01.spr	fm_008_lh_ea02.spr	fm_008_lh_sa01.spr	fm_008_lh_sa02.spr	fm_008_lh_la01.spr	fm_008_lh_la02.spr	fm_008_lh_da01.spr	fm_008_lh_da02.spr	fm_008_lh_em.spr	fm_008_lh_sm.spr	fm_008_lh_lm.spr	fm_008_lh_dm.spr	fm_008_lh_zz.spr	fm_008_lh_jp.spr	fm_008_lh_rs01.spr	fm_008_lh_rs01.spr	fm_008_lh_rs01.spr	fm_008_lh_rw.spr	fm_008_lh_rr.spr	fm_008_lh_ra01.spr	fm_008_lh_ra02.spr	fm_008_lh_rm.spr	fm_008_lh_rb.spr	fm_008_lh_rd.spr
armor09	fm_009_lh_es02.spr	fm_009_lh_es02.spr	fm_009_lh_es01.spr	fm_009_lh_ss02.spr	fm_009_lh_ss01.spr	fm_009_lh_ss01.spr	fm_009_lh_ls02.spr	fm_009_lh_ls01.spr	fm_009_lh_ls01.spr	fm_009_lh_ds02.spr	fm_009_lh_ds01.spr	fm_009_lh_ds01.spr	fm_009_lh_ew.spr	fm_009_lh_sw.spr	fm_009_lh_lw.spr	fm_009_lh_dw.spr	fm_009_lh_er.spr	fm_009_lh_sr.spr	fm_009_lh_lr.spr	fm_009_lh_dr.spr	fm_009_lh_eb.spr	fm_009_lh_sb.spr	fm_009_lh_lb.spr	fm_009_lh_db.spr	fm_009_lh_ed.spr	fm_009_lh_sd.spr	fm_009_lh_ld.spr	fm_009_lh_dd.spr	fm_009_lh_ea01.spr	fm_009_lh_ea02.spr	fm_009_lh_sa01.spr	fm_009_lh_sa02.spr	fm_009_lh_la01.spr	fm_009_lh_la02.spr	fm_009_lh_da01.spr	fm_009_lh_da02.spr	fm_009_lh_em.spr	fm_009_lh_sm.spr	fm_009_lh_lm.spr	fm_009_lh_dm.spr	fm_009_lh_zz.spr	fm_009_lh_jp.spr	fm_009_lh_rs01.spr	fm_009_lh_rs01.spr	fm_009_lh_rs01.spr	fm_009_lh_rw.spr	fm_009_lh_rr.spr	fm_009_lh_ra01.spr	fm_009_lh_ra02.spr	fm_009_lh_rm.spr	fm_009_lh_rb.spr	fm_009_lh_rd.spr
