EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
helm00	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm01	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm02	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm03	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm04	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm05	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm06	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm07	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm08	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm09	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm10	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm11	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm12	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm13	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm14	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm15	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm16	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm17																																																				
helm18																																																				
helm19																																																				
helm20																																																				
helm21																																																				
helm22																																																				
helm23																																																				
helm24																																																				
helm25																																																				
helm26																																																				
helm27																																																				
helm28																																																				
helm29																																																				
helm30																																																				
helm31	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
helm32	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
