EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
horse00																																																				
horse01																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse02																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse03																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse04																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse05																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse06																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse07																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse08																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse09																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse10																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse11																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse12																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse13																																																				
horse14																																																				
horse15																																																				
horse16																																																				
horse17																																																				
horse18																																																				
horse19																																																				
horse20																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse21																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse22																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse23																																											104,8,1	104,8,1	104,8,1	96,8,1	80,8,1	96,8,1	112,8,1	104,8,1	48,8,1	120,8,1
horse24																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse25																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse26																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	104,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse27																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse28																																											96,8,80	96,8,80	96,8,80	96,8,100	80,8,56	96,8,100	112,8,80	96,8,80	48,8,80	120,8,80
horse29																																											96,8,100	96,8,100	96,8,100	96,8,100	80,8,65	96,8,80	112,8,80	96,8,80	48,8,75	120,8,70
horse30																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse31																																																				
horse32																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse33																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse34																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse35																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse36																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse37																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse38																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse39																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse40																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	56,8,1	120,8,1
horse41																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse42																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse43																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	104,8,1	48,8,1	120,8,1
horse44																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse45																																											96,8,60	96,8,60	96,8,60	96,8,60	80,8,45	96,8,50	112,8,40	96,8,40	48,8,50	120,8,60
horse46																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse47																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse48																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse49																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse50																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse51																																											96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
horse52																																											96,8,65	96,8,65	96,8,65	96,8,65	80,8,46	96,8,48	112,8,45	96,8,40	48,8,48	120,8,48
horse53																																											96,8,65	96,8,65	96,8,65	96,8,65	80,8,46	96,8,48	112,8,45	96,8,40	48,8,48	120,8,48
horse54																																											96,8,65	96,8,65	96,8,65	96,8,65	80,8,46	96,8,48	112,8,45	96,8,40	48,8,48	120,8,48
horse55																																											96,8,65	96,8,65	96,8,65	96,8,65	80,8,46	96,8,48	112,8,45	96,8,40	48,8,48	120,8,48
horse56																																											96,8,65	96,8,65	96,8,65	96,8,65	80,8,46	96,8,48	112,8,45	96,8,40	48,8,48	120,8,48
horse57																																											96,8,65	96,8,65	96,8,65	96,8,65	80,8,46	96,8,48	112,8,45	96,8,40	48,8,48	120,8,48
horse58																																											96,8,65	96,8,65	96,8,65	96,8,65	80,8,46	96,8,48	112,8,45	96,8,40	48,8,48	120,8,48
horse59																																											96,8,65	96,8,65	96,8,65	96,8,65	80,8,46	96,8,48	112,8,45	96,8,40	48,8,48	120,8,48
horse60																																											96,8,65	96,8,65	96,8,65	96,8,55	80,8,40	96,8,48	112,8,45	96,8,40	48,8,40	112,8,48
horse61																																											96,8,65	96,8,65	96,8,65	96,8,55	80,8,46	96,8,48	112,8,45	96,8,40	48,8,40	120,8,48
horse62																																											96,8,65	96,8,65	96,8,65	96,8,55	80,8,46	96,8,48	112,8,45	96,8,40	48,8,40	120,8,48
horse63																																											96,8,65	96,8,65	96,8,65	96,8,55	80,8,46	96,8,48	112,8,45	96,8,40	48,8,40	120,8,48
horse64																																											96,8,65	96,8,65	96,8,65	96,8,55	80,8,46	96,8,48	112,8,45	96,8,40	48,8,40	120,8,48
horse65																																											96,8,65	96,8,65	96,8,65	96,8,55	80,8,46	96,8,48	112,8,45	96,8,40	48,8,40	120,8,48
