EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
mantle00																																																				
mantle01	fm_001_sd_es02.spr	fm_001_sd_es02.spr	fm_001_sd_es01.spr	fm_001_sd_ss02.spr	fm_001_sd_ss01.spr	fm_001_sd_ss01.spr	fm_001_sd_ls02.spr	fm_001_sd_ls01.spr	fm_001_sd_ls01.spr	fm_001_sd_ds02.spr	fm_001_sd_ds01.spr	fm_001_sd_ds01.spr	fm_001_sd_ew.spr	fm_001_sd_sw.spr	fm_001_sd_lw.spr	fm_001_sd_dw.spr	fm_001_sd_er.spr	fm_001_sd_sr.spr	fm_001_sd_lr.spr	fm_001_sd_dr.spr	fm_001_sd_eb.spr	fm_001_sd_sb.spr	fm_001_sd_lb.spr	fm_001_sd_db.spr	fm_001_sd_ed.spr	fm_001_sd_sd.spr	fm_001_sd_ld.spr	fm_001_sd_dd.spr	fm_001_sd_ea01.spr	fm_001_sd_ea02.spr	fm_001_sd_sa01.spr	fm_001_sd_sa02.spr	fm_001_sd_la01.spr	fm_001_sd_la02.spr	fm_001_sd_da01.spr	fm_001_sd_da02.spr	fm_001_sd_em.spr	fm_001_sd_sm.spr	fm_001_sd_lm.spr	fm_001_sd_dm.spr	fm_001_sd_zz.spr	fm_001_sd_jp.spr	fm_001_sd_rs01.spr	fm_001_sd_rs01.spr	fm_001_sd_rs01.spr	fm_001_sd_rw.spr	fm_001_sd_rr.spr	fm_001_sd_ra01.spr	fm_001_sd_ra02.spr	fm_001_sd_rm.spr	fm_001_sd_rb.spr	fm_001_sd_rd.spr
mantle02	fm_002_sd_es02.spr	fm_002_sd_es02.spr	fm_002_sd_es01.spr	fm_002_sd_ss02.spr	fm_002_sd_ss01.spr	fm_002_sd_ss01.spr	fm_002_sd_ls02.spr	fm_002_sd_ls01.spr	fm_002_sd_ls01.spr	fm_002_sd_ds02.spr	fm_002_sd_ds01.spr	fm_002_sd_ds01.spr	fm_002_sd_ew.spr	fm_002_sd_sw.spr	fm_002_sd_lw.spr	fm_002_sd_dw.spr	fm_002_sd_er.spr	fm_002_sd_sr.spr	fm_002_sd_lr.spr	fm_002_sd_dr.spr	fm_002_sd_eb.spr	fm_002_sd_sb.spr	fm_002_sd_lb.spr	fm_002_sd_db.spr	fm_002_sd_ed.spr	fm_002_sd_sd.spr	fm_002_sd_ld.spr	fm_002_sd_dd.spr	fm_002_sd_ea01.spr	fm_002_sd_ea02.spr	fm_002_sd_sa01.spr	fm_002_sd_sa02.spr	fm_002_sd_la01.spr	fm_002_sd_la02.spr	fm_002_sd_da01.spr	fm_002_sd_da02.spr	fm_002_sd_em.spr	fm_002_sd_sm.spr	fm_002_sd_lm.spr	fm_002_sd_dm.spr	fm_002_sd_zz.spr	fm_002_sd_jp.spr	fm_002_sd_rs01.spr	fm_002_sd_rs01.spr	fm_002_sd_rs01.spr	fm_002_sd_rw.spr	fm_002_sd_rr.spr	fm_002_sd_ra01.spr	fm_002_sd_ra02.spr	fm_002_sd_rm.spr	fm_002_sd_rb.spr	fm_002_sd_rd.spr
mantle03	fm_003_sd_es02.spr	fm_003_sd_es02.spr	fm_003_sd_es01.spr	fm_003_sd_ss02.spr	fm_003_sd_ss01.spr	fm_003_sd_ss01.spr	fm_003_sd_ls02.spr	fm_003_sd_ls01.spr	fm_003_sd_ls01.spr	fm_003_sd_ds02.spr	fm_003_sd_ds01.spr	fm_003_sd_ds01.spr	fm_003_sd_ew.spr	fm_003_sd_sw.spr	fm_003_sd_lw.spr	fm_003_sd_dw.spr	fm_003_sd_er.spr	fm_003_sd_sr.spr	fm_003_sd_lr.spr	fm_003_sd_dr.spr	fm_003_sd_eb.spr	fm_003_sd_sb.spr	fm_003_sd_lb.spr	fm_003_sd_db.spr	fm_003_sd_ed.spr	fm_003_sd_sd.spr	fm_003_sd_ld.spr	fm_003_sd_dd.spr	fm_003_sd_ea01.spr	fm_003_sd_ea02.spr	fm_003_sd_sa01.spr	fm_003_sd_sa02.spr	fm_003_sd_la01.spr	fm_003_sd_la02.spr	fm_003_sd_da01.spr	fm_003_sd_da02.spr	fm_003_sd_em.spr	fm_003_sd_sm.spr	fm_003_sd_lm.spr	fm_003_sd_dm.spr	fm_003_sd_zz.spr	fm_003_sd_jp.spr	fm_003_sd_rs01.spr	fm_003_sd_rs01.spr	fm_003_sd_rs01.spr	fm_003_sd_rw.spr	fm_003_sd_rr.spr	fm_003_sd_ra01.spr	fm_003_sd_ra02.spr	fm_003_sd_rm.spr	fm_003_sd_rb.spr	fm_003_sd_rd.spr
mantle04	fm_004_sd_es02.spr	fm_004_sd_es02.spr	fm_004_sd_es01.spr	fm_004_sd_ss02.spr	fm_004_sd_ss01.spr	fm_004_sd_ss01.spr	fm_004_sd_ls02.spr	fm_004_sd_ls01.spr	fm_004_sd_ls01.spr	fm_004_sd_ds02.spr	fm_004_sd_ds01.spr	fm_004_sd_ds01.spr	fm_004_sd_ew.spr	fm_004_sd_sw.spr	fm_004_sd_lw.spr	fm_004_sd_dw.spr	fm_004_sd_er.spr	fm_004_sd_sr.spr	fm_004_sd_lr.spr	fm_004_sd_dr.spr	fm_004_sd_eb.spr	fm_004_sd_sb.spr	fm_004_sd_lb.spr	fm_004_sd_db.spr	fm_004_sd_ed.spr	fm_004_sd_sd.spr	fm_004_sd_ld.spr	fm_004_sd_dd.spr	fm_004_sd_ea01.spr	fm_004_sd_ea02.spr	fm_004_sd_sa01.spr	fm_004_sd_sa02.spr	fm_004_sd_la01.spr	fm_004_sd_la02.spr	fm_004_sd_da01.spr	fm_004_sd_da02.spr	fm_004_sd_em.spr	fm_004_sd_sm.spr	fm_004_sd_lm.spr	fm_004_sd_dm.spr	fm_004_sd_zz.spr	fm_004_sd_jp.spr	fm_004_sd_rs01.spr	fm_004_sd_rs01.spr	fm_004_sd_rs01.spr	fm_004_sd_rw.spr	fm_004_sd_rr.spr	fm_004_sd_ra01.spr	fm_004_sd_ra02.spr	fm_004_sd_rm.spr	fm_004_sd_rb.spr	fm_004_sd_rd.spr
mantle05	fm_005_sd_es02.spr	fm_005_sd_es02.spr	fm_005_sd_es01.spr	fm_005_sd_ss02.spr	fm_005_sd_ss01.spr	fm_005_sd_ss01.spr	fm_005_sd_ls02.spr	fm_005_sd_ls01.spr	fm_005_sd_ls01.spr	fm_005_sd_ds02.spr	fm_005_sd_ds01.spr	fm_005_sd_ds01.spr	fm_005_sd_ew.spr	fm_005_sd_sw.spr	fm_005_sd_lw.spr	fm_005_sd_dw.spr	fm_005_sd_er.spr	fm_005_sd_sr.spr	fm_005_sd_lr.spr	fm_005_sd_dr.spr	fm_005_sd_eb.spr	fm_005_sd_sb.spr	fm_005_sd_lb.spr	fm_005_sd_db.spr	fm_005_sd_ed.spr	fm_005_sd_sd.spr	fm_005_sd_ld.spr	fm_005_sd_dd.spr	fm_005_sd_ea01.spr	fm_005_sd_ea02.spr	fm_005_sd_sa01.spr	fm_005_sd_sa02.spr	fm_005_sd_la01.spr	fm_005_sd_la02.spr	fm_005_sd_da01.spr	fm_005_sd_da02.spr	fm_005_sd_em.spr	fm_005_sd_sm.spr	fm_005_sd_lm.spr	fm_005_sd_dm.spr	fm_005_sd_zz.spr	fm_005_sd_jp.spr	fm_005_sd_rs01.spr	fm_005_sd_rs01.spr	fm_005_sd_rs01.spr	fm_005_sd_rw.spr	fm_005_sd_rr.spr	fm_005_sd_ra01.spr	fm_005_sd_ra02.spr	fm_005_sd_rm.spr	fm_005_sd_rb.spr	fm_005_sd_rd.spr
mantle06	pf_004_es02.spr	pf_004_es02.spr	pf_004_es01.spr	pf_004_ss02.spr	pf_004_ss01.spr	pf_004_ss01.spr	pf_004_ls02.spr	pf_004_ls01.spr	pf_004_ls01.spr	pf_004_ds02.spr	pf_004_ds01.spr	pf_004_ds01.spr	pf_004_ew.spr	pf_004_sw.spr	pf_004_lw.spr	pf_004_dw.spr	pf_004_er.spr	pf_004_sr.spr	pf_004_lr.spr	pf_004_dr.spr	pf_004_eb.spr	pf_004_sb.spr	pf_004_lb.spr	pf_004_db.spr	pf_004_ed.spr	pf_004_sd.spr	pf_004_ld.spr	pf_004_dd.spr	pf_004_ea01.spr	pf_004_ea02.spr	pf_004_sa01.spr	pf_004_sa02.spr	pf_004_la01.spr	pf_004_la02.spr	pf_004_da01.spr	pf_004_da02.spr	pf_004_em.spr	pf_004_sm.spr	pf_004_lm.spr	pf_004_dm.spr	pf_004_zz.spr	pf_004_jp.spr	pf_004_rs01.spr	pf_004_rs01.spr	pf_004_rs01.spr	pf_004_rw.spr	pf_004_rr.spr	pf_004_ra01.spr	pf_004_ra02.spr	pf_004_rm.spr	pf_004_rb.spr	pf_004_rd.spr
mantle07	pf_003_es02.spr	pf_003_es02.spr	pf_003_es01.spr	pf_003_ss02.spr	pf_003_ss01.spr	pf_003_ss01.spr	pf_003_ls02.spr	pf_003_ls01.spr	pf_003_ls01.spr	pf_003_ds02.spr	pf_003_ds01.spr	pf_003_ds01.spr	pf_003_ew.spr	pf_003_sw.spr	pf_003_lw.spr	pf_003_dw.spr	pf_003_er.spr	pf_003_sr.spr	pf_003_lr.spr	pf_003_dr.spr	pf_003_eb.spr	pf_003_sb.spr	pf_003_lb.spr	pf_003_db.spr	pf_003_ed.spr	pf_003_sd.spr	pf_003_ld.spr	pf_003_dd.spr	pf_003_ea01.spr	pf_003_ea02.spr	pf_003_sa01.spr	pf_003_sa02.spr	pf_003_la01.spr	pf_003_la02.spr	pf_003_da01.spr	pf_003_da02.spr	pf_003_em.spr	pf_003_sm.spr	pf_003_lm.spr	pf_003_dm.spr	pf_003_zz.spr	pf_003_jp.spr	pf_003_rs01.spr	pf_003_rs01.spr	pf_003_rs01.spr	pf_003_rw.spr	pf_003_rr.spr	pf_003_ra01.spr	pf_003_ra02.spr	pf_003_rm.spr	pf_003_rb.spr	pf_003_rd.spr
mantle08	pf_006_es02.spr	pf_006_es02.spr	pf_006_es01.spr	pf_006_ss02.spr	pf_006_ss01.spr	pf_006_ss01.spr	pf_006_ls02.spr	pf_006_ls01.spr	pf_006_ls01.spr	pf_006_ds02.spr	pf_006_ds01.spr	pf_006_ds01.spr	pf_006_ew.spr	pf_006_sw.spr	pf_006_lw.spr	pf_006_dw.spr	pf_006_er.spr	pf_006_sr.spr	pf_006_lr.spr	pf_006_dr.spr	pf_006_eb.spr	pf_006_sb.spr	pf_006_lb.spr	pf_006_db.spr	pf_006_ed.spr	pf_006_sd.spr	pf_006_ld.spr	pf_006_dd.spr	pf_006_ea01.spr	pf_006_ea02.spr	pf_006_sa01.spr	pf_006_sa02.spr	pf_006_la01.spr	pf_006_la02.spr	pf_006_da01.spr	pf_006_da02.spr	pf_006_em.spr	pf_006_sm.spr	pf_006_lm.spr	pf_006_dm.spr	pf_006_zz.spr	pf_006_jp.spr	pf_006_rs01.spr	pf_006_rs01.spr	pf_006_rs01.spr	pf_006_rw.spr	pf_006_rr.spr	pf_006_ra01.spr	pf_006_ra02.spr	pf_006_rm.spr	pf_006_rb.spr	pf_006_rd.spr
mantle09	pf009_es02.spr	pf009_es02.spr	pf009_es01.spr	pf009_ss02.spr	pf009_ss01.spr	pf009_ss01.spr	pf009_ls02.spr	pf009_ls01.spr	pf009_ls01.spr	pf009_ds02.spr	pf009_ds01.spr	pf009_ds01.spr	pf009_ew.spr	pf009_sw.spr	pf009_lw.spr	pf009_dw.spr	pf009_er.spr	pf009_sr.spr	pf009_lr.spr	pf009_dr.spr	pf009_eb.spr	pf009_sb.spr	pf009_lb.spr	pf009_db.spr	pf009_ed.spr	pf009_sd.spr	pf009_ld.spr	pf009_dd.spr	pf009_ea01.spr	pf009_ea02.spr	pf009_sa01.spr	pf009_sa02.spr	pf009_la01.spr	pf009_la02.spr	pf009_da01.spr	pf009_da02.spr	pf009_em.spr	pf009_sm.spr	pf009_lm.spr	pf009_dm.spr	pf009_zz.spr	pf009_jp.spr	pf009_rs01.spr	pf009_rs01.spr	pf009_rs01.spr	pf009_rw.spr	pf009_rr.spr	pf009_ra01.spr	pf009_ra02.spr	pf009_rm.spr	pf009_rb.spr	pf009_rd.spr
