EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
mantle09	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
mantle01	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
mantle02	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
mantle03	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
mantle04	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
mantle05	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
mantle06	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
mantle07	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
mantle08	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	104,8,1	104,8,1	104,8,1	104,8,1	72,8,1	64,8,1	128,8,1	128,8,1	64,8,1	64,8,1	112,8,1	88,8,1	96,8,1	128,8,1	80,8,1	88,8,1	168,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
mantle09	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
