EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
null																																																				
melee_gold				fm_100_re_ss02.spr	fm_100_re_ss02.spr	fm_100_re_ss01.spr								fm_100_re_sw.spr				fm_100_re_sr.spr				fm_100_re_sb.spr									fm_100_re_sa01.spr	fm_100_re_sa02.spr						fm_100_re_sm.spr					fm_100_re_rs01.spr	fm_100_re_rs01.spr	fm_100_re_rs01.spr	fm_100_re_rw.spr	fm_100_re_rr.spr	fm_100_re_ra01.spr	fm_100_re_ra02.spr	fm_100_re_rm.spr	fm_100_re_rb.spr	
melee_wood				fm_100_re_ss02.spr	fm_100_re_ss02.spr	fm_100_re_ss01.spr								fm_100_re_sw.spr				fm_100_re_sr.spr				fm_100_re_sb.spr									fm_100_re_sa01.spr	fm_100_re_sa02.spr						fm_100_re_sm.spr					fm_100_re_rs01.spr	fm_100_re_rs01.spr	fm_100_re_rs01.spr	fm_100_re_rw.spr	fm_100_re_rr.spr	fm_100_re_ra01.spr	fm_100_re_ra02.spr	fm_100_re_rm.spr	fm_100_re_rb.spr	
melee_water				fm_100_re_ss02.spr	fm_100_re_ss02.spr	fm_100_re_ss01.spr								fm_100_re_sw.spr				fm_100_re_sr.spr				fm_100_re_sb.spr									fm_100_re_sa01.spr	fm_100_re_sa02.spr						fm_100_re_sm.spr					fm_100_re_rs01.spr	fm_100_re_rs01.spr	fm_100_re_rs01.spr	fm_100_re_rw.spr	fm_100_re_rr.spr	fm_100_re_ra01.spr	fm_100_re_ra02.spr	fm_100_re_rm.spr	fm_100_re_rb.spr	
melee_fire				fm_100_re_ss02.spr	fm_100_re_ss02.spr	fm_100_re_ss01.spr								fm_100_re_sw.spr				fm_100_re_sr.spr				fm_100_re_sb.spr									fm_100_re_sa01.spr	fm_100_re_sa02.spr						fm_100_re_sm.spr					fm_100_re_rs01.spr	fm_100_re_rs01.spr	fm_100_re_rs01.spr	fm_100_re_rw.spr	fm_100_re_rr.spr	fm_100_re_ra01.spr	fm_100_re_ra02.spr	fm_100_re_rm.spr	fm_100_re_rb.spr	
melee_earth				fm_100_re_ss02.spr	fm_100_re_ss02.spr	fm_100_re_ss01.spr								fm_100_re_sw.spr				fm_100_re_sr.spr				fm_100_re_sb.spr									fm_100_re_sa01.spr	fm_100_re_sa02.spr						fm_100_re_sm.spr					fm_100_re_rs01.spr	fm_100_re_rs01.spr	fm_100_re_rs01.spr	fm_100_re_rw.spr	fm_100_re_rr.spr	fm_100_re_ra01.spr	fm_100_re_ra02.spr	fm_100_re_rm.spr	fm_100_re_rb.spr	
free_gold	fm_000_re_es02.spr	fm_000_re_es02.spr	fm_000_re_es01.spr										fm_000_re_ew.spr				fm_000_re_er.spr				fm_000_re_ew.spr								fm_000_re_ea01.spr	fm_000_re_ea02.spr							fm_000_re_em.spr						fm_000_re_rs01.spr	fm_000_re_rs01.spr	fm_000_re_rs01.spr	fm_000_re_rw.spr	fm_000_re_rr.spr	fm_000_re_ra01.spr	fm_000_re_ra02.spr	fm_000_re_rm.spr	fm_000_re_rb.spr	
free_wood	fm_000_re_es02.spr	fm_000_re_es02.spr	fm_000_re_es01.spr										fm_000_re_ew.spr				fm_000_re_er.spr				fm_000_re_ew.spr								fm_000_re_ea01.spr	fm_000_re_ea02.spr							fm_000_re_em.spr						fm_000_re_rs01.spr	fm_000_re_rs01.spr	fm_000_re_rs01.spr	fm_000_re_rw.spr	fm_000_re_rr.spr	fm_000_re_ra01.spr	fm_000_re_ra02.spr	fm_000_re_rm.spr	fm_000_re_rb.spr	
free_water	fm_000_re_es02.spr	fm_000_re_es02.spr	fm_000_re_es01.spr										fm_000_re_ew.spr				fm_000_re_er.spr				fm_000_re_ew.spr								fm_000_re_ea01.spr	fm_000_re_ea02.spr							fm_000_re_em.spr						fm_000_re_rs01.spr	fm_000_re_rs01.spr	fm_000_re_rs01.spr	fm_000_re_rw.spr	fm_000_re_rr.spr	fm_000_re_ra01.spr	fm_000_re_ra02.spr	fm_000_re_rm.spr	fm_000_re_rb.spr	
free_fire	fm_000_re_es02.spr	fm_000_re_es02.spr	fm_000_re_es01.spr										fm_000_re_ew.spr				fm_000_re_er.spr				fm_000_re_ew.spr								fm_000_re_ea01.spr	fm_000_re_ea02.spr							fm_000_re_em.spr						fm_000_re_rs01.spr	fm_000_re_rs01.spr	fm_000_re_rs01.spr	fm_000_re_rw.spr	fm_000_re_rr.spr	fm_000_re_ra01.spr	fm_000_re_ra02.spr	fm_000_re_rm.spr	fm_000_re_rb.spr	
free_earth	fm_000_re_es02.spr	fm_000_re_es02.spr	fm_000_re_es01.spr										fm_000_re_ew.spr				fm_000_re_er.spr				fm_000_re_ew.spr								fm_000_re_ea01.spr	fm_000_re_ea02.spr							fm_000_re_em.spr						fm_000_re_rs01.spr	fm_000_re_rs01.spr	fm_000_re_rs01.spr	fm_000_re_rw.spr	fm_000_re_rr.spr	fm_000_re_ra01.spr	fm_000_re_ra02.spr	fm_000_re_rm.spr	fm_000_re_rb.spr	
