EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
wind00																																																				
wind01	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1	128,8,1
wind02																																																				
wind03																																																				
wind04																																																				
wind05																																																				
wind06																																																				
wind07																																																				
wind08																																																				
wind09																																																				
wind10																																																				
wind11																																																				
wind12																																																				
wind13																																																				
wind14																																																				
wind15																																																				
wind16																																																				
wind17																																																				
wind18																																																				
wind19																																																				
wind20																																																				
wind21																																																				
wind22																																																				
wind23																																																				
wind24																																																				
wind25																																																				
wind26																																																				
wind27																																																				
wind28																																																				
wind29																																																				
wind30																																																				
wind31																																																				
