EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
armor00	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor01	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor02	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor03	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor04	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	112,8,1
armor05	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor06	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor07	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor08	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor09	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor10	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor11	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor12	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
armor13	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	96,8,1	96,8,1	96,8,1	96,8,1	128,8,1	128,8,1	128,8,1	128,8,1	64,8,1	64,8,1	64,8,1	64,8,1	80,8,1	80,8,1	104,8,1	80,8,1	88,8,1	64,8,1	112,8,1	104,8,1	80,8,1	72,8,1	96,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
