EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
helm00	ma_000_hr_es02.spr	ma_000_hr_es02.spr	ma_000_hr_es01.spr	ma_000_hr_ss02.spr	ma_000_hr_ss01.spr	ma_000_hr_ss01.spr	ma_000_hr_ls02.spr	ma_000_hr_ls01.spr	ma_000_hr_ls01.spr	ma_000_hr_ds02.spr	ma_000_hr_ds01.spr	ma_000_hr_ds01.spr	ma_000_hr_ew.spr	ma_000_hr_sw.spr	ma_000_hr_lw.spr	ma_000_hr_dw.spr	ma_000_hr_er.spr	ma_000_hr_sr.spr	ma_000_hr_lr.spr	ma_000_hr_dr.spr	ma_000_hr_eb.spr	ma_000_hr_sb.spr	ma_000_hr_lb.spr	ma_000_hr_db.spr	ma_000_hr_ed.spr	ma_000_hr_sd.spr	ma_000_hr_ld.spr	ma_000_hr_dd.spr	ma_000_hr_ea01.spr	ma_000_hr_ea02.spr	ma_000_hr_sa01.spr	ma_000_hr_sa02.spr	ma_000_hr_la01.spr	ma_000_hr_la02.spr	ma_000_hr_da01.spr	ma_000_hr_da02.spr	ma_000_hr_em.spr	ma_000_hr_sm.spr	ma_000_hr_lm.spr	ma_000_hr_dm.spr	ma_000_hr_zz.spr	ma_000_hr_jp.spr	ma_000_hr_rs01.spr	ma_000_hr_rs01.spr	ma_000_hr_rs01.spr	ma_000_hr_rw.spr	ma_000_hr_rr.spr	ma_000_hr_ra01.spr	ma_000_hr_ra02.spr	ma_000_hr_rm.spr	ma_000_hr_rb.spr	ma_000_hr_rd.spr
helm01																																																				
helm02	ma_002_hr_es02.spr	ma_002_hr_es02.spr	ma_002_hr_es01.spr	ma_002_hr_ss02.spr	ma_002_hr_ss01.spr	ma_002_hr_ss01.spr	ma_002_hr_ls02.spr	ma_002_hr_ls01.spr	ma_002_hr_ls01.spr	ma_002_hr_ds02.spr	ma_002_hr_ds01.spr	ma_002_hr_ds01.spr	ma_002_hr_ew.spr	ma_002_hr_sw.spr	ma_002_hr_lw.spr	ma_002_hr_dw.spr	ma_002_hr_er.spr	ma_002_hr_sr.spr	ma_002_hr_lr.spr	ma_002_hr_dr.spr	ma_002_hr_eb.spr	ma_002_hr_sb.spr	ma_002_hr_lb.spr	ma_002_hr_db.spr	ma_002_hr_ed.spr	ma_002_hr_sd.spr	ma_002_hr_ld.spr	ma_002_hr_dd.spr	ma_002_hr_ea01.spr	ma_002_hr_ea02.spr	ma_002_hr_sa01.spr	ma_002_hr_sa02.spr	ma_002_hr_la01.spr	ma_002_hr_la02.spr	ma_002_hr_da01.spr	ma_002_hr_da02.spr	ma_002_hr_em.spr	ma_002_hr_sm.spr	ma_002_hr_lm.spr	ma_002_hr_dm.spr	ma_002_hr_zz.spr	ma_002_hr_jp.spr	ma_002_hr_rs01.spr	ma_002_hr_rs01.spr	ma_002_hr_rs01.spr	ma_002_hr_rw.spr	ma_002_hr_rr.spr	ma_002_hr_ra01.spr	ma_002_hr_ra02.spr	ma_002_hr_rm.spr	ma_002_hr_rb.spr	ma_002_hr_rd.spr
helm03	ma_003_hr_es02.spr	ma_003_hr_es02.spr	ma_003_hr_es01.spr	ma_003_hr_ss02.spr	ma_003_hr_ss01.spr	ma_003_hr_ss01.spr	ma_003_hr_ls02.spr	ma_003_hr_ls01.spr	ma_003_hr_ls01.spr	ma_003_hr_ds02.spr	ma_003_hr_ds01.spr	ma_003_hr_ds01.spr	ma_003_hr_ew.spr	ma_003_hr_sw.spr	ma_003_hr_lw.spr	ma_003_hr_dw.spr	ma_003_hr_er.spr	ma_003_hr_sr.spr	ma_003_hr_lr.spr	ma_003_hr_dr.spr	ma_003_hr_eb.spr	ma_003_hr_sb.spr	ma_003_hr_lb.spr	ma_003_hr_db.spr	ma_003_hr_ed.spr	ma_003_hr_sd.spr	ma_003_hr_ld.spr	ma_003_hr_dd.spr	ma_003_hr_ea01.spr	ma_003_hr_ea02.spr	ma_003_hr_sa01.spr	ma_003_hr_sa02.spr	ma_003_hr_la01.spr	ma_003_hr_la02.spr	ma_003_hr_da01.spr	ma_003_hr_da02.spr	ma_003_hr_em.spr	ma_003_hr_sm.spr	ma_003_hr_lm.spr	ma_003_hr_dm.spr	ma_003_hr_zz.spr	ma_003_hr_jp.spr	ma_003_hr_rs01.spr	ma_003_hr_rs01.spr	ma_003_hr_rs01.spr	ma_003_hr_rw.spr	ma_003_hr_rr.spr	ma_003_hr_ra01.spr	ma_003_hr_ra02.spr	ma_003_hr_rm.spr	ma_003_hr_rb.spr	ma_003_hr_rd.spr
helm04	ma_004_hr_es02.spr	ma_004_hr_es02.spr	ma_004_hr_es01.spr	ma_004_hr_ss02.spr	ma_004_hr_ss01.spr	ma_004_hr_ss01.spr	ma_004_hr_ls02.spr	ma_004_hr_ls01.spr	ma_004_hr_ls01.spr	ma_004_hr_ds02.spr	ma_004_hr_ds01.spr	ma_004_hr_ds01.spr	ma_004_hr_ew.spr	ma_004_hr_sw.spr	ma_004_hr_lw.spr	ma_004_hr_dw.spr	ma_004_hr_er.spr	ma_004_hr_sr.spr	ma_004_hr_lr.spr	ma_004_hr_dr.spr	ma_004_hr_eb.spr	ma_004_hr_sb.spr	ma_004_hr_lb.spr	ma_004_hr_db.spr	ma_004_hr_ed.spr	ma_004_hr_sd.spr	ma_004_hr_ld.spr	ma_004_hr_dd.spr	ma_004_hr_ea01.spr	ma_004_hr_ea02.spr	ma_004_hr_sa01.spr	ma_004_hr_sa02.spr	ma_004_hr_la01.spr	ma_004_hr_la02.spr	ma_004_hr_da01.spr	ma_004_hr_da02.spr	ma_004_hr_em.spr	ma_004_hr_sm.spr	ma_004_hr_lm.spr	ma_004_hr_dm.spr	ma_004_hr_zz.spr	ma_004_hr_jp.spr	ma_004_hr_rs01.spr	ma_004_hr_rs01.spr	ma_004_hr_rs01.spr	ma_004_hr_rw.spr	ma_004_hr_rr.spr	ma_004_hr_ra01.spr	ma_004_hr_ra02.spr	ma_004_hr_rm.spr	ma_004_hr_rb.spr	ma_004_hr_rd.spr
helm05	ma_005_hr_es02.spr	ma_005_hr_es02.spr	ma_005_hr_es01.spr	ma_005_hr_ss02.spr	ma_005_hr_ss01.spr	ma_005_hr_ss01.spr	ma_005_hr_ls02.spr	ma_005_hr_ls01.spr	ma_005_hr_ls01.spr	ma_005_hr_ds02.spr	ma_005_hr_ds01.spr	ma_005_hr_ds01.spr	ma_005_hr_ew.spr	ma_005_hr_sw.spr	ma_005_hr_lw.spr	ma_005_hr_dw.spr	ma_005_hr_er.spr	ma_005_hr_sr.spr	ma_005_hr_lr.spr	ma_005_hr_dr.spr	ma_005_hr_eb.spr	ma_005_hr_sb.spr	ma_005_hr_lb.spr	ma_005_hr_db.spr	ma_005_hr_ed.spr	ma_005_hr_sd.spr	ma_005_hr_ld.spr	ma_005_hr_dd.spr	ma_005_hr_ea01.spr	ma_005_hr_ea02.spr	ma_005_hr_sa01.spr	ma_005_hr_sa02.spr	ma_005_hr_la01.spr	ma_005_hr_la02.spr	ma_005_hr_da01.spr	ma_005_hr_da02.spr	ma_005_hr_em.spr	ma_005_hr_sm.spr	ma_005_hr_lm.spr	ma_005_hr_dm.spr	ma_005_hr_zz.spr	ma_005_hr_jp.spr	ma_005_hr_rs01.spr	ma_005_hr_rs01.spr	ma_005_hr_rs01.spr	ma_005_hr_rw.spr	ma_005_hr_rr.spr	ma_005_hr_ra01.spr	ma_005_hr_ra02.spr	ma_005_hr_rm.spr	ma_005_hr_rb.spr	ma_005_hr_rd.spr
helm06	ma_006_hr_es02.spr	ma_006_hr_es02.spr	ma_006_hr_es01.spr	ma_006_hr_ss02.spr	ma_006_hr_ss01.spr	ma_006_hr_ss01.spr	ma_006_hr_ls02.spr	ma_006_hr_ls01.spr	ma_006_hr_ls01.spr	ma_006_hr_ds02.spr	ma_006_hr_ds01.spr	ma_006_hr_ds01.spr	ma_006_hr_ew.spr	ma_006_hr_sw.spr	ma_006_hr_lw.spr	ma_006_hr_dw.spr	ma_006_hr_er.spr	ma_006_hr_sr.spr	ma_006_hr_lr.spr	ma_006_hr_dr.spr	ma_006_hr_eb.spr	ma_006_hr_sb.spr	ma_006_hr_lb.spr	ma_006_hr_db.spr	ma_006_hr_ed.spr	ma_006_hr_sd.spr	ma_006_hr_ld.spr	ma_006_hr_dd.spr	ma_006_hr_ea01.spr	ma_006_hr_ea02.spr	ma_006_hr_sa01.spr	ma_006_hr_sa02.spr	ma_006_hr_la01.spr	ma_006_hr_la02.spr	ma_006_hr_da01.spr	ma_006_hr_da02.spr	ma_006_hr_em.spr	ma_006_hr_sm.spr	ma_006_hr_lm.spr	ma_006_hr_dm.spr	ma_006_hr_zz.spr	ma_006_hr_jp.spr	ma_006_hr_rs01.spr	ma_006_hr_rs01.spr	ma_006_hr_rs01.spr	ma_006_hr_rw.spr	ma_006_hr_rr.spr	ma_006_hr_ra01.spr	ma_006_hr_ra02.spr	ma_006_hr_rm.spr	ma_006_hr_rb.spr	ma_006_hr_rd.spr
helm07	ma_007_hr_es02.spr	ma_007_hr_es02.spr	ma_007_hr_es01.spr	ma_007_hr_ss02.spr	ma_007_hr_ss01.spr	ma_007_hr_ss01.spr	ma_007_hr_ls02.spr	ma_007_hr_ls01.spr	ma_007_hr_ls01.spr	ma_007_hr_ds02.spr	ma_007_hr_ds01.spr	ma_007_hr_ds01.spr	ma_007_hr_ew.spr	ma_007_hr_sw.spr	ma_007_hr_lw.spr	ma_007_hr_dw.spr	ma_007_hr_er.spr	ma_007_hr_sr.spr	ma_007_hr_lr.spr	ma_007_hr_dr.spr	ma_007_hr_eb.spr	ma_007_hr_sb.spr	ma_007_hr_lb.spr	ma_007_hr_db.spr	ma_007_hr_ed.spr	ma_007_hr_sd.spr	ma_007_hr_ld.spr	ma_007_hr_dd.spr	ma_007_hr_ea01.spr	ma_007_hr_ea02.spr	ma_007_hr_sa01.spr	ma_007_hr_sa02.spr	ma_007_hr_la01.spr	ma_007_hr_la02.spr	ma_007_hr_da01.spr	ma_007_hr_da02.spr	ma_007_hr_em.spr	ma_007_hr_sm.spr	ma_007_hr_lm.spr	ma_007_hr_dm.spr	ma_007_hr_zz.spr	ma_007_hr_jp.spr	ma_007_hr_rs01.spr	ma_007_hr_rs01.spr	ma_007_hr_rs01.spr	ma_007_hr_rw.spr	ma_007_hr_rr.spr	ma_007_hr_ra01.spr	ma_007_hr_ra02.spr	ma_007_hr_rm.spr	ma_007_hr_rb.spr	ma_007_hr_rd.spr
helm08	ma_008_hr_es02.spr	ma_008_hr_es02.spr	ma_008_hr_es01.spr	ma_008_hr_ss02.spr	ma_008_hr_ss01.spr	ma_008_hr_ss01.spr	ma_008_hr_ls02.spr	ma_008_hr_ls01.spr	ma_008_hr_ls01.spr	ma_008_hr_ds02.spr	ma_008_hr_ds01.spr	ma_008_hr_ds01.spr	ma_008_hr_ew.spr	ma_008_hr_sw.spr	ma_008_hr_lw.spr	ma_008_hr_dw.spr	ma_008_hr_er.spr	ma_008_hr_sr.spr	ma_008_hr_lr.spr	ma_008_hr_dr.spr	ma_008_hr_eb.spr	ma_008_hr_sb.spr	ma_008_hr_lb.spr	ma_008_hr_db.spr	ma_008_hr_ed.spr	ma_008_hr_sd.spr	ma_008_hr_ld.spr	ma_008_hr_dd.spr	ma_008_hr_ea01.spr	ma_008_hr_ea02.spr	ma_008_hr_sa01.spr	ma_008_hr_sa02.spr	ma_008_hr_la01.spr	ma_008_hr_la02.spr	ma_008_hr_da01.spr	ma_008_hr_da02.spr	ma_008_hr_em.spr	ma_008_hr_sm.spr	ma_008_hr_lm.spr	ma_008_hr_dm.spr	ma_008_hr_zz.spr	ma_008_hr_jp.spr	ma_008_hr_rs01.spr	ma_008_hr_rs01.spr	ma_008_hr_rs01.spr	ma_008_hr_rw.spr	ma_008_hr_rr.spr	ma_008_hr_ra01.spr	ma_008_hr_ra02.spr	ma_008_hr_rm.spr	ma_008_hr_rb.spr	ma_008_hr_rd.spr
helm09																																																				
