EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
horse00																																											ma_001_hb_rs01.spr	ma_001_hb_rs01.spr	ma_001_hb_rs01.spr	ma_001_hb_rw.spr	ma_001_hb_rr.spr	ma_001_hb_ra01.spr	ma_001_hb_ra02.spr	ma_001_hb_rm.spr	ma_001_hb_rb.spr	ma_001_hb_rd.spr
horse01																																											ma_001_hb_rs01.spr	ma_001_hb_rs01.spr	ma_001_hb_rs01.spr	ma_001_hb_rw.spr	ma_001_hb_rr.spr	ma_001_hb_ra01.spr	ma_001_hb_ra02.spr	ma_001_hb_rm.spr	ma_001_hb_rb.spr	ma_001_hb_rd.spr
horse02																																											ma_002_hb_rs01.spr	ma_002_hb_rs01.spr	ma_002_hb_rs01.spr	ma_002_hb_rw.spr	ma_002_hb_rr.spr	ma_002_hb_ra01.spr	ma_002_hb_ra02.spr	ma_002_hb_rm.spr	ma_002_hb_rb.spr	ma_002_hb_rd.spr
horse03																																											ma_003_hb_rs01.spr	ma_003_hb_rs01.spr	ma_003_hb_rs01.spr	ma_003_hb_rw.spr	ma_003_hb_rr.spr	ma_003_hb_ra01.spr	ma_003_hb_ra02.spr	ma_003_hb_rm.spr	ma_003_hb_rb.spr	ma_003_hb_rd.spr
horse04																																											ma_004_hb_rs01.spr	ma_004_hb_rs01.spr	ma_004_hb_rs01.spr	ma_004_hb_rw.spr	ma_004_hb_rr.spr	ma_004_hb_ra01.spr	ma_004_hb_ra02.spr	ma_004_hb_rm.spr	ma_004_hb_rb.spr	ma_004_hb_rd.spr
horse05																																											ma_005_hb_rs01.spr	ma_005_hb_rs01.spr	ma_005_hb_rs01.spr	ma_005_hb_rw.spr	ma_005_hb_rr.spr	ma_005_hb_ra01.spr	ma_005_hb_ra02.spr	ma_005_hb_rm.spr	ma_005_hb_rb.spr	ma_005_hb_rd.spr
horse06																																											ma_006_hb_rs01.spr	ma_006_hb_rs01.spr	ma_006_hb_rs01.spr	ma_006_hb_rw.spr	ma_006_hb_rr.spr	ma_006_hb_ra01.spr	ma_006_hb_ra02.spr	ma_006_hb_rm.spr	ma_006_hb_rb.spr	ma_006_hb_rd.spr
horse07																																											ma_007_hb_rs01.spr	ma_007_hb_rs01.spr	ma_007_hb_rs01.spr	ma_007_hb_rw.spr	ma_007_hb_rr.spr	ma_007_hb_ra01.spr	ma_007_hb_ra02.spr	ma_007_hb_rm.spr	ma_007_hb_rb.spr	ma_007_hb_rd.spr
horse08																																											ma_008_hb_rs01.spr	ma_008_hb_rs01.spr	ma_008_hb_rs01.spr	ma_008_hb_rw.spr	ma_008_hb_rr.spr	ma_008_hb_ra01.spr	ma_008_hb_ra02.spr	ma_008_hb_rm.spr	ma_008_hb_rb.spr	ma_008_hb_rd.spr
horse09																																											ma_009_hb_rs01.spr	ma_009_hb_rs01.spr	ma_009_hb_rs01.spr	ma_009_hb_rw.spr	ma_009_hb_rr.spr	ma_009_hb_ra01.spr	ma_009_hb_ra02.spr	ma_009_hb_rm.spr	ma_009_hb_rb.spr	ma_009_hb_rd.spr
horse10																																											ma_010_hb_rs01.spr	ma_010_hb_rs01.spr	ma_010_hb_rs01.spr	ma_010_hb_rw.spr	ma_010_hb_rr.spr	ma_010_hb_ra01.spr	ma_010_hb_ra02.spr	ma_010_hb_rm.spr	ma_010_hb_rb.spr	ma_010_hb_rd.spr
horse11																																											ma_011_hb_rs01.spr	ma_011_hb_rs01.spr	ma_011_hb_rs01.spr	ma_011_hb_rw.spr	ma_011_hb_rr.spr	ma_011_hb_ra01.spr	ma_011_hb_ra02.spr	ma_011_hb_rm.spr	ma_011_hb_rb.spr	ma_011_hb_rd.spr
horse12																																											ma_012_hb_rs01.spr	ma_012_hb_rs01.spr	ma_012_hb_rs01.spr	ma_012_hb_rw.spr	ma_012_hb_rr.spr	ma_012_hb_ra01.spr	ma_012_hb_ra02.spr	ma_012_hb_rm.spr	ma_012_hb_rb.spr	ma_012_hb_rd.spr
horse13																																																				
horse14																																																				
horse15																																																				
horse16																																																				
horse17																																																				
horse18																																																				
horse19																																																				
horse20																																											ma_021_hb_rs01.spr	ma_021_hb_rs01.spr	ma_021_hb_rs01.spr	ma_021_hb_rw01.spr	ma_021_hb_rr.spr	ma_021_hb_ra01.spr	ma_021_hb_ra02.spr	ma_021_hb_rm.spr	ma_021_hb_rb.spr	ma_021_hb_rd.spr
horse21																																											ma_021b_hb_rs01.spr	ma_021b_hb_rs01.spr	ma_021b_hb_rs01.spr	ma_021b_hb_rw01.spr	ma_021b_hb_rr.spr	ma_021b_hb_ra01.spr	ma_021b_hb_ra02.spr	ma_021b_hb_rm.spr	ma_021b_hb_rb.spr	ma_021b_hb_rd.spr
horse22																																											ma_022b_hb_rs01.spr	ma_022b_hb_rs01.spr	ma_022b_hb_rs01.spr	ma_022b_hb_rw.spr	ma_022b_hb_rr.spr	ma_022b_hb_ra01.spr	ma_022b_hb_ra02.spr	ma_022b_hb_rm.spr	ma_022b_hb_rb.spr	ma_022b_hb_rd.spr
horse23																																											ma_lanma_hb_rs.spr	ma_lanma_hb_rs.spr	ma_lanma_hb_rs.spr	ma_lanma_hb_rw.spr	ma_lanma_hb_rr.spr	ma_lanma_hb_ra01.spr	ma_lanma_hb_ra02.spr	ma_lanma_hb_rm.spr	ma_lanma_hb_rb.spr	ma_lanma_hb_rd.spr
horse24																																											ma_jinma_hb_rs.spr	ma_jinma_hb_rs.spr	ma_jinma_hb_rs.spr	ma_jinma_hb_rw.spr	ma_jinma_hb_rr.spr	ma_jinma_hb_ra01.spr	ma_jinma_hb_ra02.spr	ma_jinma_hb_rm.spr	ma_jinma_hb_rb.spr	ma_jinma_hb_rd.spr
horse25																																											ma_022_hb_rs01.spr	ma_022_hb_rs01.spr	ma_022_hb_rs01.spr	ma_022_hb_rw.spr	ma_022_hb_rr.spr	ma_022_hb_ra01.spr	ma_022_hb_ra02.spr	ma_022_hb_rm.spr	ma_022_hb_rb.spr	ma_022_hb_rd.spr
horse26																																											horse_32_hb_rs.spr	horse_32_hb_rs.spr	horse_32_hb_rs.spr	horse_32_hb_rw.spr	horse_32_hb_rr.spr	horse_32_hb_ra01.spr	horse_32_hb_ra02.spr	horse_32_hb_rm.spr	horse_32_hb_rb.spr	horse_32_hb_rd.spr
horse27																																											ma_xiong_hb_rs.spr	ma_xiong_hb_rs.spr	ma_xiong_hb_rs.spr	ma_xiong_hb_rw.spr	ma_xiong_hb_rr.spr	ma_xiong_hb_ra01.spr	ma_xiong_hb_ra02.spr	ma_xiong_hb_rm.spr	ma_xiong_hb_rb.spr	ma_xiong_hb_rd.spr
horse28																																											lanqilin_hb_rs01.spr	lanqilin_hb_rs01.spr	lanqilin_hb_rs01.spr	lanqilin_hb_rw.spr	lanqilin_hb_rr.spr	lanqilin_hb_ra01.spr	lanqilin_hb_ra02.spr	lanqilin_hb_rm.spr	lanqilin_hb_rb.spr	lanqilin_hb_rd.spr
horse29																																											huoqilin_hb_rs01.spr	huoqilin_hb_rs01.spr	huoqilin_hb_rs01.spr	huoqilin_hb_rw.spr	huoqilin_hb_rr.spr	huoqilin_hb_ra01.spr	huoqilin_hb_ra02.spr	huoqilin_hb_rm.spr	huoqilin_hb_rb.spr	huoqilin_hb_rd.spr
