ResId	ChangeColorScheme0	ChangeColorScheme1	ChangeColorScheme2	ChangeColorScheme3	ChangeColorScheme4	ChangeColorScheme5
0	0x000000	0x000000	0x000000	0x000000
1	0x000000	0x000000	0x326464	0x00FFFF
2	0x000000	0x000000	0x1B361D	0x0A9600
3	0x000000	0x000000	0x413219	0xFF8C00
4	0x000000	0x000000	0x14235A	0x000AF0
5	0x000000	0x000000	0x0A0A0A	0x649696
6	0x000000	0x000000	0x326464	0x00FFFF
7	0x000000	0x000000	0x1B361D	0x0A9600
8	0x000000	0x000000	0x413219	0xFF8C00
9	0x000000	0x000000	0x14235A	0x000AF0
10	0x000000	0x000000	0x0A0A0A	0x649696
11	0x000000	0x000000	0x326464	0x00FFFF
12	0x000000	0x000000	0x1B361D	0x0A9600
13	0x000000	0x000000	0x413219	0xFF8C00
14	0x000000	0x000000	0x14235A	0x000AF0
15	0x000000	0x000000	0x0A0A0A	0x649696
16	0x000000	0x000000	0x326464	0x00FFFF
17	0x000000	0x000000	0x1B361D	0x0A9600
18	0x000000	0x000000	0x413219	0xFF8C00
19	0x000000	0x000000	0x14235A	0x000AF0
20	0x000000	0x000000	0x0A0A0A	0x649696
