EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
kongshou	ma_000_rw_es02.spr	ma_000_rw_es02.spr	ma_000_rw_es01.spr										ma_000_rw_ew.spr				ma_000_rw_er.spr				ma_000_rw_eb.spr				ma_000_rw_ed.spr				ma_000_rw_ea01.spr	ma_000_rw_ea02.spr							ma_000_rw_em.spr				ma_000_rw_zz.spr	ma_000_rw_jp.spr	ma_000_rw_rs01.spr	ma_000_rw_rs01.spr	ma_000_rw_rs01.spr	ma_000_rw_rw.spr	ma_000_rw_rr.spr	ma_000_rw_ra01.spr	ma_000_rw_ra02.spr	ma_000_rw_rm.spr	ma_000_rw_rb.spr	ma_000_rw_rd.spr
danshoujian01	ma_000_rw_es02.spr	ma_000_rw_es02.spr	ma_000_rw_es01.spr	ma_001_rw_ss02.spr	ma_001_rw_ss01.spr	ma_001_rw_ss01.spr							ma_000_rw_ew.spr	ma_001_rw_sw.spr			ma_000_rw_er.spr	ma_001_rw_sr.spr			ma_000_rw_eb.spr	ma_001_rw_sb.spr			ma_000_rw_ed.spr	ma_001_rw_sd.spr			ma_000_rw_ea01.spr	ma_000_rw_ea02.spr	ma_001_rw_sa01.spr	ma_001_rw_sa02.spr					ma_000_rw_em.spr	ma_001_rw_sm.spr			ma_000_rw_zz.spr	ma_000_rw_jp.spr	ma_001_rw_rs01.spr	ma_001_rw_rs01.spr	ma_001_rw_rs01.spr	ma_001_rw_rw.spr	ma_001_rw_rr.spr	ma_001_rw_ra01.spr	ma_001_rw_ra02.spr	ma_001_rw_rm.spr	ma_001_rw_rb.spr	ma_001_rw_rd.spr
danshoujian02	ma_000_rw_es02.spr	ma_000_rw_es02.spr	ma_000_rw_es01.spr	ma_002_rw_ss02.spr	ma_002_rw_ss01.spr	ma_002_rw_ss01.spr							ma_000_rw_ew.spr	ma_002_rw_sw.spr			ma_000_rw_er.spr	ma_002_rw_sr.spr			ma_000_rw_eb.spr	ma_002_rw_sb.spr			ma_000_rw_ed.spr	ma_002_rw_sd.spr			ma_000_rw_ea01.spr	ma_000_rw_ea02.spr	ma_002_rw_sa01.spr	ma_002_rw_sa02.spr					ma_000_rw_em.spr	ma_002_rw_sm.spr			ma_000_rw_zz.spr	ma_000_rw_jp.spr	ma_002_rw_rs01.spr	ma_002_rw_rs01.spr	ma_002_rw_rs01.spr	ma_002_rw_rw.spr	ma_002_rw_rr.spr	ma_002_rw_ra01.spr	ma_002_rw_ra02.spr	ma_002_rw_rm.spr	ma_002_rw_rb.spr	ma_002_rw_rd.spr
danshoujian03	ma_000_rw_es02.spr	ma_000_rw_es02.spr	ma_000_rw_es01.spr	ma_003_rw_ss02.spr	ma_003_rw_ss01.spr	ma_003_rw_ss01.spr							ma_000_rw_ew.spr	ma_003_rw_sw.spr			ma_000_rw_er.spr	ma_003_rw_sr.spr			ma_000_rw_eb.spr	ma_003_rw_sb.spr			ma_000_rw_ed.spr	ma_003_rw_sd.spr			ma_000_rw_ea01.spr	ma_000_rw_ea02.spr	ma_003_rw_sa01.spr	ma_003_rw_sa02.spr					ma_000_rw_em.spr	ma_003_rw_sm.spr			ma_000_rw_zz.spr	ma_000_rw_jp.spr	ma_003_rw_rs01.spr	ma_003_rw_rs01.spr	ma_003_rw_rs01.spr	ma_003_rw_rw.spr	ma_003_rw_rr.spr	ma_003_rw_ra01.spr	ma_003_rw_ra02.spr	ma_003_rw_rm.spr	ma_003_rw_rb.spr	ma_003_rw_rd.spr
danshoujian04	ma_000_rw_es02.spr	ma_000_rw_es02.spr	ma_000_rw_es01.spr	ma_004_rw_ss02.spr	ma_004_rw_ss01.spr	ma_004_rw_ss01.spr							ma_000_rw_ew.spr	ma_004_rw_sw.spr			ma_000_rw_er.spr	ma_004_rw_sr.spr			ma_000_rw_eb.spr	ma_004_rw_sb.spr			ma_000_rw_ed.spr	ma_004_rw_sd.spr			ma_000_rw_ea01.spr	ma_000_rw_ea02.spr	ma_004_rw_sa01.spr	ma_004_rw_sa02.spr					ma_000_rw_em.spr	ma_004_rw_sm.spr			ma_000_rw_zz.spr	ma_000_rw_jp.spr	ma_004_rw_rs01.spr	ma_004_rw_rs01.spr	ma_004_rw_rs01.spr	ma_004_rw_rw.spr	ma_004_rw_rr.spr	ma_004_rw_ra01.spr	ma_004_rw_ra02.spr	ma_004_rw_rm.spr	ma_004_rw_rb.spr	ma_004_rw_rd.spr
danshoujian05	ma_000_rw_es02.spr	ma_000_rw_es02.spr	ma_000_rw_es01.spr	ma_005_rw_ss02.spr	ma_005_rw_ss01.spr	ma_005_rw_ss01.spr							ma_000_rw_ew.spr	ma_005_rw_sw.spr			ma_000_rw_er.spr	ma_005_rw_sr.spr			ma_000_rw_eb.spr	ma_005_rw_sb.spr			ma_000_rw_ed.spr	ma_005_rw_sd.spr			ma_000_rw_ea01.spr	ma_000_rw_ea02.spr	ma_005_rw_sa01.spr	ma_005_rw_sa02.spr					ma_000_rw_em.spr	ma_005_rw_sm.spr			ma_000_rw_zz.spr	ma_000_rw_jp.spr	ma_005_rw_rs01.spr	ma_005_rw_rs01.spr	ma_005_rw_rs01.spr	ma_005_rw_rw.spr	ma_005_rw_rr.spr	ma_005_rw_ra01.spr	ma_005_rw_ra02.spr	ma_005_rw_rm.spr	ma_005_rw_rb.spr	ma_005_rw_rd.spr
danshoujian06	ma_000_rw_es02.spr	ma_000_rw_es02.spr	ma_000_rw_es01.spr	ma_006_rw_ss02.spr	ma_006_rw_ss01.spr	ma_006_rw_ss01.spr							ma_000_rw_ew.spr	ma_006_rw_sw.spr			ma_000_rw_er.spr	ma_006_rw_sr.spr			ma_000_rw_eb.spr	ma_006_rw_sb.spr			ma_000_rw_ed.spr	ma_006_rw_sd.spr			ma_000_rw_ea01.spr	ma_000_rw_ea02.spr	ma_006_rw_sa01.spr	ma_006_rw_sa02.spr					ma_000_rw_em.spr	ma_006_rw_sm.spr			ma_000_rw_zz.spr	ma_000_rw_jp.spr	ma_006_rw_rs01.spr	ma_006_rw_rs01.spr	ma_006_rw_rs01.spr	ma_006_rw_rw.spr	ma_006_rw_rr.spr	ma_006_rw_ra01.spr	ma_006_rw_ra02.spr	ma_006_rw_rm.spr	ma_006_rw_rb.spr	ma_006_rw_rd.spr
danshoudao01	ma_000_rw_es02.spr	ma_000_rw_es02.spr	ma_000_rw_es01.spr	ma_007_rw_ss02.spr	ma_007_rw_ss01.spr	ma_007_rw_ss01.spr							ma_000_rw_ew.spr	ma_007_rw_sw.spr			ma_000_rw_er.spr	ma_007_rw_sr.spr			ma_000_rw_eb.spr	ma_007_rw_sb.spr			ma_000_rw_ed.spr	ma_007_rw_sd.spr			ma_000_rw_ea01.spr	ma_000_rw_ea02.spr	ma_007_rw_sa01.spr	ma_007_rw_sa02.spr					ma_000_rw_em.spr	ma_007_rw_sm.spr			ma_000_rw_zz.spr	ma_000_rw_jp.spr	ma_007_rw_rs01.spr	ma_007_rw_rs01.spr	ma_007_rw_rs01.spr	ma_007_rw_rw.spr	ma_007_rw_rr.spr	ma_007_rw_ra01.spr	ma_007_rw_ra02.spr	ma_007_rw_rm.spr	ma_007_rw_rb.spr	ma_007_rw_rd.spr
danshoudao02	ma_000_rw_es02.spr	ma_000_rw_es02.spr	ma_000_rw_es01.spr	ma_008_rw_ss02.spr	ma_008_rw_ss01.spr	ma_008_rw_ss01.spr							ma_000_rw_ew.spr	ma_008_rw_sw.spr			ma_000_rw_er.spr	ma_008_rw_sr.spr			ma_000_rw_eb.spr	ma_008_rw_sb.spr			ma_000_rw_ed.spr	ma_008_rw_sd.spr			ma_000_rw_ea01.spr	ma_000_rw_ea02.spr	ma_008_rw_sa01.spr	ma_008_rw_sa02.spr					ma_000_rw_em.spr	ma_008_rw_sm.spr			ma_000_rw_zz.spr	ma_000_rw_jp.spr	ma_008_rw_rs01.spr	ma_008_rw_rs01.spr	ma_008_rw_rs01.spr	ma_008_rw_rw.spr	ma_008_rw_rr.spr	ma_008_rw_ra01.spr	ma_008_rw_ra02.spr	ma_008_rw_rm.spr	ma_008_rw_rb.spr	ma_008_rw_rd.spr
danshoudao03	ma_000_rw_es02.spr	ma_000_rw_es02.spr	ma_000_rw_es01.spr	ma_009_rw_ss02.spr	ma_009_rw_ss01.spr	ma_009_rw_ss01.spr							ma_000_rw_ew.spr	ma_009_rw_sw.spr			ma_000_rw_er.spr	ma_009_rw_sr.spr			ma_000_rw_eb.spr	ma_009_rw_sb.spr			ma_000_rw_ed.spr	ma_009_rw_sd.spr			ma_000_rw_ea01.spr	ma_000_rw_ea02.spr	ma_009_rw_sa01.spr	ma_009_rw_sa02.spr					ma_000_rw_em.spr	ma_009_rw_sm.spr			ma_000_rw_zz.spr	ma_000_rw_jp.spr	ma_009_rw_rs01.spr	ma_009_rw_rs01.spr	ma_009_rw_rs01.spr	ma_009_rw_rw.spr	ma_009_rw_rr.spr	ma_009_rw_ra01.spr	ma_009_rw_ra02.spr	ma_009_rw_rm.spr	ma_009_rw_rb.spr	ma_009_rw_rd.spr
