EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
kongshou	80,8,1	80,8,1	80,8,1										96,8,1				128,8,1				64,8,1				80,8,1				88,8,1	64,8,1							80,8,1				88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoujian01	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoujian02	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoujian03	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoujian04	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoujian05	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoujian06	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoudao01	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoudao02	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoudao03	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoudao04	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoudao05	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
danshoudao06	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1	80,8,1							96,8,1	96,8,1			128,8,1	128,8,1			64,8,1	64,8,1			80,8,1	80,8,1			88,8,1	64,8,1	112,8,1	104,8,1					80,8,1	80,8,1			88,8,1	112,8,1	96,8,1	96,8,1	96,8,1	96,8,1	80,8,1	96,8,1	112,8,1	96,8,1	48,8,1	120,8,1
