ActionName	MainMan	MainLady
FreeNormalStand		
FreeSpecialStand		
FreeFightStand		
MeleeWNormalStand		
MeleeWSpecialStand		
MeleeWFightStand		
RangeWNormalStand		
RangeWSpecialStand		
RangeWFightStand		
DoubleWNormalStand		
DoubleWSpecialStand		
DoubleWFightStand		
FreeWalk	sm001.wav	sm001.wav
MeleeWWalk	sm001.wav	sm001.wav
RangeWWalk	sm001.wav	sm001.wav
DoubleWWalk	sm001.wav	sm001.wav
FreeRun	sm002.wav	sm002.wav
MeleeWRun	sm002.wav	sm002.wav
RangeWRun	sm002.wav	sm002.wav
DoubleWRun	sm002.wav	sm002.wav
FreeWound	sv003.wav	sv010.wav
MeleeWWound	sv004.wav	sv011.wav
RangeWWound	sv005.wav	sv012.wav
DoubleWWound	sv003.wav	sv010.wav
FreeDie	sv006.wav	sv013.wav
MeleeWDie	sv006.wav	sv013.wav
RangeWDie	sv006.wav	sv013.wav
DoubleWDie	sv006.wav	sv013.wav
FreeAttack	sb008.wav	sb008.wav
DartThrow	sb009.wav	sb009.wav
MeleeWPuncture	sb002.wav	sb002.wav
MeleeWCut	sb001.wav	sb001.wav
RangeWPuncture	sb003.wav	sb003.wav
RangeWCut	sb005.wav	sb005.wav
DoubleWPull	sb007.wav	sb007.wav
DoubleWPound	sb006.wav	sb006.wav
FreeMagic		
MeleeWMagic		
RangeWMagic		
DoubleWMagic		
SitDown		
JumpFly	sm005.wav	sm005.wav
RideNormalStand		
RideSepcialStand		
RideFightStand		
RideWalk	sm003.wav	sm003.wav
RideRun	sm004.wav	sm004.wav
RidePuncture	sb004.wav	sb004.wav
RideCut	sb003.wav	sb003.wav
RideMagic		
RideWound	sv003.wav	sv010.wav
RideDie	sv006.wav	sv013.wav
