EqType	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
kongshou	FreeFightStand	FreeNormalStand	FreeSpecialStand	FreeWalk	FreeWalk	FreeRun	FreeRun	FreeWound	FreeDie	FreeAttack	FreeAttack	FreeMagic	SitDown	JumpFly
danshoujian01	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoujian02	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoujian03	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoujian04	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoujian05	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoujian06	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoudao01	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoudao02	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoudao03	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoudao04	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoudao05	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoudao06	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
changqiang01	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changqiang02	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changqiang03	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changqiang04	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changqiang05	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changqiang06	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changgun01	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changgun02	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changgun03	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changgun04	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changgun05	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
changgun06	RangeWFightStand	RangeWNormalStand	RangeWNormalStand	RangeWWalk	RangeWWalk	RangeWRun	RangeWRun	RangeWWound	RangeWDie	RangeWPuncture	RangeWCut	RangeWMagic	SitDown	JumpFly
shuangchui01	DoubleWFightStand	DoubleWNormalStand	DoubleWNormalStand	DoubleWWalk	DoubleWWalk	DoubleWRun	DoubleWRun	DoubleWWound	DoubleWDie	DoubleWPound	DoubleWPull	DoubleWMagic	SitDown	JumpFly
shuangchui02	DoubleWFightStand	DoubleWNormalStand	DoubleWNormalStand	DoubleWWalk	DoubleWWalk	DoubleWRun	DoubleWRun	DoubleWWound	DoubleWDie	DoubleWPound	DoubleWPull	DoubleWMagic	SitDown	JumpFly
shuangchui03	DoubleWFightStand	DoubleWNormalStand	DoubleWNormalStand	DoubleWWalk	DoubleWWalk	DoubleWRun	DoubleWRun	DoubleWWound	DoubleWDie	DoubleWPound	DoubleWPull	DoubleWMagic	SitDown	JumpFly
shuangchui04	DoubleWFightStand	DoubleWNormalStand	DoubleWNormalStand	DoubleWWalk	DoubleWWalk	DoubleWRun	DoubleWRun	DoubleWWound	DoubleWDie	DoubleWPound	DoubleWPull	DoubleWMagic	SitDown	JumpFly
shuangchui05	DoubleWFightStand	DoubleWNormalStand	DoubleWNormalStand	DoubleWWalk	DoubleWWalk	DoubleWRun	DoubleWRun	DoubleWWound	DoubleWDie	DoubleWPound	DoubleWPull	DoubleWMagic	SitDown	JumpFly
shuangchui06	DoubleWFightStand	DoubleWNormalStand	DoubleWNormalStand	DoubleWWalk	DoubleWWalk	DoubleWRun	DoubleWRun	DoubleWWound	DoubleWDie	DoubleWPound	DoubleWPull	DoubleWMagic	SitDown	JumpFly
chanshou	FreeFightStand	FreeNormalStand	FreeNormalStand	FreeWalk	FreeWalk	FreeRun	FreeRun	FreeWound	FreeDie	FreeAttack	FreeAttack	FreeMagic	SitDown	JumpFly
anqi	FreeFightStand	FreeNormalStand	FreeNormalStand	FreeWalk	FreeWalk	FreeRun	FreeRun	FreeWound	FreeDie	DartThrow	DartThrow	FreeMagic	SitDown	JumpFly
Null	FreeStand3	FreeStand2	FreeStand1	FreeWalk	NormalWalk	FreeRun	NormalRun	FreeWound	FreeDie	FreeAttack	FreeAttack	FreeMagic	SitDown	JumpFly
meigui01	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
meigui02	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoujian07	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoujian08	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
danshoudao07	MeleeWFightStand	MeleeWNormalStand	MeleeWNormalStand	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWPuncture	MeleeWCut	MeleeWMagic	SitDown	JumpFly
