Kind	Name	FactionId	RouteId	Skill10	Skill20	Skill30	Skill40	Skill50	Skill60	Skill70	Skill80	Skill90	Skill100	Skill110	LeftSkill	RightSkill
Cấp (69,89,109)	Tên	Id môn phái	Id hướng	Kỹ năng cấp 10 (trị số 20/4 biểu thị  kỹ năng cấp 20  4 biểu thị phím tắt là 4)	Kỹ năng cấp 20	Kỹ năng cấp 30	Kỹ năng cấp 40	Kỹ năng cấp 50	Kỹ năng cấp 60	Kỹ năng cấp 70	Kỹ năng cấp 80	Kỹ năng cấp 90	Kỹ năng cấp 100	Kỹ năng cấp 110	Phím tắt trái (trị số 50 biểu thị phím tắt trái kỹ năng cấp 50 môn phái tương ứng Điền 0 không bỏ vào Giống phím tắt phải)	Phím tắt phải
89	Đao Thiếu Lâm	1	1	20|4	10	10	20|6	20|3	10	20|5	10	0	0	0	50	-1
89	Côn Thiếu Lâm	1	2	20|4	10	10|5	20|6	20|3	10	20	10	0	0	0	50	-1
89	Thương Thiên Vương	2	1	20|4	10	10|6	20	20|3	10	20|5	10	0	0	0	50	-1
89	Chùy Thiên Vương	2	2	20|4	10	10|6	20	20|3	10	20|5	10	0	0	0	50	-1
89	Hãm Tĩnh Đường Môn	3	1	20|4	10	10|6	20	20|3	10	20|5	10	0	0	0	50	-1
89	Tụ Tiễn Đường Môn	3	2	20|4	10	10|5	20|7	20|3	10|6	20	10	0	0	0	50	-1
89	Đao Ngũ Độc	4	1	20|4	10	10|6	20	20|3	10|5	20|7	10	0	0	0	50	-1
89	Chưởng Ngũ Độc	4	2	20|4	10	10	20	20|3	10	20|5	10	0	0	0	50	-1
89	Chưởng Nga My	5	1	20|4	10	10	20	20|3	10	20	10	0	0	0	50	-1
89	Phụ Trợ Nga My	5	2	20|3	10	10|4	20	20|7	10|5	20|6	10	0	0	0	10	-1
89	Kiếm Thúy Yên	6	1	20|4	10	10	20|5	20|3	10	20	10	0	0	0	50	-1
89	Đao Thúy Yên	6	2	20|4	10	10|6	20|5	20|3	10	20	10	0	0	0	50	-1
89	Chưởng Cái Bang	7	1	20|4	10	10	20|5	20|3	10|6	20	10	0	0	0	50	-1
89	Côn Cái Bang	7	2	20|4	10	10	20|6	20|3	10|5	20	10	0	0	0	50	-1
89	Chiến Nhẫn	8	1	20|4	10	10	20	20|3	10	20|5	10	0	0	0	50	-1
89	Ma Nhẫn	8	2	20|4	10	10|5	20	20|3	10|7	20|6	10	0	0	0	50	-1
