Name	Value	Desc
IVER_bOpenPlayerCallBack	1	Tắt/mở người chơi cũ trở về
IVER_bOpenBaiBaoXiang	1	Mở Bách Bảo Rương
IVER_nWellFareCoinExChange	1	Tỷ lệ đối thoại phúc lợi
IVER_bOpenNewPlayerGift	1	Túi Tân Thủ
IVER_bOpenFuFaiVip	0	Số lần mở túi phúc Vip ngoài định mức
IVER_nKinRetireLimit	20	Số thành viên gia tộc vinh dự nhiều nhất
IVER_nXoyoGameCount	2	Số lần mỗi ngày tham gia Tiêu Dao Cốc
IVER_nXoyoGameTaskAwardType	1	Hình thức thưởng khi thu thập thẻ Tiêu Dao Cốc
IVER_nBaiHuTangCount	1	Số lần mỗi ngày tham gia Bạch Hổ Đường
IVER_bOpenChongZhiHuoDong	1	Hoạt động nạp thẻ
IVER_bOpenOnLineExp	0	Ủy thác
IVER_nFourfoldMapLevel	90	Cấp thấp nhất vào Bí Cảnh (x4)
IVER_nFourfoldMapMaxTime	10	Thời gian tích lũy nhiều nhất
IVER_nFourfoldMapPreTime	2	Thời gian tích lũy mỗi ngày
IVER_nXiulindanMaxUse	3	Số lần sửa dụng Tu Luyện Đơn nhiều nhất
IVER_bGuessGame	0	灯谜活动每周全开开关，1为全开(中午12:30);0为1，3，4开放(晚上8:30)
IVER_nXoyoGameDateType	1	逍遥谷开放时间类型（帮助锦囊使用）
IVER_nPartOpen	1	Tắt/mở đồng hành
IVER_bOpenPartner	1	Tắt/mở hoạt động đồng hành
IVER_bOpenYoulongmibao	1	Tắt/mở Du Long Mật Bảo
IVER_bOpenRecommendServer	1	Tắt/mở tiến cử giải thưởng
IVER_bOpenChangeBack	0	Tắt/mở đổi vỏ sò
IVER_bOpenIpHandle	1	Tắt/mở hiển thị cảnh báo ip
IVER_bOpenZaiXian	1	在线领奖-总开关
IVER_bOpenMarry	1	Tắt/Mở bắt đầu kết hôn
IVER_bUseFactionMax	4	Tối đa tu được bao nhiêu môn phái
IVER_bOpenZaiXian1	1	Lãnh thưởng Online-đăng nhập mỗi ngày
IVER_bOpenZaiXian2	1	Lãnh thưởng Online-tích lũy đăng nhập
IVER_bOpenZaiXian3	1	Lãnh thưởng Online-tích lũy online
IVER_bOpenZaiXian4	0	Lãnh thưởng Online-thưởng thăng cấp
IVER_bOpenAwardOnLine	0	Mở phần thưởng tích lũy online
IVER_bOpenOrgNewPlayerAward	0	Mở cơ chế cũ về phần thưởng tân thủ
IVER_bOpenBaiLimit	1	Mở giới hạn gia tộc Bạch Hổ-sơ
IVER_bOpenBaiMerchantLimit	0	Hạn chế mở lệnh bài thương hội Bạch Hổ Đường
IVER_nSecFactionDay	4	Thời gian thi đấu môn phái lần 2 trong tuần
IVER_bOpenMutiOpenSys	20100901	Mở/đóng giới hạn mở nhiều client trong server mới
