TaskId	TaskName	StepDesc	TaskType	Diff	Genre	Detail	Particular	Level	Series	Num	ItemName	Suffix	Step01	Step02	Step03	LevelFlag	StartDay	AwardExp	AwardMoney	NeedTime
Số nhiệm vụ	Tên nhiệm vụ	Miêu tả tìm đường	Loại nhiệm vụ	Độ khó (miêu tả)	Loại lớn	Phân loại	Loại nhỏ	Cấp	Ngũ hành	Số lượng	Tên vật phẩm	Tên hậu tố	Bước 1-9	Bước 10	Bước 100	Đạt cấp 60	Sau khi mở server	Nhận được kinh nghiệm	Nhận được bạc (không khóa)	Thời gian cần (giây)
1	Thu thập 3 Lệnh Bài Nghĩa Quân	Hoàn thành nhiệm vụ Bao Vạn Đồng 10 lần liên tiếp sẽ nhận được Lệnh Bài Nghĩa Quân	GiveItem	1	18	1	84	1		3	Lệnh Bài Nghĩa Quân		1000	0	0	0	0	0.6	0	300
2	Thu thập 1 Lệnh bài Bạch Hổ Đường (sơ)	Thủ lĩnh Bạch Hổ Đường 1, 2, 3 đánh rơi Lệnh Bài Bạch Hổ Đường	GiveItem	1	18	1	111	1		1	Lệnh Bài Bạch Hổ Đường (sơ)		3000	0	0	0	0	0.6	0	300
3	Thu thập 1 Lệnh Bài Gia Tộc (sơ)	Có thể mở Lệnh Bài Gia Tộc trong rương quý Mã Xuyên Sơn (đến Mã Xuyên Sơn dùng 100 Đồng tiền cổ nhận được từ Ải Gia Tộc để đổi lấy lệnh bài)	GiveItem	1	18	1	110	1		1	Lệnh Bài Gia Tộc (sơ)		0	5000	0	0	0	0.6	0	300
4	Thu thập 1 Lệnh Bài Thi Đấu Môn Phái (sơ)	Có thể mở Lệnh Bài Thi Đấu Môn Phái trong Rương thi đấu môn phái (thời gian mở thi đấu môn phái là thứ 3 và thứ 6 lúc 7 giờ tối)	GiveItem	2	18	1	81	1		1	Lệnh bài thi đấu môn phái (sơ)		0	5000	0	0	0	0.6	0	300
5	Thu thập 1 Lệnh Bài Đại Tướng Tống Kim	Đánh bại người chơi hoặc NPC Đại Tướng ở Chiến Trường Tống Kim sẽ có tỷ lệ nhận lệnh bài nhất định (thời gian mở Chiến Trường Tống Kim có thể xem trong cẩm nang trợ giúp F12)	GiveItem	2	18	1	289	1		1	Lệnh Bài Đại Tướng Chiến Trường Tống Kim		0	0	0	0	0	0.6	0	1200
6	Thu thập 2 Lệnh Bài Phó Tướng Tống Kim	Đánh bại người chơi hoặc NPC Phó Tướng ở Chiến Trường Tống Kim sẽ có tỷ lệ nhận lệnh bài nhất định (thời gian mở Chiến Trường Tống Kim có thể xem trong cẩm nang trợ giúp F12)	GiveItem	1	18	1	289	2		2	Lệnh Bài Phó Tướng Chiến Trường Tống Kim		2000	0	0	0	0	0.6	0	900
7	Thu thập 3 Lệnh Bài Thống Lĩnh Tống Kim	Đánh bại người chơi hoặc NPC Thống Lĩnh ở Chiến Trường Tống Kim sẽ có tỷ lệ nhận lệnh bài nhất định (thời gian mở Chiến Trường Tống Kim có thể xem trong cẩm nang trợ giúp F12)	GiveItem	1	18	1	289	3		3	Lệnh Bài Thống Lĩnh Chiến Trường Tống Kim		5000	0	0	0	0	0.6	0	600
8	Thu thập 3 Lệnh Bài Bạch Hổ Đường 3	NPC Thường của Bạch Hổ Đường 3 có tỷ lệ nhận lệnh bài nhất định	GiveItem	2	18	1	289	4		3	Lệnh Bài Bạch Hổ Đường 3		0	0	0	0	0	0.6	0	1200
9	Thu thập 3 Lệnh Bài Bạch Hổ Đường 2	NPC Thường của Bạch Hổ Đường 2 có tỷ lệ nhận lệnh bài nhất định	GiveItem	1	18	1	289	5		3	Lệnh Bài Bạch Hổ Đường 2		2000	0	0	0	0	0.6	0	900
10	Thu thập 3 Lệnh Bài Bạch Hổ Đường 1	NPC Thường của Bạch Hổ Đường 1 có tỷ lệ nhận lệnh bài nhất định	GiveItem	1	18	1	289	6		3	Lệnh Bài Bạch Hổ Đường 1		5000	0	0	0	0	0.6	0	600
11	Thu thập 1 Lệnh Bài Tiêu Diêu Cốc cấp 5	Trong phòng Tiêu Diêu Cốc cấp 5 có tỷ lệ nhận lệnh bài nhất định (có thể giao dịch)	GiveItem	2	18	1	289	7		1	Lệnh bài Tiêu Dao cấp 5		0	3000	0	0	60	0.6	0	1200
12	Thu thập 1 Lệnh Bài Tiêu Diêu Cốc cấp 4	Trong phòng Tiêu Diêu Cốc cấp 4 có tỷ lệ nhận lệnh bài nhất định (có thể giao dịch)	GiveItem	2	18	1	289	8		1	Lệnh bài Tiêu Dao cấp 4		2000	5000	0	0	60	0.6	0	900
13	Thu thập 2 Lệnh Bài Tiêu Diêu Cốc cấp 3	Trong phòng Tiêu Diêu Cốc cấp 3 có tỷ lệ nhận lệnh bài nhất định (có thể giao dịch)	GiveItem	1	18	1	289	9		2	Lệnh bài Tiêu Dao cấp 3		4000	0	0	0	60	0.6	0	600
14	Thu thập 2 Lệnh Bài Tiêu Diêu cấp 2	Trong phòng Tiêu Diêu Cốc cấp 2 có tỷ lệ nhận lệnh bài nhất định (có thể giao dịch)	GiveItem	1	18	1	289	10		2	Lệnh bài Tiêu Dao cấp 2		5000	0	0	0	60	0.6	0	600
15	Thu thập 10 Danh Bổ Lệnh	hoàn thành Nhiệm vụ truy nã có thể nhận được Danh Bổ Lệnh (nhận Nhiệm vụ truy nã từ Bổ Đầu Hình Bộ ở các thành thị lớn)	GiveItem	1	18	1	190	1		10	Danh Bổ Lệnh		5000	0	0	0	0	0.6	0	300
