TaskId	TaskName	TaskType	Diff	Genre	Detail	Particular	Level	Series	Num	ItemName	Suffix	Step01	Step02	Step03	LevelFlag	AwardExp	NeedTime
Số nhiệm vụ	Tên nhiệm vụ	Loại nhiệm vụ	Độ khó	Loại lớn	Phân loại	Loại nhỏ	Cấp	Ngũ hành	Số lượng	Tên vật phẩm	Tên hậu tố	Bước 1-9	Bước 10	Bước 100	Đạt cấp 60	Nhận được kinh nghiệm	Thời gian cần (giây)
1	Đến Thương Nhân Đặc Sản Tương Dương mua 1 Bạch Vân Bôi	GiveItem	1	18	1	121	1		1	Bạch Vân Bôi		1000	0	0	0	0.6	30
2	Đến Thương Nhân Đặc Sản Thành Đô mua 1 Thanh Từ Đảo Trang Hồ	GiveItem	1	18	1	122	1		1	Thanh Từ Đảo Trang Hồ		1000	0	0	0	0.6	30
3	Đến Thương Nhân Đặc Sản Dương Châu mua 1 Thanh Hoa Bạch Từ Bình	GiveItem	1	18	1	124	1		1	Thanh Hoa Bạch Từ Bình		1000	0	0	0	0.6	30
4	Đến Thương Nhân Đặc Sản Lâm An mua 1 Thanh Đồng Bôi	GiveItem	1	18	1	125	1		1	Thanh Đồng Bôi		1000	0	0	0	0.6	30
5	Đến Thương Nhân Đặc Sản Biện Kinh mua 1 Bạch Dụ Hồ	GiveItem	1	18	1	119	1		1	Bạch Dụ Hồ		1000	0	0	0	0.6	30
6	Đến Thương Nhân Đặc Sản Phượng Tường mua 1 Dụ Hồng Chuyển Bôi 	GiveItem	1	18	1	120	1		1	Dụ Hồng Chuyển Bôi		1000	0	0	0	0.6	30
7	Đến Thương Nhân Đặc Sản Đại Lý mua 1 Mặt nạ Lôi Trì	GiveItem	1	18	1	123	1		1	Mặt nạ Lôi Trì		1000	0	0	0	0.6	30
8	Đến Thương Nhân Đặc Sản Giang Tân mua 1 Xuyến Xuyến Hương	GiveItem	2	18	1	130	1		1	Xuyên Xuyên Hương		500	0	0	0	0.6	45
9	Đến Thương Nhân Đặc Sản Long Tuyền mua 1 Chú Kiếm Chùy	GiveItem	2	18	1	132	1		1	Chú Kiếm Chùy		500	0	0	0	0.6	45
10	Đến Thương Nhân Đặc Sản Đạo Hương mua 1 Dung Trạch Cốc	GiveItem	2	18	1	129	1		1	Dung Trạch Cốc		500	0	0	0	0.6	45
11	Đến Thương Nhân Đặc Sản Ba Lăng mua 1 Thanh Chưng Lô Ngư	GiveItem	2	18	1	131	1		1	Thanh Chưng Lô Ngư		500	0	0	0	0.6	45
12	Đến Thương Nhân Đặc Sản Vĩnh Lạc mua 1 Ngọc Như Ý	GiveItem	2	18	1	128	1		1	Ngọc Như Ý		500	0	0	0	0.6	45
13	Đến Thương Nhân Đặc Sản Vân Trung mua 1 Nhuyễn Sí Điệp Tranh	GiveItem	2	18	1	127	1		1	Nhuyễn Sí Điệp Tranh		500	0	0	0	0.6	45
14	Đến Thương Nhân Đặc Sản Thạch Cổ mua 1 Thần Bí Long Cốt	GiveItem	2	18	1	133	1		1	Thần Bí Long Cốt		500	0	0	0	0.6	45
15	Đến Thương Nhân Đặc Sản Long Môn mua 1 Long Văn Bích	GiveItem	2	18	1	126	1		1	Long Văn Bích		500	0	0	0	0.6	45
