TaskId	TaskName	StepDesc	TaskType	Diff	NpcName	MapId	NpcId	Step01	Step02	Step03	LevelFlag	AwardExp	NeedTime
Số nhiệm vụ	Tên nhiệm vụ	Miêu tả tìm đường	Loại nhiệm vụ	Độ khó	Tên npc đưa thư	Bản đồ Id của Npc	NpcId đưa thư	Bước 1-9	Bước 10	Bước 100	Đạt cấp 60	Nhận được kinh nghiệm	Thời gian cần (giây)
1	Đưa thư cho Chủ Tiệm Binh Khí Tương Dương		GiveItem	1	Điềm Tửu Thúc	25	3561	1000	0	0	0	0.6	30
2	Đưa thư cho Chủ Tiệm Phòng Cụ Tương Dương		GiveItem	1	Thẩm Hà Diệp	25	3562	1000	0	0	0	0.6	30
3	Đưa thư cho Chủ Tiệm Trang Sức Tương Dương		GiveItem	1	Hách Phiêu Tịnh	25	3563	1000	0	0	0	0.6	30
4	Đưa thư cho Chủ Tiệm Tạp Hóa Tương Dương 		GiveItem	1	Bất Động Tiên Sinh	25	3565	1000	0	0	0	0.6	30
5	Đưa thư cho Chủ Tiệm Thuốc Tương Dương		GiveItem	1	Trương Trảm Kinh	25	3564	1000	0	0	0	0.6	30
6	Đưa thư cho Chủ Tửu Lầu Tương Dương		GiveItem	1	Đại Lão Bạch	25	3566	1000	0	0	0	0.6	30
7	Đưa thư cho Lễ Quan Tương Dương		GiveItem	1	Lễ Quan	25	2601	1000	0	0	0	0.6	30
8	Đưa thư cho Công Bình Tử Tương Dương		GiveItem	1	Công Bình Tử	25	2501	1000	0	0	0	0.6	30
9	Đưa thư cho Diệp Chỉ Lâm Tương Dương		GiveItem	1	Diệp Chỉ Lâm	25	3576	1000	0	0	0	0.6	30
10	Đưa thư cho Dã Luyện Đại Sư Tương Dương		GiveItem	1	Dã Luyện Đại Sư	25	3574	1000	0	0	0	0.6	30
11	Đưa thư cho Chủ Tiệm Binh Khí Thành Đô		GiveItem	1	Điềm Tửu Thúc	27	3561	1000	0	0	0	0.6	30
12	Đưa thư cho Chủ Tiệm Phòng Cụ Thành Đô		GiveItem	1	Thẩm Hà Diệp	27	3562	1000	0	0	0	0.6	30
13	Đưa thư cho Chủ Tiệm Trang Sức Thành Đô		GiveItem	1	Hách Phiêu Tịnh	27	3563	1000	0	0	0	0.6	30
14	Đưa thư cho Chủ Tiệm Tạp Hóa Thành Đô		GiveItem	1	Bất Động Tiên Sinh	27	3565	1000	0	0	0	0.6	30
15	Đưa thư cho Chủ Tiệm Thuốc Thành Đô		GiveItem	1	Trương Trảm Kinh	27	3564	1000	0	0	0	0.6	30
16	Đưa thư cho Chủ Tửu Lầu Thành Đô		GiveItem	1	Đại Lão Bạch	27	3566	1000	0	0	0	0.6	30
17	Đưa thư cho Lễ Quan Thành Đô		GiveItem	1	Lễ Quan	27	2601	1000	0	0	0	0.6	30
