TaskId	TaskName	StepDesc	TaskType	Diff	Genre	Detail	Particular	Level	Series	Num	ItemName	Suffix	Step01	Step02	Step03	LevelFlag	AwardExp	AwardMoney	NeedTime
Số nhiệm vụ	Tên nhiệm vụ	Miêu tả tìm đường	Loại nhiệm vụ	Độ khó	Loại lớn	Phân loại	Loại nhỏ	Cấp	Ngũ hành	Số lượng	Tên vật phẩm	Tên hậu tố	Bước 1-9	Bước 10	Bước 100	Đạt cấp 60	Nhận được kinh nghiệm	Nhận được bạc (không khóa)	Thời gian cần (giây)
1	Thu thập 2 Ma Đao Thạch cấp 1	Có thể sử dụng kỹ năng <color=yellow>chế tạo vũ khí<color> chế tạo 	GiveItem	1	18	1	66	1		2	Ma Đao Thạch (cấp 1)		1500	0	0	0	0.6	50	30
2	Thu thập 2 Hộ Giáp Phiến cấp 1	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItem	1	18	1	67	1		2	Hộ Giáp Phiến (cấp 1)		1500	0	0	0	0.6	50	30
3	Thu thập 2 Ngũ Hành Thạch cấp 1	Có thể sử dụng kỹ năng <color=yellow>chế tạo trang sức<color> chế tạo 	GiveItem	1	18	1	68	1		2	Ngũ Hành Thạch (cấp 1)		1500	0	0	0	0.6	50	30
4	Thu thập 1 rương Kim Sáng Dược (nhỏ)-Rương	Có thể sử dụng kỹ năng <color=yellow>chế thuốc<color> chế tạo 	GiveItem	1	18	1	28	1		1	Kim Sáng Dược (tiểu)-Rương		500	0	0	0	0.6	200	30
5	Thu thập 1 rương Ngưng Thần Đơn (nhỏ)-Rương	Có thể sử dụng kỹ năng <color=yellow>chế thuốc<color> chế tạo 	GiveItem	1	18	1	29	1		1	Ngưng Thần Đơn (tiểu)-Rương		500	0	0	0	0.6	200	30
6	Thu thập 1 Khinh Giáp - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Khinh Giáp	Hoàng Quang	200	0	0	0	0.6	100	120
7	Thu thập 1 Đồng Nữ Giáp - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Đồng Nữ Giáp	Hoàng Quang	200	0	0	0	0.6	100	120
8	Thu thập 1 Khinh Bì Trang - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Khinh Bì Trang	Hoàng Quang	200	0	0	0	0.6	100	120
9	Thu thập 1 Khinh Bì Giáp Y - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Khinh Bì Giáp Y	Hoàng Quang	200	0	0	0	0.6	100	120
10	Thu thập 1 Thô Bố Trường Bào - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Thô Bố Trường Bào	Hoàng Quang	200	0	0	0	0.6	100	120
11	Thu thập 1 Cẩm Sam - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Cẩm Sam	Hoàng Quang	200	0	0	0	0.6	100	120
12	Thu thập 1 Thanh Đồng Thúc Phát - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Thanh Đồng Thúc Phát	Hoàng Quang	200	0	0	0	0.6	100	120
13	Thu thập 1 Khinh Sa Ngọc Đái - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Khinh Sa Ngọc Đái	Hoàng Quang	200	0	0	0	0.6	100	120
14	Thu thập 1 Nhược Thủy Lạp - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Nhược Thủy Lạp	Hoàng Quang	200	0	0	0	0.6	100	120
15	Thu thập 1 Hoàng Bố Phát Đái - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Hoàng Bố Phát Đái	Hoàng Quang	200	0	0	0	0.6	100	120
16	Thu thập 1 Nho Cân - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Nho Cân	Hoàng Quang	200	0	0	0	0.6	100	120
17	Thu thập 1 Phát Thoa - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Phát Thoa	Hoàng Quang	200	0	0	0	0.6	100	120
18	Thu thập 1 Thô Ma Yêu Đái - Hoàng Quang	Có thể sử dụng kỹ năng <color=yellow>chế tạo phòng cụ<color> chế tạo 	GiveItemWithName	1						1	Thô Ma Yêu Đái	Hoàng Quang	200	0	0	0	0.6	100	120
